Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,2e-06,23.145652,[27 53] ; [36 10],[40. 40.] ; [23. 23.],1
p2,1,0.408817,0.682237,[48 32] ; [31 15],[50.15873016 29.84126984] ; [28.84126984 17.15873016],0
a8,1,0.443755,0.586553,[ 7 66] ; [ 6 36],[ 8.25217391 64.74782609] ; [ 4.74782609 37.25217391],0
n6,1,0.450152,0.57027,[54 26] ; [34 12],[55.87301587 24.12698413] ; [32.12698413 13.87301587],0
d4,1,0.450403,0.569637,[57 22] ; [36 10],[58.776 20.224] ; [34.224 11.776],0
p4,1,0.451037,0.568045,[34 45] ; [23 23],[36.024 42.976] ; [20.976 25.024],0
p7,1,0.466986,0.529098,[40 40] ; [25 19],[41.93548387 38.06451613] ; [23.06451613 20.93548387],0
a7,1,0.512977,0.427989,[55 25] ; [29 17],[53.33333333 26.66666667] ; [30.66666667 15.33333333],0
u3,1,0.552522,0.352818,[24 13] ; [9 7],[23.03773585 13.96226415] ; [9.96226415 6.03773585],0
n2,1,0.580926,0.304741,[17  7] ; [8 2],[17.64705882  6.35294118] ; [7.35294118 2.64705882],0
n1,1,0.59933,0.276008,[10 13] ; [3 6],[ 9.34375 13.65625] ; [3.65625 5.34375],0
b1,1,0.613053,0.255754,[45 35] ; [28 18],[46.34920635 33.65079365] ; [26.65079365 19.34920635],0
p1,1,0.62156,0.243681,[ 5 74] ; [ 4 42],[ 5.688 73.312] ; [ 3.312 42.688],0
b5,1,0.630699,0.231114,[47 33] ; [25 21],[45.71428571 34.28571429] ; [26.28571429 19.71428571],0
v4,1,0.63073,0.231073,[73  5] ; [44  2],[73.59677419  4.40322581] ; [43.40322581  2.59677419],0
d3,1,0.635307,0.224933,[47 33] ; [29 17],[48.25396825 31.74603175] ; [27.74603175 18.25396825],0
a2,1,0.636965,0.222734,[13 67] ; [ 9 37],[13.96825397 66.03174603] ; [ 8.03174603 37.96825397],0
a5,1,0.657509,0.196564,[49 31] ; [30 16],[50.15873016 29.84126984] ; [28.84126984 17.15873016],0
b4,1,0.716228,0.132136,[53 27] ; [29 17],[52.06349206 27.93650794] ; [29.93650794 16.06349206],0
a4,1,0.753694,0.098453,[27 52] ; [17 29],[27.808 51.192] ; [16.192 29.808],0
d2,1,0.78689,0.07309,[38 42] ; [23 23],[38.73015873 41.26984127] ; [22.26984127 23.73015873],0
r3,1,0.907976,0.013362,[78  2] ; [45  1],[78.0952381  1.9047619] ; [44.9047619  1.0952381],0
