Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4e-06,21.297641,[133   9] ; [5 5],[128.92105263  13.07894737] ; [9.07894737 0.92105263],1
d2,1,0.332203,0.940293,[77 65] ; [7 3],[78.47368421 63.52631579] ; [5.52631579 4.47368421],0
u1,1,0.352721,0.863643,[ 32 110] ; [1 9],[ 30.82894737 111.17105263] ; [2.17105263 7.82894737],0
b4,1,0.353522,0.860774,[78 64] ; [7 3],[79.40789474 62.59210526] ; [5.59210526 4.40789474],0
a5,1,0.365503,0.818896,[104  38] ; [6 4],[102.76315789  39.23684211] ; [7.23684211 2.76315789],0
p6,1,0.381629,0.765448,[51 90] ; [5 5],[52.29139073 88.70860927] ; [3.70860927 6.29139073],0
s1,1,0.40786,0.685029,[  6 134] ; [1 9],[  6.53333333 133.46666667] ; [0.46666667 9.53333333],0
b1,1,0.422457,0.64347,[61 81] ; [3 7],[59.78947368 82.21052632] ; [4.21052632 5.78947368],0
v3,1,0.44092,0.593886,[48 90] ; [2 7],[46.93877551 91.06122449] ; [3.06122449 5.93877551],0
a4,1,0.4471,0.577994,[60 82] ; [3 7],[58.85526316 83.14473684] ; [4.14473684 5.85526316],0
s5,1,0.457059,0.553088,[47 90] ; [2 7],[45.97945205 91.02054795] ; [3.02054795 5.97945205],0
b2,1,0.477642,0.504243,[32 53] ; [2 6],[31.07526882 53.92473118] ; [2.92473118 5.07526882],0
b3,1,0.477642,0.504243,[32 53] ; [2 6],[31.07526882 53.92473118] ; [2.92473118 5.07526882],0
a7,1,0.488035,0.480856,[100  42] ; [6 4],[99.02631579 42.97368421] ; [6.97368421 3.02631579],0
u3,1,0.507335,0.43956,[24 12] ; [2 2],[23.4 12.6] ; [2.6 1.4],0
b5,1,0.512889,0.428169,[70 72] ; [6 4],[71. 71.] ; [5. 5.],0
s4,1,0.596808,0.279838,[ 32 109] ; [3 7],[ 32.68211921 108.31788079] ; [2.31788079 7.68211921],0
p9,1,0.603442,0.269836,[119  23] ; [9 1],[119.57894737  22.42105263] ; [8.42105263 1.57894737],0
s7,1,0.610247,0.259815,[98 37] ; [8 2],[98.68965517 36.31034483] ; [7.31034483 2.68965517],0
u2,1,0.658492,0.19536,[23 13] ; [3 1],[23.4 12.6] ; [2.6 1.4],0
d3,1,0.6897,0.159411,[94 48] ; [6 4],[93.42105263 48.57894737] ; [6.57894737 3.42105263],0
n6,1,0.717507,0.130894,[122  20] ; [9 1],[122.38157895  19.61842105] ; [8.61842105 1.38157895],0
r2,1,0.722709,0.125912,[130  11] ; [8 1],[129.72  11.28] ; [8.28 0.72],0
p10,1,0.753867,0.09831,[119  23] ; [8 2],[118.64473684  23.35526316] ; [8.35526316 1.64473684],0
s2,1,0.759736,0.09353,[92 50] ; [6 4],[91.55263158 50.44736842] ; [6.44736842 3.55263158],0
n4,1,0.776777,0.080384,[108  34] ; [8 2],[108.36842105  33.63157895] ; [7.63157895 2.36842105],0
p1,1,0.798391,0.065245,[ 11 131] ; [1 9],[ 11.21052632 130.78947368] ; [0.78947368 9.21052632],0
p12,1,0.871108,0.026325,[ 12 129] ; [1 9],[ 12.13907285 128.86092715] ; [0.86092715 9.13907285],0
p8,1,0.879291,0.023064,[74 67] ; [5 5],[73.76821192 67.23178808] ; [5.23178808 4.76821192],0
p2,1,0.893988,0.017758,[116  26] ; [8 2],[115.84210526  26.15789474] ; [8.15789474 1.84210526],0
s3,1,0.901116,0.015439,[102  40] ; [7 3],[101.82894737  40.17105263] ; [7.17105263 2.82894737],0
p5,1,0.928827,0.007978,[ 13 129] ; [1 9],[ 13.07894737 128.92105263] ; [0.92105263 9.07894737],0
p4,1,0.971897,0.001241,[86 56] ; [6 4],[85.94736842 56.05263158] ; [6.05263158 3.94736842],0
