Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,76.104916,[ 1 69] ; [116  70],[31.9921875 38.0078125] ; [ 85.0078125 100.9921875],1
p3,1,0.004411,8.106523,[22 48] ; [94 89],[32.09486166 37.90513834] ; [83.90513834 99.09486166],0
r4,1,0.006383,7.438958,[52 18] ; [164  22],[59.0625 10.9375] ; [156.9375  29.0625],0
v3,1,0.025054,5.020177,[18 49] ; [ 76 103],[25.60162602 41.39837398] ; [ 68.39837398 110.60162602],0
p7,1,0.029884,4.715927,[36 34] ; [118  60],[43.46774194 26.53225806] ; [110.53225806  67.46774194],0
s6,1,0.049308,3.864826,[36 32] ; [119  60],[42.67206478 25.32793522] ; [112.32793522  66.67206478],0
a1,1,0.050575,3.822304,[ 1 69] ; [ 15 171],[ 4.375 65.625] ; [ 11.625 174.375],0
b3,1,0.059946,3.538883,[13 30] ; [57 65],[18.24242424 24.75757576] ; [51.75757576 70.24242424],0
b2,1,0.059946,3.538883,[13 30] ; [57 65],[18.24242424 24.75757576] ; [51.75757576 70.24242424],0
p8,1,0.068553,3.317338,[27 43] ; [92 87],[33.45381526 36.54618474] ; [85.54618474 93.45381526],0
p4,1,0.071162,3.256003,[30 40] ; [100  80],[36.4 33.6] ; [93.6 86.4],0
u3,1,0.072198,3.232323,[14 26] ; [22 18],[18. 22.] ; [18. 22.],0
p2,1,0.082184,3.021172,[48 22] ; [143  38],[53.26693227 16.73306773] ; [137.73306773  43.26693227],0
r2,1,0.104201,2.640044,[61  9] ; [171  12],[64.18972332  5.81027668] ; [167.81027668  15.18972332],0
n6,1,0.114122,2.496191,[52 18] ; [152  31],[56.44268775 13.55731225] ; [147.55731225  35.44268775],0
b4,1,0.124775,2.356338,[44 26] ; [97 89],[38.5546875 31.4453125] ; [102.4453125  83.5546875],0
n4,1,0.13154,2.274231,[48 22] ; [143  41],[52.63779528 17.36220472] ; [138.36220472  45.63779528],0
n3,1,0.132478,2.263219,[22  6] ; [31 19],[19.02564103  8.97435897] ; [33.97435897 16.02564103],0
s3,1,0.135294,2.230682,[32 36] ; [106  78],[37.23809524 30.76190476] ; [100.76190476  83.23809524],0
a8,1,0.203541,1.616785,[10 53] ; [ 18 163],[ 7.2295082 55.7704918] ; [ 20.7704918 160.2295082],0
a6,1,0.221428,1.49509,[33 37] ; [ 72 114],[28.7109375 41.2890625] ; [ 76.2890625 109.7109375],0
p6,1,0.224269,1.476843,[20 50] ; [ 65 112],[24.08906883 45.91093117] ; [ 60.91093117 116.08906883],0
p1,1,0.264387,1.245641,[ 7 63] ; [ 11 173],[ 4.96062992 65.03937008] ; [ 13.03937008 170.96062992],0
u2,1,0.306861,1.044137,[19 21] ; [23 16],[21.26582278 18.73417722] ; [20.73417722 18.26582278],0
s1,1,0.344024,0.895377,[ 4 64] ; [  6 178],[ 2.6984127 65.3015873] ; [  7.3015873 176.6984127],0
a2,1,0.442834,0.588929,[ 4 66] ; [ 16 170],[ 5.46875 64.53125] ; [ 14.53125 171.46875],0
u1,1,0.510749,0.432533,[ 3 67] ; [ 12 174],[ 4.1015625 65.8984375] ; [ 10.8984375 175.1015625],0
s4,1,0.540811,0.374038,[11 59] ; [ 35 149],[12.67716535 57.32283465] ; [ 33.32283465 150.67716535],0
n5,1,0.561561,0.337009,[51 19] ; [139  43],[52.77777778 17.22222222] ; [137.22222222  44.77777778],0
p12,1,0.635144,0.225149,[ 5 65] ; [ 10 170],[ 4.2 65.8] ; [ 10.8 169.2],0
b1,1,0.79739,0.065909,[34 36] ; [87 99],[33.0859375 36.9140625] ; [87.9140625 98.0859375],0
p11,1,0.844186,0.038629,[53 17] ; [143  43],[53.59375 16.40625] ; [142.40625  43.59375],0
n1,1,0.855951,0.032953,[11 18] ; [20 30],[11.37974684 17.62025316] ; [19.62025316 30.37974684],0
p5,1,0.931865,0.00731,[ 8 62] ; [ 20 161],[ 7.80876494 62.19123506] ; [ 20.19123506 160.80876494],0
n2,1,0.945917,0.004602,[23  7] ; [38 12],[22.875  7.125] ; [38.125 11.875],0
b5,1,0.957982,0.002776,[33 37] ; [87 99],[32.8125 37.1875] ; [87.1875 98.8125],0
