Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,2e-06,22.682513,[ 1 35] ; [15 12],[ 9.14285714 26.85714286] ; [ 6.85714286 20.14285714],1
p5,1,0.156792,2.004894,[ 1 36] ; [ 3 23],[ 2.34920635 34.65079365] ; [ 1.65079365 24.34920635],0
a6,1,0.159664,1.977402,[14 23] ; [15 12],[16.765625 20.234375] ; [12.234375 14.765625],0
b3,1,0.165145,1.926475,[ 8 14] ; [ 3 15],[ 6.05 15.95] ; [ 4.95 13.05],0
b2,1,0.165145,1.926475,[ 8 14] ; [ 3 15],[ 6.05 15.95] ; [ 4.95 13.05],0
p12,1,0.169939,1.883483,[ 1 36] ; [ 3 24],[ 2.3125 34.6875] ; [ 1.6875 25.3125],0
v1,1,0.175543,1.834956,[ 8 29] ; [10 17],[10.40625 26.59375] ; [ 7.59375 19.40625],0
d5,1,0.177892,1.815148,[17 20] ; [17 10],[19.65625 17.34375] ; [14.34375 12.65625],0
p10,1,0.18383,1.766382,[16 20] ; [16 10],[18.58064516 17.41935484] ; [13.41935484 12.58064516],0
a5,1,0.205676,1.601602,[16 21] ; [16 11],[18.5 18.5] ; [13.5 13.5],0
v2,1,0.209614,1.574088,[11 25] ; [12 14],[13.35483871 22.64516129] ; [ 9.64516129 16.35483871],0
n1,1,0.318388,0.995556,[ 4 14] ; [4 6],[ 5.14285714 12.85714286] ; [2.85714286 7.14285714],0
r4,1,0.340335,0.909169,[ 6 31] ; [ 7 20],[ 7.515625 29.484375] ; [ 5.484375 21.515625],0
v4,1,0.355084,0.855204,[19 18] ; [17 10],[20.8125 16.1875] ; [15.1875 11.8125],0
u1,1,0.379192,0.77332,[ 1 36] ; [ 2 25],[ 1.734375 35.265625] ; [ 1.265625 25.734375],0
r3,1,0.39009,0.738663,[23 13] ; [20  7],[24.57142857 11.42857143] ; [18.42857143  8.57142857],0
u3,1,0.399075,0.711111,[ 4 16] ; [4 8],[ 5. 15.] ; [3. 9.],0
d4,1,0.422269,0.643992,[21 16] ; [18  9],[22.546875 14.453125] ; [16.453125 10.546875],0
d2,1,0.428563,0.626714,[ 9 28] ; [ 9 18],[10.40625 26.59375] ; [ 7.59375 19.40625],0
d1,1,0.428563,0.626714,[ 9 28] ; [ 9 18],[10.40625 26.59375] ; [ 7.59375 19.40625],0
s7,1,0.443201,0.58798,[ 6 28] ; [ 6 17],[ 7.15789474 26.84210526] ; [ 4.84210526 18.15789474],0
n3,1,0.453323,0.562329,[10  8] ; [7 3],[10.92857143  7.07142857] ; [6.07142857 3.92857143],0
u2,1,0.465209,0.533333,[11  9] ; [5 7],[10. 10.] ; [6. 6.],0
a3,1,0.512638,0.428679,[17 19] ; [15 12],[18.28571429 17.71428571] ; [13.71428571 13.28571429],0
n4,1,0.530249,0.393915,[19 18] ; [16 11],[20.234375 16.765625] ; [14.765625 12.234375],0
n5,1,0.556417,0.345946,[22 15] ; [18  9],[23.125 13.875] ; [16.875 10.125],0
s4,1,0.586026,0.296593,[ 5 32] ; [ 5 22],[ 5.78125 31.21875] ; [ 4.21875 22.78125],0
s1,1,0.644573,0.212811,[ 4 33] ; [ 2 25],[ 3.46875 33.53125] ; [ 2.53125 24.46875],0
r1,1,0.7017,0.146709,[12 25] ; [10 17],[12.71875 24.28125] ; [ 9.28125 17.71875],0
b1,1,0.710708,0.137571,[23 14] ; [18  9],[23.703125 13.296875] ; [17.296875  9.703125],0
b5,1,0.754803,0.097539,[22 15] ; [15 12],[21.390625 15.609375] ; [15.609375 11.390625],0
a7,1,0.800184,0.064064,[19 18] ; [13 14],[18.5 18.5] ; [13.5 13.5],0
a8,1,0.80269,0.062434,[ 5 30] ; [ 4 20],[ 5.33898305 29.66101695] ; [ 3.66101695 20.33898305],0
a2,1,0.917839,0.010641,[ 3 34] ; [ 2 25],[ 2.890625 34.109375] ; [ 2.109375 24.890625],0
a1,1,0.917839,0.010641,[ 3 34] ; [ 2 25],[ 2.890625 34.109375] ; [ 2.109375 24.890625],0
