Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,3e-06,21.87358,[47 15] ; [ 5 19],[37.48837209 24.51162791] ; [14.51162791  9.48837209],1
a8,1,0.106778,2.601266,[11 47] ; [ 1 21],[ 8.7 49.3] ; [ 3.3 18.7],0
s2,1,0.161901,1.956384,[40 23] ; [19  5],[42.72413793 20.27586207] ; [16.27586207  7.72413793],0
s7,1,0.163676,1.939936,[42 20] ; [16  3],[44.39506173 17.60493827] ; [13.60493827  5.39506173],0
p3,1,0.203981,1.61364,[31 33] ; [ 8 16],[28.36363636 35.63636364] ; [10.63636364 13.36363636],0
b4,1,0.239499,1.38354,[31 33] ; [15  9],[33.45454545 30.54545455] ; [12.54545455 11.45454545],0
a7,1,0.30882,1.035714,[44 19] ; [14 10],[42. 21.] ; [16.  8.],0
d2,1,0.346728,0.885396,[15 49] ; [ 8 16],[16.72727273 47.27272727] ; [ 6.27272727 17.72727273],0
v2,1,0.366994,0.813818,[34 26] ; [10 12],[32.19512195 27.80487805] ; [11.80487805 10.19512195],0
n1,1,0.390733,0.73666,[5 4] ; [4 7],[4.05 4.95] ; [4.95 6.05],0
p2,1,0.397411,0.716146,[51 13] ; [21  3],[52.36363636 11.63636364] ; [19.63636364  4.36363636],0
a6,1,0.40819,0.684065,[33 31] ; [10 14],[31.27272727 32.72727273] ; [11.72727273 12.27272727],0
u2,1,0.426931,0.631158,[18  9] ; [11  3],[19.09756098  7.90243902] ; [9.90243902 4.09756098],0
b2,1,0.429314,0.624679,[12 31] ; [ 2 10],[10.94545455 32.05454545] ; [3.05454545 8.94545455],0
b3,1,0.429314,0.624679,[12 31] ; [ 2 10],[10.94545455 32.05454545] ; [3.05454545 8.94545455],0
p12,1,0.447119,0.577945,[ 6 58] ; [ 1 22],[ 5.14942529 58.85057471] ; [ 1.85057471 21.14942529],0
r1,1,0.464472,0.535096,[45 18] ; [19  5],[46.34482759 16.65517241] ; [17.65517241  6.34482759],0
d1,1,0.476867,0.50602,[24 40] ; [11 13],[25.45454545 38.54545455] ; [ 9.54545455 14.45454545],0
r2,1,0.525309,0.403458,[57  5] ; [21  3],[56.23255814  5.76744186] ; [21.76744186  2.23255814],0
s6,1,0.534335,0.386141,[52 12] ; [20  3],[52.96551724 11.03448276] ; [19.03448276  3.96551724],0
s1,1,0.545645,0.365176,[ 5 59] ; [ 1 23],[ 4.36363636 59.63636364] ; [ 1.63636364 22.36363636],0
d5,1,0.567109,0.327543,[44 20] ; [18  6],[45.09090909 18.90909091] ; [16.90909091  7.09090909],0
p4,1,0.659352,0.194312,[38 26] ; [13 11],[37.09090909 26.90909091] ; [13.90909091 10.09090909],0
v4,1,0.695844,0.152831,[59  4] ; [23  1],[59.37931034  3.62068966] ; [22.62068966  1.37931034],0
v1,1,0.756386,0.096243,[32 30] ; [11 12],[31.36470588 30.63529412] ; [11.63529412 11.36470588],0
d4,1,0.769407,0.085938,[46 18] ; [18  6],[46.54545455 17.45454545] ; [17.45454545  6.54545455],0
d3,1,0.789657,0.071159,[38 26] ; [15  9],[38.54545455 25.45454545] ; [14.45454545  9.54545455],0
b5,1,0.824083,0.049416,[39 25] ; [14 10],[38.54545455 25.45454545] ; [14.45454545  9.54545455],0
s3,1,0.90767,0.013451,[48 15] ; [18  6],[47.79310345 15.20689655] ; [18.20689655  5.79310345],0
u1,1,0.916801,0.010913,[ 3 61] ; [ 1 23],[ 2.90909091 61.09090909] ; [ 1.09090909 22.90909091],0
p5,1,0.951696,0.00367,[10 52] ; [ 4 20],[10.09302326 51.90697674] ; [ 3.90697674 20.09302326],0
s4,1,1.0,0.0,[16 48] ; [ 6 18],[16. 48.] ; [ 6. 18.],0
r4,1,1.0,0.0,[56  8] ; [21  3],[56.  8.] ; [21.  3.],0
