Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,6e-06,20.350539,[15 72] ; [19 13],[24.85714286 62.14285714] ; [ 9.14285714 22.85714286],1
p12,1,0.169761,1.885051,[ 3 88] ; [ 3 29],[ 4.43902439 86.56097561] ; [ 1.56097561 30.43902439],0
d5,1,0.182595,1.776372,[55 36] ; [15 17],[51.78861789 39.21138211] ; [18.21138211 13.78861789],0
v1,1,0.234107,1.415735,[24 67] ; [12 20],[26.63414634 64.36585366] ; [ 9.36585366 22.63414634],0
p1,1,0.292988,1.10584,[ 6 85] ; [ 4 28],[ 7.39837398 83.60162602] ; [ 2.60162602 29.39837398],0
s5,1,0.304939,1.052468,[13 73] ; [ 7 23],[14.82758621 71.17241379] ; [ 5.17241379 24.82758621],0
d4,1,0.309021,1.034856,[63 28] ; [19 13],[60.66666667 30.33333333] ; [21.33333333 10.66666667],0
r1,1,0.321247,0.983863,[50 40] ; [21 11],[52.37704918 37.62295082] ; [18.62295082 13.37704918],0
p9,1,0.349299,0.876001,[41 47] ; [18 14],[43.26666667 44.73333333] ; [15.73333333 16.26666667],0
a3,1,0.365278,0.819664,[50 39] ; [15 17],[47.80991736 41.19008264] ; [17.19008264 14.80991736],0
r2,1,0.371724,0.797893,[70 17] ; [28  4],[71.64705882 15.35294118] ; [26.35294118  5.64705882],0
v4,1,0.371733,0.797862,[66 24] ; [26  6],[67.86885246 22.13114754] ; [24.13114754  7.86885246],0
u2,1,0.395546,0.721825,[19 21] ; [ 6 11],[17.54385965 22.45614035] ; [7.45614035 9.54385965],0
a4,1,0.422215,0.644141,[32 57] ; [ 9 23],[30.15702479 58.84297521] ; [10.84297521 21.15702479],0
a7,1,0.429759,0.623474,[49 41] ; [20 12],[50.90163934 39.09836066] ; [18.09836066 13.90163934],0
a6,1,0.450892,0.568408,[47 44] ; [19 13],[48.82926829 42.17073171] ; [17.17073171 14.82926829],0
a5,1,0.517267,0.419339,[48 43] ; [19 13],[49.56910569 41.43089431] ; [17.43089431 14.56910569],0
v3,1,0.607818,0.263364,[20 65] ; [ 9 23],[21.06837607 63.93162393] ; [ 7.93162393 24.06837607],0
s1,1,0.63818,0.22113,[ 6 82] ; [ 3 29],[ 6.6 81.4] ; [ 2.4 29.6],0
s8,1,0.693825,0.154975,[ 9 81] ; [ 4 28],[ 9.59016393 80.40983607] ; [ 3.40983607 28.59016393],0
n1,1,0.76553,0.088939,[16 21] ; [3 5],[15.62222222 21.37777778] ; [3.37777778 4.62222222],0
u1,1,0.787557,0.072621,[ 7 84] ; [ 2 30],[ 6.65853659 84.34146341] ; [ 2.34146341 29.65853659],0
a1,1,0.798384,0.065249,[10 81] ; [ 3 29],[ 9.61788618 81.38211382] ; [ 3.38211382 28.61788618],0
b5,1,0.825983,0.048337,[52 39] ; [19 13],[52.52845528 38.47154472] ; [18.47154472 13.52845528],0
s4,1,0.939666,0.005729,[14 76] ; [ 5 26],[14.1322314 75.8677686] ; [ 4.8677686 26.1322314],0
u3,1,0.960238,0.002485,[19 22] ; [8 9],[19.0862069 21.9137931] ; [7.9137931 9.0862069],0
b1,1,0.983883,0.000408,[40 51] ; [14 18],[39.95121951 51.04878049] ; [14.04878049 17.95121951],0
b2,1,0.993457,6.7e-05,[19 35] ; [ 6 11],[19.01408451 34.98591549] ; [ 5.98591549 11.01408451],0
b3,1,0.993457,6.7e-05,[19 35] ; [ 6 11],[19.01408451 34.98591549] ; [ 5.98591549 11.01408451],0
