Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1.9e-05,18.296581,[27 48] ; [24  5],[36.77884615 38.22115385] ; [14.22115385 14.77884615],1
p1,1,0.348282,0.879706,[ 7 73] ; [ 1 28],[ 5.87155963 74.12844037] ; [ 2.12844037 26.87155963],0
p9,1,0.361407,0.832999,[58 20] ; [24  5],[59.77570093 18.22429907] ; [22.22429907  6.77570093],0
b3,1,0.481486,0.495495,[12 28] ; [6 9],[13.09090909 26.90909091] ; [ 4.90909091 10.09090909],0
b2,1,0.481486,0.495495,[12 28] ; [6 9],[13.09090909 26.90909091] ; [ 4.90909091 10.09090909],0
a1,1,0.513081,0.427778,[ 3 77] ; [ 2 28],[ 3.63636364 76.36363636] ; [ 1.36363636 28.63636364],0
p7,1,0.537182,0.380788,[43 30] ; [19 10],[44.37254902 28.62745098] ; [17.62745098 11.37254902],0
p4,1,0.544371,0.367499,[37 42] ; [16 14],[38.41284404 40.58715596] ; [14.58715596 15.41284404],0
s8,1,0.557673,0.34375,[35 45] ; [15 15],[36.36363636 43.63636364] ; [13.63636364 16.36363636],0
p3,1,0.57111,0.320829,[27 52] ; [12 18],[28.26605505 50.73394495] ; [10.73394495 19.26605505],0
p11,1,0.600793,0.273801,[49 31] ; [20 10],[50.18181818 29.81818182] ; [18.81818182 11.18181818],0
n5,1,0.653409,0.20163,[30 49] ; [10 20],[28.99082569 50.00917431] ; [11.00917431 18.99082569],0
s7,1,0.65393,0.200981,[30 45] ; [13 16],[31.00961538 43.99038462] ; [11.99038462 17.00961538],0
s2,1,0.694095,0.154687,[59 21] ; [21  9],[58.18181818 21.81818182] ; [21.81818182  8.18181818],0
s1,1,0.699803,0.148677,[ 4 75] ; [ 1 29],[ 3.62385321 75.37614679] ; [ 1.37614679 28.62385321],0
a3,1,0.714118,0.134199,[47 32] ; [19 11],[47.83486239 31.16513761] ; [18.16513761 11.83486239],0
n3,1,0.850436,0.035556,[19  6] ; [11  4],[18.75  6.25] ; [11.25  3.75],0
a4,1,0.869954,0.026803,[28 52] ; [10 20],[27.63636364 52.36363636] ; [10.36363636 19.63636364],0
p10,1,0.872974,0.025562,[56 22] ; [22  8],[56.33333333 21.66666667] ; [21.66666667  8.33333333],0
b5,1,0.90547,0.014103,[47 33] ; [18 12],[47.27272727 32.72727273] ; [17.72727273 12.27272727],0
d2,1,0.937282,0.006192,[34 46] ; [13 17],[34.18181818 45.81818182] ; [12.81818182 17.18181818],0
n2,1,0.98576,0.000319,[19  7] ; [11  4],[19.02439024  6.97560976] ; [10.97560976  4.02439024],0
