Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,2e-06,22.519404,[ 6 40] ; [32 22],[17.48 28.52] ; [20.52 33.48],1
p6,1,0.23923,1.385128,[ 4 41] ; [ 9 44],[ 5.96938776 39.03061224] ; [ 7.03061224 45.96938776],0
p10,1,0.276184,1.185771,[18 27] ; [28 27],[20.7 24.3] ; [25.3 29.7],0
b4,1,0.276741,1.183023,[30 16] ; [30 25],[27.32673267 18.67326733] ; [32.67326733 22.32673267],0
s2,1,0.299723,1.075428,[10 36] ; [17 38],[12.2970297 33.7029703] ; [14.7029703 40.2970297],0
r2,1,0.311436,1.024577,[24 22] ; [30 18],[26.42553191 19.57446809] ; [27.57446809 20.42553191],0
s6,1,0.317525,0.999116,[14 32] ; [22 33],[16.3960396 29.6039604] ; [19.6039604 35.3960396],0
n6,1,0.33954,0.912167,[23 23] ; [31 21],[25.34693878 20.65306122] ; [28.65306122 23.34693878],0
a1,1,0.365545,0.818753,[ 4 42] ; [ 8 47],[ 5.46534653 40.53465347] ; [ 6.53465347 48.46534653],0
v2,1,0.367652,0.811584,[14 29] ; [22 31],[16.125 26.875] ; [19.875 33.125],0
p5,1,0.389746,0.739734,[ 1 45] ; [ 3 51],[ 1.84 44.16] ; [ 2.16 51.84],0
n1,1,0.401429,0.704042,[ 6 17] ; [ 9 15],[ 7.34042553 15.65957447] ; [ 7.65957447 16.34042553],0
b1,1,0.410927,0.676116,[23 23] ; [32 23],[25.04950495 20.95049505] ; [29.95049505 25.04950495],0
p2,1,0.458173,0.550355,[26 20] ; [26 27],[24.16161616 21.83838384] ; [27.83838384 25.16161616],0
b2,1,0.461232,0.542903,[ 8 16] ; [15 20],[ 9.3559322 14.6440678] ; [13.6440678 21.3559322],0
b3,1,0.461232,0.542903,[ 8 16] ; [15 20],[ 9.3559322 14.6440678] ; [13.6440678 21.3559322],0
s5,1,0.476185,0.507588,[ 7 39] ; [11 42],[ 8.36363636 37.63636364] ; [ 9.63636364 43.36363636],0
p3,1,0.516399,0.42108,[ 8 38] ; [12 41],[ 9.29292929 36.70707071] ; [10.70707071 42.29292929],0
s3,1,0.567205,0.327381,[15 30] ; [21 33],[16.36363636 28.63636364] ; [19.63636364 34.36363636],0
v1,1,0.573676,0.31657,[14 31] ; [19 33],[15.30927835 29.69072165] ; [17.69072165 34.30927835],0
r1,1,0.584637,0.298799,[13 33] ; [18 36],[14.26 31.74] ; [16.74 37.26],0
u2,1,0.601297,0.273044,[11 17] ; [3 7],[10.31578947 17.68421053] ; [3.68421053 6.31578947],0
b5,1,0.648711,0.207529,[23 23] ; [30 25],[24.13861386 21.86138614] ; [28.86138614 26.13861386],0
p7,1,0.673817,0.177169,[13 33] ; [13 40],[12.08080808 33.91919192] ; [13.91919192 39.08080808],0
s4,1,0.718342,0.130087,[ 7 39] ; [ 7 48],[ 6.37623762 39.62376238] ; [ 7.62376238 47.37623762],0
n5,1,0.73643,0.113289,[28 18] ; [34 19],[28.80808081 17.19191919] ; [33.19191919 19.80808081],0
n3,1,0.767226,0.087619,[12 11] ; [13 10],[12.5 10.5] ; [12.5 10.5],0
s1,1,0.782407,0.076278,[ 2 44] ; [ 3 51],[ 2.3 43.7] ; [ 2.7 51.3],0
n2,1,0.881525,0.022212,[12 11] ; [12 12],[11.74468085 11.25531915] ; [12.25531915 11.74468085],0
r3,1,0.936397,0.006368,[23 22] ; [27 25],[23.19587629 21.80412371] ; [26.80412371 25.19587629],0
p1,1,0.944643,0.004821,[ 4 42] ; [ 5 50],[ 4.0990099 41.9009901] ; [ 4.9009901 50.0990099],0
v3,1,0.953651,0.003378,[10 36] ; [12 42],[10.12 35.88] ; [11.88 42.12],0
u3,1,0.984182,0.000393,[ 8 21] ; [3 8],[ 7.975 21.025] ; [3.025 7.975],0
