Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,134.6836,[326 129] ; [ 56 170],[255.22760646 199.77239354] ; [126.77239354  99.22760646],1
v1,1,0.01934,5.470495,[264 183] ; [111 113],[249.81371088 197.18628912] ; [125.18628912  98.81371088],0
n4,1,0.021328,5.299755,[379  85] ; [169  59],[367.44508671  96.55491329] ; [180.55491329  47.44508671],0
r4,1,0.022187,5.231044,[439  25] ; [205  23],[431.8150289  32.1849711] ; [212.1849711  15.8150289],0
u4,1,0.028566,4.793603,[ 14 450] ; [  1 227],[ 10.05780347 453.94219653] ; [  4.94219653 223.05780347],0
d5,1,0.029473,4.739793,[381  81] ; [172  56],[370.26956522  91.73043478] ; [182.73043478  45.26956522],0
p8,1,0.036488,4.374152,[269 186] ; [114 111],[256.27205882 198.72794118] ; [126.72794118  98.27205882],0
p7,1,0.038503,4.282674,[311 135] ; [139  86],[299.10581222 146.89418778] ; [150.89418778  74.10581222],0
d1,1,0.041021,4.175146,[286 178] ; [122 106],[273.57225434 190.42774566] ; [134.42774566  93.57225434],0
d4,1,0.046284,3.971221,[388  73] ; [177  50],[378.58284884  82.41715116] ; [186.41715116  40.58284884],0
d3,1,0.071868,3.23984,[329 133] ; [147  81],[318.71304348 143.28695652] ; [157.28695652  70.71304348],0
s1,1,0.10579,2.616006,[ 16 441] ; [  3 222],[ 12.73167155 444.26832845] ; [  6.26832845 218.73167155],0
b5,1,0.10847,2.576371,[284 180] ; [125 103],[274.24277457 189.75722543] ; [134.75722543  93.24277457],0
a3,1,0.110573,2.546018,[339 123] ; [154  74],[330.09565217 131.90434783] ; [162.90434783  65.09565217],0
a1,1,0.115853,2.472505,[ 27 437] ; [  7 221],[ 22.79768786 441.20231214] ; [ 11.20231214 216.79768786],0
r1,1,0.125829,2.343225,[383  79] ; [178  50],[375.62608696  86.37391304] ; [185.37391304  42.62608696],0
u3,1,0.14495,2.124606,[80 44] ; [40 34],[75.15151515 48.84848485] ; [44.84848485 29.15151515],0
n1,1,0.17598,1.831246,[35 52] ; [15 37],[31.29496403 55.70503597] ; [18.70503597 33.29496403],0
d2,1,0.225758,1.467392,[223 239] ; [ 98 128],[215.55523256 246.44476744] ; [105.44476744 120.55523256],0
u2,1,0.228023,1.453153,[81 44] ; [41 32],[77.02020202 47.97979798] ; [44.97979798 28.02020202],0
b4,1,0.266256,1.235933,[279 185] ; [127 101],[272.23121387 191.76878613] ; [133.76878613  94.23121387],0
r2,1,0.284124,1.147256,[441  18] ; [214  13],[438.25801749  20.74198251] ; [216.74198251  10.25801749],0
v3,1,0.3155,1.00751,[188 260] ; [ 83 136],[182.02098951 265.97901049] ; [ 88.97901049 130.02098951],0
r3,1,0.321448,0.983045,[452  12] ; [218   9],[449.89869754  14.10130246] ; [220.10130246   6.89869754],0
n2,1,0.341992,0.902949,[70 17] ; [39 14],[67.73571429 19.26428571] ; [41.26428571 11.73571429],0
b1,1,0.371471,0.798739,[155 309] ; [ 84 144],[160.25433526 303.74566474] ; [ 78.74566474 149.25433526],0
a4,1,0.389087,0.741793,[206 255] ; [ 94 134],[200.7256894 260.2743106] ; [ 99.2743106 128.7256894],0
n3,1,0.393058,0.729462,[60 26] ; [42 13],[62.21276596 23.78723404] ; [39.78723404 15.21276596],0
a6,1,0.394079,0.726319,[326 135] ; [154  74],[321.16110305 139.83889695] ; [158.83889695  69.16110305],0
p1,1,0.408096,0.684341,[ 36 424] ; [ 22 205],[ 38.83551674 421.16448326] ; [ 19.16448326 207.83551674],0
a8,1,0.422052,0.644595,[ 60 362] ; [ 25 185],[ 56.75632911 365.24367089] ; [ 28.24367089 181.75632911],0
p2,1,0.436452,0.605593,[400  61] ; [192  35],[396.6744186  64.3255814] ; [195.3255814  31.6744186],0
a7,1,0.577957,0.30955,[337 125] ; [161  66],[333.92743106 128.07256894] ; [164.07256894  62.92743106],0
b2,1,0.597347,0.279017,[114 180] ; [58 82],[116.51612903 177.48387097] ; [55.48387097 84.51612903],0
b3,1,0.597347,0.279017,[114 180] ; [58 82],[116.51612903 177.48387097] ; [55.48387097 84.51612903],0
v2,1,0.735701,0.113942,[254 189] ; [128  90],[256.01512859 186.98487141] ; [125.98487141  92.01512859],0
