Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,27.733333,[ 8 24] ; [57 15],[20. 12.] ; [45. 27.],1
s8,1,0.417927,0.656137,[13 20] ; [34 37],[14.91346154 18.08653846] ; [32.08653846 38.91346154],0
s4,1,0.419221,0.652497,[ 6 27] ; [18 53],[ 7.61538462 25.38461538] ; [16.38461538 54.61538462],0
p1,1,0.431714,0.618209,[ 5 28] ; [ 7 64],[ 3.80769231 29.19230769] ; [ 8.19230769 62.80769231],0
r4,1,0.439882,0.596591,[27  6] ; [63  9],[28.28571429  4.71428571] ; [61.71428571 10.28571429],0
a8,1,0.443275,0.587791,[ 2 29] ; [ 7 54],[ 3.0326087 27.9673913] ; [ 5.9673913 55.0326087],0
d4,1,0.4664,0.530492,[23 10] ; [55 17],[24.51428571  8.48571429] ; [53.48571429 18.51428571],0
d3,1,0.4664,0.530492,[23 10] ; [55 17],[24.51428571  8.48571429] ; [53.48571429 18.51428571],0
b4,1,0.500184,0.454545,[16 17] ; [40 32],[17.6 15.4] ; [38.4 33.6],0
n6,1,0.509923,0.434226,[27  6] ; [54 17],[25.70192308  7.29807692] ; [55.29807692 15.70192308],0
p7,1,0.513302,0.42733,[17 16] ; [42 30],[18.54285714 14.45714286] ; [40.45714286 31.54285714],0
u2,1,0.542227,0.371429,[12 12] ; [6 9],[11.07692308 12.92307692] ; [6.92307692 8.07692308],0
v3,1,0.543599,0.368911,[10 21] ; [27 43],[11.35643564 19.64356436] ; [25.64356436 44.35643564],0
p12,1,0.572702,0.318182,[ 1 32] ; [ 4 68],[ 1.57142857 31.42857143] ; [ 3.42857143 68.57142857],0
u3,1,0.575731,0.313187,[15  9] ; [10  4],[15.78947368  8.21052632] ; [9.21052632 4.78947368],0
n5,1,0.579357,0.307275,[20 13] ; [47 24],[21.25961538 11.74038462] ; [45.74038462 25.25961538],0
b5,1,0.584419,0.299145,[22 11] ; [44 28],[20.74285714 12.25714286] ; [45.25714286 26.74285714],0
b1,1,0.603485,0.269772,[17 16] ; [41 31],[18.22857143 14.77142857] ; [39.77142857 32.22857143],0
v4,1,0.610254,0.259806,[30  3] ; [63  9],[29.22857143  3.77142857] ; [63.77142857  8.22857143],0
n2,1,0.6515,0.204014,[6 4] ; [15  7],[6.5625 3.4375] ; [14.4375  7.5625],0
n4,1,0.744558,0.106161,[22 11] ; [45 26],[21.25961538 11.74038462] ; [45.74038462 25.25961538],0
v1,1,0.793567,0.068477,[16 16] ; [34 38],[15.38461538 16.61538462] ; [34.61538462 37.38461538],0
p3,1,0.83551,0.043114,[19 14] ; [43 29],[19.48571429 13.51428571] ; [42.51428571 29.48571429],0
s1,1,0.882466,0.021858,[ 2 30] ; [ 5 66],[ 2.17475728 29.82524272] ; [ 4.82524272 66.17475728],0
p10,1,0.887015,0.020187,[18 14] ; [41 30],[18.33009709 13.66990291] ; [40.66990291 30.33009709],0
s3,1,0.931608,0.007365,[20 13] ; [43 29],[19.8 13.2] ; [43.2 28.8],0
r3,1,0.95579,0.003073,[29  3] ; [65  7],[28.92307692  3.07692308] ; [65.07692308  6.92307692],0
