Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,85.429358,[343  92] ; [ 74 108],[293.99513776 141.00486224] ; [123.00486224  58.99513776],1
a8,1,0.044819,4.025429,[ 77 312] ; [ 22 150],[ 68.64705882 320.35294118] ; [ 30.35294118 141.64705882],0
n2,1,0.045182,4.011844,[65 17] ; [31 18],[60.09160305 21.90839695] ; [35.90839695 13.09160305],0
p4,1,0.073342,3.206583,[271 164] ; [97 81],[261.14192496 173.85807504] ; [106.85807504  71.14192496],0
p8,1,0.074592,3.178963,[231 199] ; [81 96],[221.0214168 208.9785832] ; [90.9785832 86.0214168],0
p7,1,0.086954,2.929871,[277 149] ; [102  75],[267.75124378 158.24875622] ; [111.24875622  65.75124378],0
p2,1,0.090504,2.86539,[369  69] ; [139  38],[361.79512195  76.20487805] ; [146.20487805  30.79512195],0
p11,1,0.091637,2.845384,[356  82] ; [137  45],[348.28064516  89.71935484] ; [144.71935484  37.28064516],0
n6,1,0.19604,1.671631,[381  53] ; [151  29],[376.03908795  57.96091205] ; [155.96091205  24.03908795],0
p1,1,0.218056,1.517122,[ 48 388] ; [ 14 167],[ 43.81199352 392.18800648] ; [ 18.18800648 162.81199352],0
b4,1,0.219725,1.50617,[264 174] ; [100  82],[257.1483871 180.8516129] ; [106.8516129  75.1483871],0
p9,1,0.220355,1.502057,[363  67] ; [143  35],[357.86184211  72.13815789] ; [148.13815789  29.86184211],0
a3,1,0.235952,1.404616,[323 111] ; [127  55],[317.04545455 116.95454545] ; [132.95454545  49.04545455],0
s6,1,0.251729,1.313681,[280 152] ; [106  71],[273.81280788 158.18719212] ; [112.18719212  64.81280788],0
p12,1,0.255486,1.293053,[ 42 393] ; [ 12 165],[ 38.38235294 396.61764706] ; [ 15.61764706 161.38235294],0
s2,1,0.270111,1.216186,[209 224] ; [ 79 103],[202.77073171 230.22926829] ; [85.22926829 96.77073171],0
a4,1,0.308269,1.03808,[211 225] ; [ 79 101],[205.25974026 230.74025974] ; [84.74025974 95.25974026],0
u4,1,0.359402,0.839982,[  9 429] ; [  6 176],[ 10.59677419 427.40322581] ; [  4.40322581 177.59677419],0
v1,1,0.361218,0.833655,[240 184] ; [93 84],[234.92845258 189.07154742] ; [98.07154742 78.92845258],0
n3,1,0.411368,0.674844,[59 22] ; [31 16],[56.953125 24.046875] ; [33.046875 13.953125],0
p3,1,0.422377,0.643693,[225 211] ; [86 93],[220.48130081 215.51869919] ; [90.51869919 88.48130081],0
s8,1,0.454155,0.560262,[188 245] ; [85 97],[192.2097561 240.7902439] ; [ 80.7902439 101.2097561],0
s5,1,0.492717,0.470588,[124 301] ; [ 56 119],[127.5 297.5] ; [ 52.5 122.5],0
p6,1,0.558497,0.342314,[164 268] ; [ 62 113],[160.84349259 271.15650741] ; [ 65.15650741 109.84349259],0
s1,1,0.560091,0.339547,[ 16 414] ; [  5 175],[ 14.80327869 415.19672131] ; [  6.19672131 173.80327869],0
p5,1,0.591694,0.287707,[ 56 378] ; [ 26 153],[ 58.05546493 375.94453507] ; [ 23.94453507 155.05546493],0
s3,1,0.703096,0.145271,[232 196] ; [94 85],[229.86490939 198.13509061] ; [96.13509061 82.86490939],0
s7,1,0.731223,0.117992,[205 206] ; [90 85],[206.90273038 204.09726962] ; [88.09726962 86.90273038],0
a1,1,0.748477,0.102815,[ 27 411] ; [ 10 172],[ 26.13870968 411.86129032] ; [ 10.86129032 171.13870968],0
d2,1,0.752198,0.099693,[226 209] ; [91 89],[224.2195122 210.7804878] ; [92.7804878 87.2195122],0
n5,1,0.76405,0.0901,[370  64] ; [156  25],[371.19349593  62.80650407] ; [154.80650407  26.19349593],0
v3,1,0.923035,0.009334,[186 235] ; [77 99],[185.46566164 235.53433836] ; [77.53433836 98.46566164],0
n1,1,0.990914,0.00013,[37 42] ; [23 26],[37.03125 41.96875] ; [22.96875 26.03125],0
