Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,41.907721,[76  1] ; [42 35],[59. 18.] ; [59. 18.],1
p1,1,0.229169,1.446009,[ 4 73] ; [ 8 69],[ 6. 71.] ; [ 6. 71.],0
u1,1,0.253058,1.306344,[ 2 75] ; [ 5 73],[ 3.47741935 73.52258065] ; [ 3.52258065 74.47741935],0
v1,1,0.255519,1.292875,[30 45] ; [23 51],[26.67785235 48.32214765] ; [26.32214765 47.67785235],0
n4,1,0.277386,1.179855,[50 27] ; [44 34],[46.69677419 30.30322581] ; [47.30322581 30.69677419],0
s7,1,0.344014,0.895417,[21 51] ; [17 59],[18.48648649 53.51351351] ; [19.51351351 56.48648649],0
a8,1,0.356377,0.850621,[ 8 65] ; [ 5 70],[ 6.41216216 66.58783784] ; [ 6.58783784 68.41216216],0
a4,1,0.375643,0.784913,[25 52] ; [20 57],[22.5 54.5] ; [22.5 54.5],0
a5,1,0.376006,0.783721,[42 35] ; [37 41],[39.24516129 37.75483871] ; [39.75483871 38.24516129],0
v3,1,0.379038,0.773818,[18 57] ; [14 63],[15.78947368 59.21052632] ; [16.21052632 60.78947368],0
u2,1,0.402804,0.69994,[15 19] ; [12 23],[13.30434783 20.69565217] ; [13.69565217 21.30434783],0
p8,1,0.410846,0.676351,[26 51] ; [21 55],[23.65359477 53.34640523] ; [23.34640523 52.65359477],0
d4,1,0.435497,0.608119,[52 25] ; [48 30],[49.67741935 27.32258065] ; [50.32258065 27.67741935],0
d2,1,0.439054,0.598753,[26 50] ; [31 46],[28.31372549 47.68627451] ; [28.68627451 48.31372549],0
p12,1,0.559855,0.339956,[ 2 75] ; [ 1 76],[ 1.5 75.5] ; [ 1.5 75.5],0
a2,1,0.578719,0.308309,[ 9 68] ; [ 7 71],[ 7.9483871 69.0516129] ; [ 8.0516129 69.9483871],0
n1,1,0.606774,0.2649,[ 8 13] ; [10 22],[ 7.13207547 13.86792453] ; [10.86792453 21.13207547],0
v2,1,0.6455,0.211621,[24 51] ; [22 55],[22.69736842 52.30263158] ; [23.30263158 53.69736842],0
u3,1,0.668802,0.183007,[13 21] ; [12 24],[12.14285714 21.85714286] ; [12.85714286 23.14285714],0
b4,1,0.679666,0.170502,[44 33] ; [42 36],[42.72258065 34.27741935] ; [43.27741935 34.72258065],0
b2,1,0.751304,0.100439,[13 30] ; [16 32],[13.7032967 29.2967033] ; [15.2967033 32.7032967],0
b3,1,0.751304,0.100439,[13 30] ; [16 32],[13.7032967 29.2967033] ; [15.2967033 32.7032967],0
d3,1,0.808338,0.058841,[37 40] ; [39 39],[37.75483871 39.24516129] ; [38.24516129 39.75483871],0
a3,1,0.871273,0.026257,[43 34] ; [42 35],[42.5 34.5] ; [42.5 34.5],0
d1,1,0.954488,0.003257,[26 51] ; [26 52],[25.83225806 51.16774194] ; [26.16774194 51.83225806],0
s4,1,0.968611,0.001548,[15 62] ; [15 63],[14.90322581 62.09677419] ; [15.09677419 62.90322581],0
