Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.000337,12.851634,[44 58] ; [ 1 23],[36.42857143 65.57142857] ; [ 8.57142857 15.42857143],1
d3,1,0.291589,1.112268,[67 35] ; [13 11],[64.76190476 37.23809524] ; [15.23809524  8.76190476],0
d5,1,0.304503,1.054367,[82 20] ; [17  7],[80.14285714 21.85714286] ; [18.85714286  5.14285714],0
a7,1,0.307725,1.040415,[70 32] ; [19  5],[72.04761905 29.95238095] ; [16.95238095  7.04761905],0
v1,1,0.344051,0.895276,[39 60] ; [12 12],[41.04878049 57.95121951] ; [ 9.95121951 14.04878049],0
d1,1,0.411554,0.674306,[52 50] ; [10 14],[50.19047619 51.80952381] ; [11.80952381 12.19047619],0
s5,1,0.412119,0.672678,[24 70] ; [ 4 19],[22.4957265 71.5042735] ; [ 5.5042735 17.4957265],0
u1,1,0.467119,0.528784,[ 8 94] ; [ 3 21],[ 8.9047619 93.0952381] ; [ 2.0952381 21.9047619],0
p12,1,0.53501,0.384867,[ 2 98] ; [ 1 23],[ 2.41935484 97.58064516] ; [ 0.58064516 23.41935484],0
n3,1,0.538462,0.378397,[24 14] ; [3 3],[23.31818182 14.68181818] ; [3.68181818 2.31818182],0
a2,1,0.548189,0.360572,[13 89] ; [ 2 22],[12.14285714 89.85714286] ; [ 2.85714286 21.14285714],0
a5,1,0.555574,0.347426,[57 45] ; [15  9],[58.28571429 43.71428571] ; [13.71428571 10.28571429],0
p6,1,0.620313,0.245428,[12 89] ; [ 2 22],[11.312 89.688] ; [ 2.688 21.312],0
p11,1,0.633466,0.227389,[54 48] ; [14 10],[55.04761905 46.95238095] ; [12.95238095 11.04761905],0
s8,1,0.633657,0.227135,[26 76] ; [ 5 19],[25.0952381 76.9047619] ; [ 5.9047619 18.0952381],0
n2,1,0.635836,0.224229,[22 17] ; [4 2],[22.53333333 16.46666667] ; [3.46666667 2.53333333],0
r1,1,0.647421,0.209168,[71 30] ; [18  6],[71.912 29.088] ; [17.088  6.912],0
n6,1,0.664649,0.187925,[56 46] ; [12 12],[55.04761905 46.95238095] ; [12.95238095 11.04761905],0
s3,1,0.714402,0.13392,[42 59] ; [ 9 15],[41.208 59.792] ; [ 9.792 14.208],0
v4,1,0.724944,0.123805,[87 14] ; [20  4],[86.456 14.544] ; [20.544  3.456],0
s6,1,0.751404,0.100355,[49 52] ; [12 11],[49.68548387 51.31451613] ; [11.31451613 11.68548387],0
b4,1,0.756369,0.096257,[63 39] ; [14 10],[62.33333333 39.66666667] ; [14.66666667  9.33333333],0
s7,1,0.772017,0.083948,[26 67] ; [ 6 18],[25.43589744 67.56410256] ; [ 6.56410256 17.43589744],0
r3,1,0.825232,0.048762,[92 10] ; [22  2],[92.28571429  9.71428571] ; [21.71428571  2.28571429],0
p3,1,0.837731,0.041941,[23 78] ; [ 5 19],[22.624 78.376] ; [ 5.376 18.624],0
s2,1,0.866785,0.028138,[38 64] ; [ 9 14],[38.352 63.648] ; [ 8.648 14.352],0
s1,1,0.879037,0.023162,[ 5 97] ; [ 1 23],[ 4.85714286 97.14285714] ; [ 1.14285714 22.85714286],0
a8,1,0.892785,0.018166,[ 6 93] ; [ 1 18],[ 5.87288136 93.12711864] ; [ 1.12711864 17.87288136],0
b2,1,0.915738,0.011195,[19 32] ; [5 9],[18.83076923 32.16923077] ; [5.16923077 8.83076923],0
b3,1,0.915738,0.011195,[19 32] ; [5 9],[18.83076923 32.16923077] ; [5.16923077 8.83076923],0
v2,1,0.927254,0.008336,[47 49] ; [12 12],[47.2 48.8] ; [11.8 12.2],0
n1,1,0.967611,0.001649,[13 27] ; [2 4],[13.04347826 26.95652174] ; [1.95652174 4.04347826],0
p4,1,0.981075,0.000563,[30 72] ; [ 7 17],[29.95238095 72.04761905] ; [ 7.04761905 16.95238095],0
