Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,71.261682,[239  82] ; [ 5 40],[214. 107.] ; [30. 15.],1
p2,1,0.077312,3.120528,[279  40] ; [35 10],[275.18131868  43.81868132] ; [38.81868132  6.18131868],0
r1,1,0.081458,3.035574,[274  46] ; [34 11],[270.02739726  49.97260274] ; [37.97260274  7.02739726],0
b3,1,0.094553,2.7951,[ 86 121] ; [ 8 23],[ 81.75630252 125.24369748] ; [12.24369748 18.75630252],0
b2,1,0.094553,2.7951,[ 86 121] ; [ 8 23],[ 81.75630252 125.24369748] ; [12.24369748 18.75630252],0
v1,1,0.094641,2.793599,[192 118] ; [22 23],[186.87323944 123.12676056] ; [27.12676056 17.87323944],0
p12,1,0.10185,2.676327,[ 41 278] ; [ 2 43],[ 37.68406593 281.31593407] ; [ 5.31593407 39.68406593],0
a7,1,0.128114,2.315214,[234  86] ; [28 17],[229.69863014  90.30136986] ; [32.30136986 12.69863014],0
p11,1,0.152413,2.04793,[264  57] ; [33 12],[260.48360656  60.51639344] ; [36.51639344  8.48360656],0
a1,1,0.230552,1.437454,[ 22 299] ; [ 1 44],[ 20.17213115 300.82786885] ; [ 2.82786885 42.17213115],0
s8,1,0.233321,1.420503,[207 113] ; [25 20],[203.39726027 116.60273973] ; [28.60273973 16.39726027],0
a6,1,0.268379,1.225014,[205 115] ; [25 20],[201.64383562 118.35616438] ; [28.35616438 16.64383562],0
n2,1,0.281374,1.16044,[42 13] ; [10  1],[43.33333333 11.66666667] ; [8.66666667 2.33333333],0
a8,1,0.379206,0.773275,[ 54 244] ; [ 5 35],[ 52.01775148 245.98224852] ; [ 6.98224852 33.01775148],0
p8,1,0.413253,0.669423,[175 141] ; [22 23],[172.4432133 143.5567867] ; [24.5567867 20.4432133],0
v3,1,0.489488,0.477651,[147 161] ; [19 26],[144.83852691 163.16147309] ; [21.16147309 23.83852691],0
n1,1,0.507122,0.44,[24 31] ; [6 5],[25. 30.] ; [5. 6.],0
b5,1,0.531678,0.391183,[194 127] ; [25 20],[192.07377049 128.92622951] ; [26.92622951 18.07377049],0
p7,1,0.547775,0.361318,[212  99] ; [28 16],[210.25352113 100.74647887] ; [29.74647887 14.25352113],0
p6,1,0.631233,0.230392,[145 170] ; [19 26],[143.5 171.5] ; [20.5 24.5],0
n5,1,0.667697,0.184307,[283  35] ; [41  4],[283.83471074  34.16528926] ; [40.16528926  4.83471074],0
n6,1,0.673464,0.177576,[290  27] ; [42  3],[290.72928177  26.27071823] ; [41.27071823  3.72928177],0
r2,1,0.71976,0.128723,[306  11] ; [42  2],[305.58448753  11.41551247] ; [42.41551247  1.58448753],0
s5,1,0.749557,0.101904,[146 158] ; [20 24],[145.01149425 158.98850575] ; [20.98850575 23.01149425],0
s7,1,0.812733,0.056122,[232  77] ; [33 10],[232.62784091  76.37215909] ; [32.37215909 10.62784091],0
b4,1,0.822697,0.050211,[184 137] ; [25 20],[183.30327869 137.69672131] ; [25.69672131 19.30327869],0
s6,1,0.870518,0.026569,[273  41] ; [37  6],[272.66106443  41.33893557] ; [37.33893557  5.66106443],0
p5,1,0.904455,0.014409,[ 47 269] ; [ 7 38],[ 47.26869806 268.73130194] ; [ 6.73130194 38.26869806],0
s3,1,0.910335,0.012682,[280  38] ; [39  5],[280.22651934  37.77348066] ; [38.77348066  5.22651934],0
p10,1,0.922194,0.00954,[279  41] ; [39  6],[278.79452055  41.20547945] ; [39.20547945  5.79452055],0
n3,1,0.973424,0.00111,[41 15] ; [8 3],[40.95522388 15.04477612] ; [8.04477612 2.95522388],0
b1,1,0.983132,0.000447,[135 186] ; [19 26],[135.06557377 185.93442623] ; [18.93442623 26.06557377],0
