Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.002475,9.158726,[ 7 30] ; [14 11],[12.53225806 24.46774194] ; [ 8.46774194 16.53225806],0
u4,1,0.359897,0.838254,[ 1 36] ; [ 2 24],[ 1.76190476 35.23809524] ; [ 1.23809524 24.76190476],0
u3,1,0.377822,0.777778,[10 11] ; [2 5],[ 9. 12.] ; [3. 4.],0
s6,1,0.436257,0.606108,[20 16] ; [17  9],[21.48387097 14.51612903] ; [15.51612903 10.48387097],0
v4,1,0.469179,0.523909,[32  5] ; [24  2],[32.88888889  4.11111111] ; [23.11111111  2.88888889],0
d4,1,0.474434,0.511629,[27 10] ; [21  5],[28.19047619  8.80952381] ; [19.80952381  6.19047619],0
r3,1,0.494617,0.466467,[34  3] ; [25  1],[34.65079365  2.34920635] ; [24.34920635  1.65079365],0
a6,1,0.56231,0.33572,[23 14] ; [18  8],[24.07936508 12.92063492] ; [16.92063492  9.07936508],0
s5,1,0.605919,0.26616,[ 5 30] ; [ 5 21],[ 5.73770492 29.26229508] ; [ 4.26229508 21.73770492],0
p5,1,0.647923,0.208529,[ 3 34] ; [ 3 23],[ 3.52380952 33.47619048] ; [ 2.47619048 23.52380952],0
v3,1,0.655969,0.198457,[11 25] ; [ 9 16],[11.80327869 24.19672131] ; [ 8.19672131 16.80327869],0
r2,1,0.678042,0.172338,[33  4] ; [24  2],[33.47619048  3.52380952] ; [23.52380952  2.47619048],0
b5,1,0.681704,0.168214,[26 11] ; [17  9],[25.25396825 11.74603175] ; [17.74603175  8.25396825],0
v1,1,0.70429,0.144048,[16 21] ; [10 16],[15.26984127 21.73015873] ; [10.73015873 15.26984127],0
d3,1,0.722878,0.125752,[27 10] ; [20  6],[27.6031746  9.3968254] ; [19.3968254  6.6031746],0
v2,1,0.751094,0.100614,[20 17] ; [13 13],[19.38095238 17.61904762] ; [13.61904762 12.38095238],0
d2,1,0.774791,0.081861,[17 20] ; [11 15],[16.44444444 20.55555556] ; [11.55555556 14.44444444],0
a1,1,0.798834,0.064952,[ 1 36] ; [ 1 25],[ 1.17460317 35.82539683] ; [ 0.82539683 25.17460317],0
s1,1,0.800286,0.063998,[ 2 35] ; [ 1 24],[ 1.79032258 35.20967742] ; [ 1.20967742 23.79032258],0
p6,1,0.861108,0.030612,[16 19] ; [12 13],[16.33333333 18.66666667] ; [11.66666667 13.33333333],0
b4,1,0.868114,0.027574,[22 15] ; [16 10],[22.31746032 14.68253968] ; [15.68253968 10.31746032],0
b2,1,0.92506,0.008848,[ 5 15] ; [ 5 14],[ 5.12820513 14.87179487] ; [ 4.87179487 14.12820513],0
b3,1,0.92506,0.008848,[ 5 15] ; [ 5 14],[ 5.12820513 14.87179487] ; [ 4.87179487 14.12820513],0
p1,1,0.927908,0.008186,[ 4 33] ; [ 3 23],[ 4.11111111 32.88888889] ; [ 2.88888889 23.11111111],0
u1,1,0.92914,0.007908,[ 6 31] ; [ 4 22],[ 5.87301587 31.12698413] ; [ 4.12698413 21.87301587],0
n2,1,0.95218,0.003596,[8 3] ; [5 2],[7.94444444 3.05555556] ; [5.05555556 1.94444444],0
a5,1,0.959973,0.002519,[23 14] ; [16 10],[22.9047619 14.0952381] ; [16.0952381  9.9047619],0
