Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,5e-05,16.4497,[101   9] ; [31 16],[92.48407643 17.51592357] ; [39.51592357  7.48407643],1
b2,1,0.615307,0.252519,[14 44] ; [ 9 22],[14.98876404 43.01123596] ; [ 8.01123596 22.98876404],0
u1,1,0.628043,0.234723,[  4 107] ; [ 1 46],[  3.51265823 107.48734177] ; [ 1.48734177 45.51265823],0
n2,1,0.738643,0.111323,[19  9] ; [12  7],[18.46808511  9.53191489] ; [12.53191489  6.46808511],0
p6,1,0.740073,0.110062,[28 81] ; [13 33],[28.83225806 80.16774194] ; [12.16774194 33.83225806],0
p1,1,0.758579,0.094463,[11 98] ; [ 4 43],[10.48076923 98.51923077] ; [ 4.51923077 42.48076923],0
n1,1,0.769054,0.086208,[10 18] ; [ 6 13],[ 9.53191489 18.46808511] ; [ 6.46808511 12.53191489],0
u3,1,0.775927,0.081015,[34 32] ; [18 15],[34.66666667 31.33333333] ; [17.33333333 15.66666667],0
s3,1,0.794067,0.068138,[57 52] ; [23 23],[56.25806452 52.74193548] ; [23.74193548 22.25806452],0
n3,1,0.846725,0.037364,[17 11] ; [11  8],[16.68085106 11.31914894] ; [11.31914894  7.68085106],0
b5,1,0.901045,0.015461,[72 39] ; [30 17],[71.65822785 39.34177215] ; [30.34177215 16.65822785],0
