Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,35.345455,[26 38] ; [106  22],[44. 20.] ; [88. 40.],1
v2,1,0.055825,3.657266,[30 33] ; [76 46],[36.0972973 26.9027027] ; [69.9027027 52.0972973],0
u2,1,0.064904,3.407415,[ 9 11] ; [20  8],[12.08333333  7.91666667] ; [16.91666667 11.08333333],0
u3,1,0.075543,3.158267,[ 8 13] ; [19 11],[11.11764706  9.88235294] ; [15.88235294 14.11764706],0
n4,1,0.093686,2.809873,[41 22] ; [98 30],[45.84816754 17.15183246] ; [93.15183246 34.84816754],0
p4,1,0.114311,2.49358,[28 36] ; [72 57],[33.16062176 30.83937824] ; [66.83937824 62.16062176],0
p5,1,0.117167,2.454788,[ 6 57] ; [  5 123],[ 3.62827225 59.37172775] ; [  7.37172775 120.62827225],0
a1,1,0.143865,2.136124,[ 5 59] ; [  4 125],[ 2.98445596 61.01554404] ; [  6.01554404 122.98445596],0
a4,1,0.162813,1.947901,[25 38] ; [65 64],[29.53125 33.46875] ; [60.46875 68.53125],0
n3,1,0.21748,1.520923,[17  6] ; [27  4],[18.74074074  4.25925926] ; [25.25925926  5.74074074],0
n2,1,0.252083,1.311721,[18  4] ; [21 10],[16.18867925  5.81132075] ; [22.81132075  8.18867925],0
a3,1,0.255759,1.291566,[43 20] ; [98 31],[46.265625 16.734375] ; [94.734375 34.265625],0
p6,1,0.317517,0.999148,[19 44] ; [48 80],[22.09947644 40.90052356] ; [44.90052356 83.09947644],0
s2,1,0.357386,0.847059,[31 33] ; [71 57],[34. 30.] ; [68. 60.],0
d2,1,0.358092,0.844575,[28 36] ; [65 63],[31. 33.] ; [62. 66.],0
p2,1,0.376242,0.782946,[50 13] ; [109  20],[52.171875 10.828125] ; [106.828125  22.171875],0
b4,1,0.381206,0.76681,[38 26] ; [68 61],[35.15025907 28.84974093] ; [70.84974093 58.15025907],0
b1,1,0.385061,0.754483,[30 34] ; [52 77],[27.19170984 36.80829016] ; [54.80829016 74.19170984],0
s4,1,0.399075,0.711111,[ 8 56] ; [ 22 106],[10. 54.] ; [ 20. 108.],0
n6,1,0.414761,0.665112,[48 15] ; [104  24],[50.13612565 12.86387435] ; [101.86387435  26.13612565],0
n5,1,0.45522,0.557621,[46 17] ; [86 41],[43.76842105 19.23157895] ; [88.23157895 38.76842105],0
s8,1,0.548315,0.360345,[24 39] ; [55 74],[25.921875 37.078125] ; [53.078125 75.921875],0
s5,1,0.554014,0.350176,[21 42] ; [37 90],[19.23157895 43.76842105] ; [38.76842105 88.23157895],0
v1,1,0.568781,0.324726,[29 33] ; [64 61],[30.8342246 31.1657754] ; [62.1657754 62.8342246],0
v3,1,0.639011,0.220039,[23 40] ; [41 83],[21.56149733 41.43850267] ; [42.43850267 81.56149733],0
s7,1,0.678195,0.172165,[29 31] ; [65 61],[30.32258065 29.67741935] ; [63.67741935 62.32258065],0
p11,1,0.715438,0.132906,[43 21] ; [90 39],[44.10362694 19.89637306] ; [88.89637306 40.10362694],0
p12,1,0.742054,0.10833,[ 2 62] ; [  3 126],[ 1.65803109 62.34196891] ; [  3.34196891 125.65803109],0
n1,1,0.777464,0.079877,[ 6 15] ; [10 21],[ 6.46153846 14.53846154] ; [ 9.53846154 21.46153846],0
p1,1,0.790024,0.070905,[ 3 61] ; [  5 124],[ 2.65284974 61.34715026] ; [  5.34715026 123.65284974],0
s1,1,0.792829,0.068979,[ 2 61] ; [  5 122],[ 2.32105263 60.67894737] ; [  4.67894737 122.32105263],0
b2,1,0.860998,0.030661,[16 28] ; [33 54],[16.45801527 27.54198473] ; [32.54198473 54.45801527],0
b3,1,0.860998,0.030661,[16 28] ; [33 54],[16.45801527 27.54198473] ; [32.54198473 54.45801527],0
s3,1,0.981495,0.000538,[39 25] ; [77 49],[39.07368421 24.92631579] ; [76.92631579 49.07368421],0
