Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,3e-06,21.99738,[14 20] ; [63 11],[24.24074074  9.75925926] ; [52.75925926 21.24074074],1
a5,1,0.438958,0.599004,[22 13] ; [52 22],[23.76146789 11.23853211] ; [50.23853211 23.76146789],0
s2,1,0.492959,0.47006,[16 19] ; [38 34],[17.6635514 17.3364486] ; [36.3364486 35.6635514],0
p5,1,0.495779,0.46396,[ 2 32] ; [ 7 64],[ 2.91428571 31.08571429] ; [ 6.08571429 64.91428571],0
a3,1,0.496315,0.462806,[25 10] ; [48 26],[23.44036697 11.55963303] ; [49.55963303 24.44036697],0
s3,1,0.496928,0.461492,[17 18] ; [40 32],[18.64485981 16.35514019] ; [38.35514019 33.64485981],0
b5,1,0.530992,0.392494,[23 12] ; [44 30],[21.51376147 13.48623853] ; [45.48623853 28.51376147],0
p1,1,0.576023,0.312708,[ 3 32] ; [ 9 65],[ 3.85321101 31.14678899] ; [ 8.14678899 65.85321101],0
u4,1,0.584436,0.299118,[ 1 34] ; [ 1 73],[ 0.64220183 34.35779817] ; [ 1.35779817 72.64220183],0
p6,1,0.591199,0.288475,[ 7 28] ; [18 55],[ 8.10185185 26.89814815] ; [16.89814815 56.10185185],0
b1,1,0.6096,0.260758,[16 19] ; [30 44],[14.7706422 20.2293578] ; [31.2293578 42.7706422],0
a1,1,0.654547,0.200216,[ 2 33] ; [ 6 68],[ 2.56880734 32.43119266] ; [ 5.43119266 68.56880734],0
s4,1,0.661529,0.191672,[ 9 26] ; [16 57],[ 8.10185185 26.89814815] ; [16.89814815 56.10185185],0
u2,1,0.677392,0.173077,[5 5] ; [15 11],[5.55555556 4.44444444] ; [14.44444444 11.55555556],0
a4,1,0.706746,0.141549,[16 19] ; [31 43],[15.09174312 19.90825688] ; [31.90825688 42.09174312],0
b4,1,0.715543,0.132803,[20 15] ; [45 29],[20.87155963 14.12844037] ; [44.12844037 29.87155963],0
v1,1,0.735295,0.114306,[16 19] ; [30 41],[15.18867925 19.81132075] ; [30.81132075 40.18867925],0
u3,1,0.73927,0.110769,[6 4] ; [14 12],[5.55555556 4.44444444] ; [14.44444444 11.55555556],0
s5,1,0.803887,0.061663,[11 22] ; [21 47],[10.45544554 22.54455446] ; [21.54455446 46.45544554],0
s1,1,0.809216,0.058292,[ 2 33] ; [ 5 67],[ 2.28971963 32.71028037] ; [ 4.71028037 67.28971963],0
p8,1,0.856964,0.032487,[11 24] ; [22 52],[10.59633028 24.40366972] ; [22.40366972 51.59633028],0
r3,1,0.880797,0.022488,[32  3] ; [67  7],[31.78899083  3.21100917] ; [67.21100917  6.78899083],0
d5,1,0.891523,0.018599,[24 11] ; [51 22],[24.30555556 10.69444444] ; [50.69444444 22.30555556],0
v4,1,0.9346,0.006734,[32  3] ; [68  6],[32.11009174  2.88990826] ; [67.88990826  6.11009174],0
p4,1,0.934749,0.006703,[12 22] ; [26 46],[12.18867925 21.81132075] ; [25.81132075 46.18867925],0
