Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,2e-06,23.004608,[33  9] ; [19 43],[21. 21.] ; [31. 31.],1
r2,1,0.042723,4.106345,[40  1] ; [53  9],[37.01941748  3.98058252] ; [55.98058252  6.01941748],0
s8,1,0.043853,4.062194,[24 18] ; [23 39],[18.98076923 23.01923077] ; [28.01923077 33.98076923],0
n5,1,0.047284,3.935265,[31 10] ; [35 27],[26.27184466 14.72815534] ; [39.72815534 22.27184466],0
d4,1,0.07516,3.166576,[35  7] ; [42 20],[31.09615385 10.90384615] ; [45.90384615 16.09615385],0
v2,1,0.075812,3.152473,[25 17] ; [25 35],[20.58823529 21.41176471] ; [29.41176471 30.58823529],0
u2,1,0.079402,3.077094,[7 3] ; [11 18],[4.61538462 5.38461538] ; [13.38461538 15.61538462],0
r4,1,0.081976,3.025278,[39  3] ; [50 12],[35.94230769  6.05769231] ; [53.05769231  8.94230769],0
s5,1,0.100513,2.697378,[19 20] ; [19 40],[15.12244898 23.87755102] ; [22.87755102 36.12244898],0
n3,1,0.135392,2.229566,[9 2] ; [11  9],[7.09677419 3.90322581] ; [12.90322581  7.09677419],0
u4,1,0.150181,2.070415,[ 3 39] ; [ 1 61],[ 1.61538462 40.38461538] ; [ 2.38461538 59.61538462],0
d5,1,0.15808,1.9925,[36  6] ; [46 16],[33.11538462  8.88461538] ; [48.88461538 13.11538462],0
b5,1,0.179725,1.799898,[23 19] ; [42 20],[26.25 15.75] ; [38.75 23.25],0
u3,1,0.269818,1.21767,[8 2] ; [17 11],[6.57894737 3.42105263] ; [18.42105263  9.57894737],0
s4,1,0.27369,1.198157,[12 30] ; [12 50],[ 9.69230769 32.30769231] ; [14.30769231 47.69230769],0
n1,1,0.291339,1.113423,[6 5] ; [ 7 13],[4.61290323 6.38709677] ; [ 8.38709677 11.61290323],0
s2,1,0.295579,1.094035,[28 14] ; [35 27],[25.44230769 16.55769231] ; [37.55769231 24.44230769],0
n6,1,0.297515,1.0853,[34  7] ; [46 16],[31.84466019  9.15533981] ; [48.15533981 13.84466019],0
p5,1,0.304973,1.052321,[ 7 35] ; [ 6 55],[ 5.30097087 36.69902913] ; [ 7.69902913 53.30097087],0
s6,1,0.306243,1.046811,[33  7] ; [45 16],[30.89108911  9.10891089] ; [47.10891089 13.89108911],0
a7,1,0.317728,0.998276,[31 11] ; [40 22],[28.67307692 13.32692308] ; [42.32692308 19.67307692],0
n2,1,0.389529,0.740413,[6 5] ; [14  6],[7.09677419 3.90322581] ; [12.90322581  7.09677419],0
p1,1,0.442772,0.589088,[ 6 35] ; [ 6 56],[ 4.77669903 36.22330097] ; [ 7.22330097 54.77669903],0
r3,1,0.504983,0.444449,[38  3] ; [55  7],[37.01941748  3.98058252] ; [55.98058252  6.01941748],0
a6,1,0.52574,0.402619,[25 17] ; [33 29],[23.42307692 18.57692308] ; [34.57692308 27.42307692],0
b4,1,0.57885,0.308097,[24 18] ; [32 30],[22.61538462 19.38461538] ; [33.38461538 28.61538462],0
a8,1,0.624153,0.240073,[ 4 30] ; [ 5 53],[ 3.32608696 30.67391304] ; [ 5.67391304 52.32608696],0
v1,1,0.682332,0.167512,[21 21] ; [28 33],[19.98058252 22.01941748] ; [29.01941748 31.98058252],0
b1,1,0.682338,0.167506,[22 20] ; [35 27],[23.01923077 18.98076923] ; [33.98076923 28.01923077],0
a1,1,0.689383,0.159754,[ 2 40] ; [ 2 60],[ 1.61538462 40.38461538] ; [ 2.38461538 59.61538462],0
v3,1,0.798603,0.065104,[15 25] ; [21 39],[14.4 25.6] ; [21.6 38.4],0
s3,1,0.856461,0.032718,[25 17] ; [38 24],[25.44230769 16.55769231] ; [37.55769231 24.44230769],0
v4,1,0.923334,0.009261,[37  5] ; [55  7],[37.15384615  4.84615385] ; [54.84615385  7.15384615],0
s1,1,0.925411,0.008765,[ 3 39] ; [ 4 56],[ 2.88235294 39.11764706] ; [ 4.11764706 55.88235294],0
p12,1,0.985667,0.000323,[ 2 40] ; [ 3 59],[ 2.01923077 39.98076923] ; [ 2.98076923 59.01923077],0
