Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,62.181405,[134  25] ; [102 127],[96.71134021 62.28865979] ; [139.28865979  89.71134021],1
n2,1,0.371604,0.798294,[20  4] ; [37 13],[18.48648649  5.51351351] ; [38.51351351 11.48648649],0
p2,1,0.391646,0.733826,[149  13] ; [211  25],[146.53266332  15.46733668] ; [213.46733668  22.53266332],0
a6,1,0.435695,0.607596,[128  32] ; [181  55],[124.84848485  35.15151515] ; [184.15151515  51.84848485],0
p6,1,0.456201,0.5552,[81 79] ; [110 125],[77.36708861 82.63291139] ; [113.63291139 121.36708861],0
u2,1,0.463558,0.53729,[24 15] ; [33 28],[22.23 16.77] ; [34.77 26.23],0
u3,1,0.507344,0.43954,[24 15] ; [34 28],[22.3960396 16.6039604] ; [35.6039604 26.3960396],0
a3,1,0.509429,0.435241,[122  38] ; [173  63],[119.19191919  40.80808081] ; [175.80808081  60.19191919],0
s6,1,0.523488,0.407016,[108  48] ; [169  65],[110.8  45.2] ; [166.2  67.8],0
d4,1,0.749228,0.102181,[135  26] ; [195  41],[133.82871537  27.17128463] ; [196.17128463  39.82871537],0
s1,1,0.7712,0.084568,[  4 156] ; [  7 227],[  4.46700508 155.53299492] ; [  6.53299492 227.46700508],0
s2,1,0.810225,0.057665,[84 76] ; [121 115],[82.82828283 77.17171717] ; [122.17171717 113.82828283],0
b2,1,0.840166,0.040676,[39 68] ; [50 92],[38.24497992 68.75502008] ; [50.75502008 91.24497992],0
b3,1,0.840166,0.040676,[39 68] ; [50 92],[38.24497992 68.75502008] ; [50.75502008 91.24497992],0
b5,1,0.865922,0.028507,[103  59] ; [152  84],[103.79396985  58.20603015] ; [151.20603015  84.79396985],0
a8,1,0.937611,0.006127,[ 25 116] ; [ 39 177],[ 25.27731092 115.72268908] ; [ 38.72268908 177.27731092],0
d5,1,0.996205,2.3e-05,[133  28] ; [195  41],[133.01763224  27.98236776] ; [194.98236776  41.01763224],0
