Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,77.421224,[108   5] ; [11 28],[88.46710526 24.53289474] ; [30.53289474  8.46710526],1
d4,1,0.010816,6.495226,[90 23] ; [23 16],[84.00657895 28.99342105] ; [28.99342105 10.00657895],0
b3,1,0.012619,6.221737,[17 45] ; [13 10],[21.88235294 40.11764706] ; [ 8.11764706 14.88235294],0
b2,1,0.012619,6.221737,[17 45] ; [13 10],[21.88235294 40.11764706] ; [ 8.11764706 14.88235294],0
a5,1,0.015496,5.859189,[85 29] ; [21 18],[78.98039216 35.01960784] ; [27.01960784 11.98039216],0
d5,1,0.017172,5.678739,[91 22] ; [24 15],[85.49342105 27.50657895] ; [29.50657895  9.49342105],0
v3,1,0.030866,4.660388,[46 62] ; [ 9 30],[40.40816327 67.59183673] ; [14.59183673 24.40816327],0
p3,1,0.03605,4.394743,[52 62] ; [10 28],[46.5 67.5] ; [15.5 22.5],0
b5,1,0.038901,4.265171,[74 40] ; [18 21],[68.54901961 45.45098039] ; [23.45098039 15.54901961],0
u1,1,0.04716,3.939684,[25 89] ; [ 3 36],[20.8627451 93.1372549] ; [ 7.1372549 31.8627451],0
a8,1,0.050896,3.811695,[19 79] ; [ 2 34],[15.35820896 82.64179104] ; [ 5.64179104 30.35820896],0
p5,1,0.065192,3.400115,[15 98] ; [ 1 37],[ 11.97350993 101.02649007] ; [ 4.02649007 33.97350993],0
d1,1,0.084147,2.982934,[65 49] ; [16 23],[60.35294118 53.64705882] ; [20.64705882 18.35294118],0
b1,1,0.105717,2.617105,[59 55] ; [26 13],[63.33333333 50.66666667] ; [21.66666667 17.33333333],0
a2,1,0.113489,2.504948,[32 82] ; [ 6 33],[28.31372549 85.68627451] ; [ 9.68627451 29.31372549],0
a4,1,0.121968,2.391862,[58 55] ; [14 24],[53.8807947 59.1192053] ; [18.1192053 19.8807947],0
u2,1,0.132147,2.267104,[14 19] ; [ 3 12],[11.6875 21.3125] ; [5.3125 9.6875],0
a3,1,0.173024,1.856547,[81 31] ; [23 15],[77.65333333 34.34666667] ; [26.34666667 11.65333333],0
a6,1,0.242603,1.365407,[70 43] ; [20 19],[66.90789474 46.09210526] ; [23.09210526 15.90789474],0
n1,1,0.268568,1.224044,[20 13] ; [ 9 11],[18.05660377 14.94339623] ; [10.94339623  9.05660377],0
d2,1,0.321089,0.984505,[64 49] ; [18 20],[61.36423841 51.63576159] ; [20.63576159 17.36423841],0
n5,1,0.371504,0.798626,[95 19] ; [30  9],[93.1372549 20.8627451] ; [31.8627451  7.1372549],0
b4,1,0.666635,0.185563,[63 51] ; [20 19],[61.84313725 52.15686275] ; [21.15686275 17.84313725],0
s1,1,0.744973,0.105804,[  7 106] ; [ 3 36],[  7.43421053 105.56578947] ; [ 2.56578947 36.43421053],0
p12,1,0.768329,0.086766,[  4 109] ; [ 1 38],[  3.71710526 109.28289474] ; [ 1.28289474 37.71710526],0
p1,1,0.781362,0.077031,[ 10 104] ; [ 4 35],[ 10.43137255 103.56862745] ; [ 3.56862745 35.43137255],0
s4,1,0.835507,0.043116,[19 94] ; [ 6 33],[18.58552632 94.41447368] ; [ 6.41447368 32.58552632],0
