Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000167,14.171011,[74 14] ; [18 17],[65.82113821 22.17886179] ; [26.17886179  8.82113821],1
n2,1,0.522166,0.409613,[19  6] ; [10  5],[18.125  6.875] ; [10.875  4.125],0
r2,1,0.529653,0.395056,[83  5] ; [31  3],[82.2295082  5.7704918] ; [31.7704918  2.2295082],0
b1,1,0.54493,0.366478,[28 61] ; [13 22],[29.42741935 59.57258065] ; [11.57258065 23.42741935],0
u3,1,0.561484,0.337142,[21 10] ; [7 5],[20.18604651 10.81395349] ; [7.81395349 4.18604651],0
p3,1,0.574964,0.314447,[39 50] ; [13 21],[37.62601626 51.37398374] ; [14.37398374 19.62601626],0
p8,1,0.582626,0.302009,[33 55] ; [15 20],[34.34146341 53.65853659] ; [13.65853659 21.34146341],0
a3,1,0.624837,0.239127,[56 33] ; [23 11],[57.16260163 31.83739837] ; [21.83739837 12.16260163],0
n4,1,0.633204,0.227742,[34 55] ; [15 20],[35.16935484 53.83064516] ; [13.83064516 21.16935484],0
p7,1,0.636324,0.223583,[47 38] ; [21 14],[48.16666667 36.83333333] ; [19.83333333 15.16666667],0
a4,1,0.674714,0.176138,[32 57] ; [14 21],[33.01612903 55.98387097] ; [12.98387097 22.01612903],0
s1,1,0.723715,0.124961,[ 6 83] ; [ 3 32],[ 6.45967742 82.54032258] ; [ 2.54032258 32.45967742],0
r1,1,0.724741,0.123995,[68 20] ; [26  9],[67.25203252 20.74796748] ; [26.74796748  8.25203252],0
p11,1,0.770955,0.084754,[56 33] ; [23 12],[56.7016129 32.2983871] ; [22.2983871 12.7016129],0
v1,1,0.809857,0.057893,[34 51] ; [14 19],[34.57627119 50.42372881] ; [13.42372881 19.57627119],0
n3,1,0.825309,0.048718,[20  5] ; [10  3],[19.73684211  5.26315789] ; [10.26315789  2.73684211],0
v2,1,0.865868,0.02853,[42 40] ; [18 16],[42.4137931 39.5862069] ; [17.5862069 16.4137931],0
r3,1,0.884152,0.021231,[86  3] ; [34  1],[86.12903226  2.87096774] ; [33.87096774  1.12903226],0
b4,1,0.912848,0.011979,[55 34] ; [22 13],[55.26612903 33.73387097] ; [21.73387097 13.26612903],0
p1,1,0.923761,0.009158,[ 7 80] ; [ 3 32],[ 7.13114754 79.86885246] ; [ 2.86885246 32.13114754],0
u2,1,0.946189,0.004555,[21 10] ; [8 4],[20.90697674 10.09302326] ; [8.09302326 3.90697674],0
a1,1,0.983313,0.000437,[ 5 84] ; [ 2 33],[ 5.02419355 83.97580645] ; [ 1.97580645 33.02419355],0
v3,1,0.990571,0.00014,[23 61] ; [ 9 24],[22.97435897 61.02564103] ; [ 9.02564103 23.97435897],0
