Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,3.6e-05,17.071921,[82  8] ; [34 20],[72.5 17.5] ; [43.5 10.5],1
p7,1,0.085043,2.965797,[41 48] ; [17 37],[36.0979021 52.9020979] ; [21.9020979 32.0979021],0
a3,1,0.106819,2.600669,[62 28] ; [30 24],[57.5 32.5] ; [34.5 19.5],0
r2,1,0.134538,2.239346,[76 11] ; [42 12],[72.80851064 14.19148936] ; [45.19148936  8.80851064],0
a1,1,0.136063,2.221923,[ 4 86] ; [ 6 49],[ 6.20689655 83.79310345] ; [ 3.79310345 51.20689655],0
v2,1,0.146983,2.103288,[33 55] ; [13 38],[29.12230216 58.87769784] ; [16.87769784 34.12230216],0
d5,1,0.154019,2.031984,[69 20] ; [36 18],[65.34965035 23.65034965] ; [39.65034965 14.34965035],0
u2,1,0.173424,1.853091,[ 9 18] ; [13 12],[11.42307692 15.57692308] ; [10.57692308 14.42307692],0
d1,1,0.178336,1.811434,[48 42] ; [23 32],[44.06896552 45.93103448] ; [26.93103448 28.06896552],0
d4,1,0.220703,1.499796,[68 22] ; [35 18],[64.82517483 25.17482517] ; [38.17482517 14.82517483],0
a6,1,0.2217,1.493333,[49 41] ; [35 19],[52.5 37.5] ; [31.5 22.5],0
d3,1,0.236723,1.400003,[56 33] ; [28 25],[52.64788732 36.35211268] ; [31.35211268 21.64788732],0
n1,1,0.26066,1.265251,[17 21] ; [ 8 18],[14.84375 23.15625] ; [10.15625 15.84375],0
a7,1,0.365977,0.817278,[60 29] ; [33 22],[57.47916667 31.52083333] ; [35.52083333 19.47916667],0
n3,1,0.368803,0.807692,[24 15] ; [12 12],[22.28571429 16.71428571] ; [13.71428571 10.28571429],0
s4,1,0.377601,0.778498,[22 68] ; [10 45],[19.86206897 70.13793103] ; [12.13793103 42.86206897],0
b2,1,0.384987,0.754717,[18 30] ; [ 9 23],[16.2 31.8] ; [10.8 21.2],0
b3,1,0.384987,0.754717,[18 30] ; [ 9 23],[16.2 31.8] ; [10.8 21.2],0
p3,1,0.386628,0.749521,[29 61] ; [14 41],[26.68965517 63.31034483] ; [16.31034483 38.68965517],0
s1,1,0.41497,0.664516,[ 5 85] ; [ 5 50],[ 6.20689655 83.79310345] ; [ 3.79310345 51.20689655],0
b4,1,0.56893,0.324476,[48 42] ; [32 23],[49.65517241 40.34482759] ; [30.34482759 24.65517241],0
a2,1,0.585206,0.297894,[18 72] ; [ 9 46],[16.75862069 73.24137931] ; [10.24137931 44.75862069],0
v3,1,0.629638,0.232552,[24 66] ; [11 37],[22.82608696 67.17391304] ; [12.17391304 35.82608696],0
p8,1,0.642882,0.214993,[25 64] ; [13 40],[23.81690141 65.18309859] ; [14.18309859 38.81690141],0
r1,1,0.648884,0.20731,[59 31] ; [34 21],[57.72413793 32.27586207] ; [35.27586207 19.72413793],0
d2,1,0.779586,0.078321,[45 44] ; [26 28],[44.18881119 44.81118881] ; [26.81118881 27.18881119],0
b1,1,0.84051,0.040498,[49 41] ; [29 26],[48.4137931 41.5862069] ; [29.5862069 25.4137931],0
u3,1,0.841542,0.039969,[12 15] ; [10 14],[11.64705882 15.35294118] ; [10.35294118 13.64705882],0
s3,1,0.850125,0.035705,[41 48] ; [24 30],[40.45454545 48.54545455] ; [24.54545455 29.45454545],0
p1,1,0.911261,0.012421,[ 7 83] ; [ 4 51],[ 6.82758621 83.17241379] ; [ 4.17241379 50.82758621],0
a8,1,0.919339,0.010255,[ 7 73] ; [ 5 49],[ 7.1641791 72.8358209] ; [ 4.8358209 49.1641791],0
a4,1,0.998044,6e-06,[34 55] ; [21 34],[33.99305556 55.00694444] ; [21.00694444 33.99305556],0
a5,1,1.0,0.0,[54 36] ; [33 22],[54. 36.] ; [33. 22.],0
