Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,3.8e-05,16.970118,[16 43] ; [23  9],[25.28571429 33.71428571] ; [13.71428571 18.28571429],1
v4,1,0.445099,0.583101,[43 15] ; [26  6],[44.46666667 13.53333333] ; [24.53333333  7.46666667],0
s3,1,0.450642,0.569036,[26 32] ; [17 15],[27.71111111 30.28888889] ; [15.28888889 16.71111111],0
a8,1,0.489528,0.477563,[ 5 51] ; [ 4 25],[ 5.92941176 50.07058824] ; [ 3.07058824 25.92941176],0
u2,1,0.496829,0.461704,[19 25] ; [5 4],[19.9245283 24.0754717] ; [4.0754717 4.9245283],0
b4,1,0.540918,0.373841,[34 26] ; [16 16],[32.60869565 27.39130435] ; [17.39130435 14.60869565],0
b1,1,0.555047,0.348353,[28 32] ; [17 15],[29.34782609 30.65217391] ; [15.65217391 16.34782609],0
s4,1,0.596158,0.28083,[10 50] ; [ 4 28],[ 9.13043478 50.86956522] ; [ 4.86956522 27.13043478],0
u1,1,0.647785,0.208704,[ 1 59] ; [ 1 31],[ 1.30434783 58.69565217] ; [ 0.69565217 31.30434783],0
v2,1,0.650513,0.205254,[13 40] ; [ 9 22],[13.88095238 39.11904762] ; [ 8.11904762 22.88095238],0
p6,1,0.691531,0.157433,[11 47] ; [ 5 27],[10.31111111 47.68888889] ; [ 5.68888889 26.31111111],0
p5,1,0.703753,0.144597,[ 5 54] ; [ 2 30],[ 4.53846154 54.46153846] ; [ 2.46153846 29.53846154],0
n5,1,0.705459,0.142855,[41 18] ; [21 11],[40.1978022 18.8021978] ; [21.8021978 10.1978022],0
p4,1,0.731162,0.118047,[20 39] ; [12 20],[20.74725275 38.25274725] ; [11.25274725 20.74725275],0
p2,1,0.814975,0.054762,[36 24] ; [20 12],[36.52173913 23.47826087] ; [19.47826087 12.52173913],0
d3,1,0.832422,0.044773,[12 48] ; [ 7 25],[12.39130435 47.60869565] ; [ 6.60869565 25.39130435],0
a1,1,0.93855,0.005943,[ 4 56] ; [ 2 30],[ 3.91304348 56.08695652] ; [ 2.08695652 29.91304348],0
p12,1,0.93855,0.005943,[ 4 56] ; [ 2 30],[ 3.91304348 56.08695652] ; [ 2.08695652 29.91304348],0
s5,1,0.949656,0.003986,[11 46] ; [ 6 26],[10.88764045 46.11235955] ; [ 6.11235955 25.88764045],0
s1,1,0.952725,0.003515,[ 4 55] ; [ 2 29],[ 3.93333333 55.06666667] ; [ 2.06666667 28.93333333],0
n6,1,0.963458,0.002099,[39 21] ; [20 11],[38.9010989 21.0989011] ; [20.0989011 10.9010989],0
r2,1,0.964577,0.001972,[44 15] ; [24  8],[44.08791209 14.91208791] ; [23.91208791  8.08791209],0
n1,1,0.980074,0.000624,[ 7 16] ; [3 7],[ 6.96969697 16.03030303] ; [3.03030303 6.96969697],0
v1,1,0.984085,0.000398,[22 37] ; [12 20],[22.04395604 36.95604396] ; [11.95604396 20.04395604],0
d2,1,1.0,0.0,[15 45] ; [ 8 24],[15. 45.] ; [ 8. 24.],0
