Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,202.419038,[ 22 165] ; [335 123],[103.50232558  83.49767442] ; [253.49767442 204.50232558],1
p11,1,0.722307,0.126293,[151  37] ; [375  85],[152.60493827  35.39506173] ; [373.39506173  86.60493827],0
b1,1,0.72614,0.122685,[ 71 117] ; [167 293],[ 69.04938272 118.95061728] ; [168.95061728 291.04938272],0
b5,1,0.799108,0.064771,[112  76] ; [279 181],[113.4382716  74.5617284] ; [277.5617284 182.4382716],0
u2,1,0.812314,0.056378,[37 31] ; [49 38],[37.72903226 30.27096774] ; [48.27096774 38.72903226],0
p5,1,0.825362,0.048688,[ 23 164] ; [ 59 397],[ 23.84758942 163.15241058] ; [ 58.15241058 397.84758942],0
n1,1,0.845474,0.037984,[16 26] ; [36 63],[15.4893617 26.5106383] ; [36.5106383 62.4893617],0
a1,1,0.866618,0.028209,[ 10 178] ; [ 26 434],[ 10.44444444 177.55555556] ; [ 25.55555556 434.44444444],0
p7,1,0.885768,0.020638,[118  66] ; [290 158],[118.78481013  65.21518987] ; [289.21518987 158.78481013],0
s6,1,0.98722,0.000257,[127  55] ; [315 136],[127.08372828  54.91627172] ; [314.91627172 136.08372828],0
n3,1,0.9933,7.1e-05,[30 13] ; [69 30],[29.97887324 13.02112676] ; [69.02112676 29.97887324],0
