Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.000196,13.87179,[81 17] ; [ 7 10],[74.99130435 23.00869565] ; [13.00869565  3.99130435],1
d2,1,0.325452,0.966909,[53 45] ; [ 7 10],[51.13043478 46.86956522] ; [8.86956522 8.13043478],0
p8,1,0.325519,0.966643,[55 40] ; [12  5],[56.83035714 38.16964286] ; [10.16964286  6.83035714],0
s3,1,0.356057,0.851752,[29 68] ; [ 7 10],[30.63157895 66.36842105] ; [ 5.36842105 11.63157895],0
b1,1,0.373774,0.791078,[40 58] ; [ 5 12],[38.34782609 59.65217391] ; [ 6.65217391 10.34782609],0
a3,1,0.401343,0.704299,[73 25] ; [11  6],[71.5826087 26.4173913] ; [12.4173913  4.5826087],0
a7,1,0.456693,0.553988,[72 26] ; [11  6],[70.73043478 27.26956522] ; [12.26956522  4.73043478],0
b4,1,0.468094,0.526472,[61 37] ; [9 8],[59.65217391 38.34782609] ; [10.34782609  6.65217391],0
v2,1,0.482727,0.492696,[54 42] ; [8 9],[52.67256637 43.32743363] ; [9.32743363 7.67256637],0
s6,1,0.511621,0.430751,[65 32] ; [10  7],[63.81578947 33.18421053] ; [11.18421053  5.81578947],0
p12,1,0.530094,0.39421,[ 7 89] ; [ 2 15],[ 7.6460177 88.3539823] ; [ 1.3539823 15.6460177],0
a6,1,0.548774,0.359519,[65 33] ; [10  7],[63.91304348 34.08695652] ; [11.08695652  5.91304348],0
b3,1,0.588196,0.293171,[32 39] ; [4 7],[31.17073171 39.82926829] ; [4.82926829 6.17073171],0
b2,1,0.588196,0.293171,[32 39] ; [4 7],[31.17073171 39.82926829] ; [4.82926829 6.17073171],0
p2,1,0.61741,0.249525,[80 18] ; [13  4],[79.25217391 18.74782609] ; [13.74782609  3.25217391],0
p11,1,0.632748,0.228353,[82 16] ; [15  2],[82.66086957 15.33913043] ; [14.33913043  2.66086957],0
u3,1,0.655758,0.198718,[15 10] ; [3 3],[14.51612903 10.48387097] ; [3.48387097 2.51612903],0
n2,1,0.760188,0.093168,[15  8] ; [5 2],[15.33333333  7.66666667] ; [4.66666667 2.33333333],0
u2,1,0.796052,0.066801,[18  7] ; [4 2],[17.74193548  7.25806452] ; [4.25806452 1.74193548],0
s4,1,0.84594,0.037753,[10 88] ; [ 2 15],[10.22608696 87.77391304] ; [ 1.77391304 15.22608696],0
s7,1,0.875769,0.024441,[56 40] ; [9 7],[55.71428571 40.28571429] ; [9.28571429 6.71428571],0
n6,1,0.892344,0.018317,[82 16] ; [14  3],[81.80869565 16.19130435] ; [14.19130435  2.80869565],0
p5,1,0.892344,0.018317,[16 82] ; [ 3 14],[16.19130435 81.80869565] ; [ 2.80869565 14.19130435],0
r3,1,0.893753,0.017837,[93  5] ; [16  1],[92.88695652  5.11304348] ; [16.11304348  0.88695652],0
v3,1,0.925552,0.008731,[44 52] ; [8 9],[44.17699115 51.82300885] ; [7.82300885 9.17699115],0
p3,1,0.945305,0.004706,[51 47] ; [9 8],[51.13043478 46.86956522] ; [8.86956522 8.13043478],0
n1,1,0.946969,0.004424,[ 8 15] ; [2 4],[ 7.93103448 15.06896552] ; [2.06896552 3.93103448],0
p7,1,0.947375,0.004357,[67 29] ; [12  5],[67.11504425 28.88495575] ; [11.88495575  5.11504425],0
p4,1,0.977754,0.000778,[58 40] ; [10  7],[57.94782609 40.05217391] ; [10.05217391  6.94782609],0
