Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,31.977729,[143  15] ; [16 16],[132.22105263  25.77894737] ; [26.77894737  5.22105263],1
v3,1,0.213722,1.546033,[67 84] ; [10 21],[63.88461538 87.11538462] ; [13.11538462 17.88461538],0
s8,1,0.218507,1.514151,[82 74] ; [13 19],[78.82978723 77.17021277] ; [16.17021277 15.82978723],0
s6,1,0.241264,1.373191,[102  50] ; [18 14],[99.13043478 52.86956522] ; [20.86956522 11.13043478],0
s7,1,0.270037,1.216557,[87 64] ; [14 16],[84.25966851 66.74033149] ; [16.74033149 13.25966851],0
u3,1,0.28245,1.155266,[11 15] ; [2 7],[ 9.65714286 16.34285714] ; [3.34285714 5.65714286],0
p5,1,0.287552,1.131048,[ 20 135] ; [ 2 30],[ 18.23529412 136.76470588] ; [ 3.76470588 28.23529412],0
b5,1,0.300356,1.072612,[70 88] ; [11 21],[67.35789474 90.64210526] ; [13.64210526 18.35789474],0
a2,1,0.301546,1.067344,[ 20 138] ; [ 2 30],[ 18.29473684 139.70526316] ; [ 3.70526316 28.29473684],0
u1,1,0.313664,1.015185,[ 13 145] ; [ 1 31],[ 11.64210526 146.35789474] ; [ 2.35789474 29.64210526],0
b3,1,0.323648,0.974148,[53 54] ; [14  9],[55.14615385 51.85384615] ; [11.85384615 11.14615385],0
b2,1,0.323648,0.974148,[53 54] ; [14  9],[55.14615385 51.85384615] ; [11.85384615 11.14615385],0
n1,1,0.336411,0.924059,[21 24] ; [3 7],[19.63636364 25.36363636] ; [4.36363636 5.63636364],0
p3,1,0.357587,0.846351,[87 69] ; [15 17],[84.63829787 71.36170213] ; [17.36170213 14.63829787],0
s4,1,0.367526,0.812012,[ 30 126] ; [ 4 28],[ 28.21276596 127.78723404] ; [ 5.78723404 26.21276596],0
n3,1,0.390818,0.736394,[33 12] ; [7 1],[33.96226415 11.03773585] ; [6.03773585 1.96226415],0
r1,1,0.392721,0.730499,[120  38] ; [22 10],[118.08421053  39.91578947] ; [23.91578947  8.08421053],0
s1,1,0.507366,0.439495,[  6 151] ; [ 2 29],[  6.68085106 150.31914894] ; [ 1.31914894 29.68085106],0
u2,1,0.551469,0.354691,[11 14] ; [5 4],[11.76470588 13.23529412] ; [4.23529412 4.76470588],0
n2,1,0.592899,0.28584,[33 13] ; [8 2],[33.67857143 12.32142857] ; [7.32142857 2.67857143],0
b1,1,0.604167,0.268757,[76 82] ; [17 15],[77.33684211 80.66315789] ; [15.66315789 16.33684211],0
a8,1,0.607095,0.264427,[ 16 136] ; [ 4 25],[ 16.79558011 135.20441989] ; [ 3.20441989 25.79558011],0
b4,1,0.694636,0.154112,[85 73] ; [16 16],[83.98947368 74.01052632] ; [17.01052632 14.98947368],0
a1,1,0.790578,0.070522,[ 12 146] ; [ 2 30],[ 11.64210526 146.35789474] ; [ 2.35789474 29.64210526],0
s3,1,0.887951,0.019852,[85 71] ; [17 15],[84.63829787 71.36170213] ; [17.36170213 14.63829787],0
p11,1,0.900419,0.015658,[125  33] ; [25  7],[124.73684211  33.26315789] ; [25.26315789  6.73684211],0
p12,1,0.936255,0.006396,[  9 144] ; [ 2 30],[  9.0972973 143.9027027] ; [ 1.9027027 30.0972973],0
p8,1,0.959474,0.002582,[72 80] ; [15 17],[71.86956522 80.13043478] ; [15.13043478 16.86956522],0
