Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,7e-06,20.199824,[256  33] ; [52 25],[243.20218579  45.79781421] ; [64.79781421 12.20218579],1
n1,1,0.287694,1.13038,[33 30] ; [ 6 10],[31.10126582 31.89873418] ; [7.89873418 8.10126582],0
a1,1,0.291199,1.114072,[ 21 269] ; [ 3 74],[ 18.96457766 271.03542234] ; [ 5.03542234 71.96457766],0
d3,1,0.295439,1.09467,[221  69] ; [63 14],[224.41416894  65.58583106] ; [59.58583106 17.41416894],0
a2,1,0.330039,0.948744,[ 92 198] ; [20 57],[ 88.5013624 201.4986376] ; [23.4986376 53.5013624],0
r3,1,0.368399,0.809058,[280   9] ; [72  4],[278.70684932  10.29315068] ; [73.29315068  2.70684932],0
b5,1,0.389771,0.739656,[165 125] ; [48 29],[168.3106267 121.6893733] ; [44.6893733 32.3106267],0
a7,1,0.399508,0.709806,[210  80] ; [52 25],[207.02997275  82.97002725] ; [54.97002725 22.02997275],0
p10,1,0.409476,0.680323,[246  42] ; [62 14],[243.69230769  44.30769231] ; [64.30769231 11.69230769],0
p7,1,0.416955,0.658882,[193  88] ; [53 19],[195.82436261  85.17563739] ; [50.17563739 21.82436261],0
a5,1,0.429211,0.624956,[234  56] ; [59 18],[231.52588556  58.47411444] ; [61.47411444 15.52588556],0
p1,1,0.481238,0.496057,[ 26 262] ; [ 9 68],[ 27.61643836 260.38356164] ; [ 7.38356164 69.61643836],0
v4,1,0.484478,0.488766,[278  10] ; [73  4],[276.95342466  11.04657534] ; [74.04657534  2.95342466],0
a4,1,0.575155,0.314134,[153 136] ; [38 39],[150.81693989 138.18306011] ; [40.18306011 36.81693989],0
n2,1,0.578534,0.308611,[47 16] ; [13  3],[47.84810127 15.15189873] ; [12.15189873  3.84810127],0
r4,1,0.598382,0.277443,[262  28] ; [68  9],[260.76294278  29.23705722] ; [69.23705722  7.76294278],0
p12,1,0.603982,0.269032,[ 32 255] ; [ 7 70],[ 30.75 256.25] ; [ 8.25 68.75],0
p2,1,0.60806,0.26301,[247  42] ; [64 13],[245.57103825  43.42896175] ; [65.42896175 11.57103825],0
p8,1,0.641178,0.217205,[157 128] ; [43 31],[158.77437326 126.22562674] ; [41.22562674 32.77437326],0
b4,1,0.66076,0.192602,[170 120] ; [43 34],[168.3106267 121.6893733] ; [44.6893733 32.3106267],0
s1,1,0.682837,0.16695,[ 12 275] ; [ 4 72],[ 12.65013774 274.34986226] ; [ 3.34986226 72.65013774],0
a6,1,0.683939,0.165725,[188 101] ; [52 25],[189.50819672  99.49180328] ; [50.49180328 26.50819672],0
s8,1,0.69283,0.156039,[199  89] ; [55 22],[200.41643836  87.58356164] ; [53.58356164 23.41643836],0
d1,1,0.732503,0.116825,[209  81] ; [57 20],[210.19073569  79.80926431] ; [55.80926431 21.19073569],0
d5,1,0.743673,0.106924,[256  34] ; [69  8],[256.8119891  33.1880109] ; [68.1880109  8.8119891],0
b1,1,0.761908,0.091794,[115 175] ; [32 45],[116.15803815 173.84196185] ; [30.84196185 46.15803815],0
u2,1,0.764926,0.089412,[32 13] ; [8 4],[31.57894737 13.42105263] ; [8.42105263 3.57894737],0
p3,1,0.774701,0.081928,[168 122] ; [46 31],[169.10081744 120.89918256] ; [44.89918256 32.10081744],0
p9,1,0.775638,0.08123,[257  30] ; [68  7],[257.66574586  29.33425414] ; [67.33425414  7.66574586],0
p4,1,0.776788,0.080376,[194  95] ; [53 24],[195.03551913  93.96448087] ; [51.96448087 25.03551913],0
d2,1,0.859143,0.031494,[170 120] ; [46 31],[170.68119891 119.31880109] ; [45.31880109 31.68119891],0
u1,1,0.898843,0.01616,[ 77 213] ; [21 56],[ 77.4386921 212.5613079] ; [20.5613079 56.4386921],0
u3,1,0.907674,0.01345,[36 11] ; [9 3],[35.84745763 11.15254237] ; [9.15254237 2.84745763],0
r2,1,0.918642,0.010434,[273  12] ; [73  3],[273.15789474  11.84210526] ; [72.84210526  3.15789474],0
a3,1,0.993047,7.6e-05,[243  45] ; [65 12],[243.02465753  44.97534247] ; [64.97534247 12.02465753],0
