Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,2.9e-05,17.481394,[ 5 37] ; [24 20],[14.1627907 27.8372093] ; [14.8372093 29.1627907],1
s7,1,0.08412,2.983444,[ 7 33] ; [15 29],[10.47619048 29.52380952] ; [11.52380952 32.47619048],0
p6,1,0.091392,2.84969,[ 2 40] ; [ 7 37],[ 4.39534884 37.60465116] ; [ 4.60465116 39.39534884],0
a4,1,0.093008,2.82153,[16 26] ; [10 36],[12.40909091 29.59090909] ; [13.59090909 32.40909091],0
v4,1,0.107325,2.593173,[21 22] ; [29 15],[24.71264368 18.28735632] ; [25.28735632 18.71264368],0
s8,1,0.135756,2.225414,[ 3 40] ; [ 8 38],[ 5.31460674 37.68539326] ; [ 5.68539326 40.31460674],0
n3,1,0.148562,2.086957,[10 14] ; [15  9],[12.5 11.5] ; [12.5 11.5],0
n1,1,0.175244,1.8375,[ 9 15] ; [ 5 20],[ 6.85714286 17.14285714] ; [ 7.14285714 17.85714286],0
b4,1,0.179549,1.801356,[24 19] ; [32 14],[27.05617978 15.94382022] ; [28.94382022 17.05617978],0
d1,1,0.196079,1.671338,[13 30] ; [20 26],[15.94382022 27.05617978] ; [17.05617978 28.94382022],0
p1,1,0.259456,1.271658,[ 6 37] ; [ 3 42],[ 4.39772727 38.60227273] ; [ 4.60227273 40.39772727],0
n4,1,0.300967,1.069903,[28 15] ; [25 21],[25.60674157 17.39325843] ; [27.39325843 18.60674157],0
n2,1,0.320552,0.986692,[11 13] ; [15 10],[12.73469388 11.26530612] ; [13.26530612 11.73469388],0
a3,1,0.3574,0.847009,[23 19] ; [29 16],[25.10344828 16.89655172] ; [26.89655172 18.10344828],0
d5,1,0.360722,0.835377,[23 20] ; [29 17],[25.12359551 17.87640449] ; [26.87640449 19.12359551],0
v3,1,0.367002,0.813789,[ 8 35] ; [12 33],[ 9.77272727 33.22727273] ; [10.22727273 34.77272727],0
a8,1,0.413871,0.667653,[ 2 40] ; [ 4 39],[ 2.96470588 39.03529412] ; [ 3.03529412 39.96470588],0
d2,1,0.421986,0.644777,[20 22] ; [18 28],[18.13636364 23.86363636] ; [19.86363636 26.13636364],0
v1,1,0.536372,0.382306,[12 31] ; [14 27],[13.30952381 29.69047619] ; [12.69047619 28.30952381],0
s5,1,0.562603,0.335217,[ 5 38] ; [ 7 37],[ 5.93103448 37.06896552] ; [ 6.06896552 37.93103448],0
u3,1,0.588198,0.293167,[ 5 15] ; [ 3 14],[ 4.32432432 15.67567568] ; [ 3.67567568 13.32432432],0
u2,1,0.59256,0.286364,[ 7 13] ; [7 9],[ 7.77777778 12.22222222] ; [6.22222222 9.77777778],0
a6,1,0.593404,0.285059,[20 23] ; [24 22],[21.25842697 21.74157303] ; [22.74157303 23.25842697],0
p3,1,0.621684,0.243508,[ 5 37] ; [ 7 38],[ 5.79310345 36.20689655] ; [ 6.20689655 38.79310345],0
r2,1,0.653173,0.201923,[27 15] ; [25 17],[26. 16.] ; [26. 16.],0
s4,1,0.669689,0.181966,[ 8 35] ; [ 7 39],[ 7.24719101 35.75280899] ; [ 7.75280899 38.24719101],0
b2,1,0.737154,0.112644,[12 16] ; [ 8 13],[11.42857143 16.57142857] ; [ 8.57142857 12.42857143],0
b3,1,0.737154,0.112644,[12 16] ; [ 8 13],[11.42857143 16.57142857] ; [ 8.57142857 12.42857143],0
a5,1,0.773746,0.082644,[20 23] ; [20 26],[19.3258427 23.6741573] ; [20.6741573 25.3258427],0
r1,1,0.838038,0.041781,[13 30] ; [13 33],[12.56179775 30.43820225] ; [13.43820225 32.56179775],0
a2,1,0.839318,0.041114,[ 5 38] ; [ 6 40],[ 5.31460674 37.68539326] ; [ 5.68539326 40.31460674],0
s1,1,0.920349,0.009999,[ 4 39] ; [ 4 42],[ 3.86516854 39.13483146] ; [ 4.13483146 41.86516854],0
p5,1,0.943676,0.004991,[ 2 40] ; [ 2 43],[ 1.93103448 40.06896552] ; [ 2.06896552 42.93103448],0
