Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1e-05,19.53369,[53  6] ; [13 15],[44.75862069 14.24137931] ; [21.24137931  6.75862069],1
r3,1,0.170266,1.880599,[57  2] ; [25  3],[55.6091954  3.3908046] ; [26.3908046  1.6091954],0
a3,1,0.24767,1.336397,[28 31] ; [17 11],[30.51724138 28.48275862] ; [14.48275862 13.51724138],0
b4,1,0.254207,1.300035,[33 26] ; [12 16],[30.51724138 28.48275862] ; [14.48275862 13.51724138],0
r4,1,0.31346,1.016039,[53  6] ; [23  5],[51.54022989  7.45977011] ; [24.45977011  3.54022989],0
p5,1,0.315951,1.005636,[11 46] ; [ 3 25],[ 9.38823529 47.61176471] ; [ 4.61176471 23.38823529],0
a6,1,0.321264,0.983793,[27 32] ; [16 12],[29.16091954 29.83908046] ; [13.83908046 14.16091954],0
p7,1,0.37573,0.784627,[33 24] ; [19  9],[34.87058824 22.12941176] ; [17.12941176 10.87058824],0
n6,1,0.394485,0.725074,[46 13] ; [24  4],[47.47126437 11.52873563] ; [22.52873563  5.47126437],0
n3,1,0.423139,0.641581,[8 3] ; [5 4],[7.15 3.85] ; [5.85 3.15],0
p10,1,0.472185,0.516857,[48  9] ; [21  6],[46.82142857 10.17857143] ; [22.17857143  4.82142857],0
v2,1,0.567925,0.326167,[28 27] ; [15 11],[29.19753086 25.80246914] ; [13.80246914 12.19753086],0
v3,1,0.568647,0.324952,[24 31] ; [10 17],[22.80487805 32.19512195] ; [11.19512195 15.80487805],0
a1,1,0.585326,0.297703,[ 1 58] ; [ 1 27],[ 1.35632184 57.64367816] ; [ 0.64367816 27.35632184],0
p4,1,0.61225,0.256912,[35 24] ; [15 13],[33.90804598 25.09195402] ; [16.09195402 11.90804598],0
p2,1,0.61437,0.25386,[49 10] ; [22  6],[48.14942529 10.85057471] ; [22.85057471  5.14942529],0
d3,1,0.61894,0.24736,[37 22] ; [16 12],[35.94252874 23.05747126] ; [17.05747126 10.94252874],0
v1,1,0.636906,0.222812,[30 28] ; [12 14],[29. 29.] ; [13. 13.],0
u3,1,0.65136,0.20419,[22  9] ; [7 4],[21.4047619  9.5952381] ; [7.5952381 3.4047619],0
n2,1,0.768571,0.08658,[8 3] ; [6 3],[7.7 3.3] ; [6.3 2.7],0
p12,1,0.814319,0.055158,[ 5 53] ; [ 2 26],[ 4.72093023 53.27906977] ; [ 2.27906977 25.72093023],0
a7,1,0.829704,0.04626,[38 20] ; [19  9],[38.44186047 19.55813953] ; [18.55813953  9.44186047],0
b1,1,0.836123,0.042789,[26 33] ; [13 15],[26.44827586 32.55172414] ; [12.55172414 15.44827586],0
p9,1,0.873079,0.02552,[46 11] ; [23  5],[46.27058824 10.72941176] ; [22.72941176  5.27058824],0
n4,1,0.877654,0.023699,[41 18] ; [19  9],[40.68965517 18.31034483] ; [19.31034483  8.68965517],0
a4,1,0.906693,0.013738,[12 47] ; [ 6 22],[12.20689655 46.79310345] ; [ 5.79310345 22.20689655],0
p3,1,0.915294,0.011313,[26 33] ; [12 16],[25.77011494 33.22988506] ; [12.22988506 15.77011494],0
p8,1,0.915294,0.011313,[33 26] ; [16 12],[33.22988506 25.77011494] ; [15.77011494 12.22988506],0
p6,1,0.917523,0.010724,[23 35] ; [10 16],[22.78571429 35.21428571] ; [10.21428571 15.78571429],0
s1,1,0.950198,0.003901,[ 4 55] ; [ 2 26],[ 4.06896552 54.93103448] ; [ 1.93103448 26.06896552],0
d2,1,0.966116,0.001805,[15 44] ; [ 7 21],[14.91954023 44.08045977] ; [ 7.08045977 20.91954023],0
