Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,5.9e-05,16.120633,[20 49] ; [17  5],[28.05494505 40.94505495] ; [ 8.94505495 13.05494505],1
d1,1,0.436707,0.60492,[22 47] ; [ 9 13],[23.50549451 45.49450549] ; [ 7.49450549 14.50549451],0
b1,1,0.511871,0.430239,[40 29] ; [11 11],[38.67032967 30.32967033] ; [12.32967033  9.67032967],0
v3,1,0.514785,0.424329,[10 56] ; [ 2 19],[ 9.10344828 56.89655172] ; [ 2.89655172 18.10344828],0
r2,1,0.558876,0.341654,[55 13] ; [19  3],[55.91111111 12.08888889] ; [18.08888889  3.91111111],0
a8,1,0.591346,0.288247,[ 9 58] ; [ 2 20],[ 8.28089888 58.71910112] ; [ 2.71910112 19.28089888],0
n5,1,0.61465,0.253458,[32 36] ; [ 9 13],[30.97777778 37.02222222] ; [10.02222222 11.97777778],0
b5,1,0.637591,0.221907,[40 29] ; [14  8],[40.94505495 28.05494505] ; [13.05494505  8.94505495],0
u1,1,0.656672,0.197591,[ 5 64] ; [ 1 21],[ 4.54945055 64.45054945] ; [ 1.45054945 20.54945055],0
a7,1,0.724723,0.124012,[41 28] ; [14  8],[41.7032967 27.2967033] ; [13.2967033  8.7032967],0
n4,1,0.754831,0.097516,[35 34] ; [12 10],[35.63736264 33.36263736] ; [11.36263736 10.63736264],0
a3,1,0.810282,0.05763,[36 32] ; [11 11],[35.51111111 32.48888889] ; [11.48888889 10.51111111],0
r1,1,0.832077,0.04496,[39 30] ; [13  9],[39.42857143 29.57142857] ; [12.57142857  9.42857143],0
b2,1,0.894023,0.017746,[14 32] ; [ 4 10],[13.8 32.2] ; [4.2 9.8],0
b3,1,0.894023,0.017746,[14 32] ; [ 4 10],[13.8 32.2] ; [4.2 9.8],0
a5,1,0.952796,0.003504,[34 35] ; [11 11],[34.12087912 34.87912088] ; [10.87912088 11.12087912],0
p1,1,0.954537,0.00325,[ 6 63] ; [ 2 20],[ 6.06593407 62.93406593] ; [ 1.93406593 20.06593407],0
a4,1,0.99107,0.000125,[25 44] ; [ 8 14],[25.02197802 43.97802198] ; [ 7.97802198 14.02197802],0
