Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,25.492443,[52 12] ; [ 7 20],[41.49450549 22.50549451] ; [17.50549451  9.49450549],1
n3,1,0.723259,0.125392,[14 15] ; [6 5],[14.5 14.5] ; [5.5 5.5],0
p9,1,0.764522,0.089729,[13 48] ; [ 5 22],[12.47727273 48.52272727] ; [ 5.52272727 21.47727273],0
s3,1,0.814442,0.055084,[21 42] ; [ 8 18],[20.52808989 42.47191011] ; [ 8.47191011 17.52808989],0
v1,1,0.842462,0.0395,[20 43] ; [ 8 19],[19.6 43.4] ; [ 8.4 18.6],0
a6,1,0.871775,0.026051,[32 32] ; [13 14],[31.64835165 32.35164835] ; [13.35164835 13.64835165],0
p7,1,0.940994,0.005479,[15 48] ; [ 6 20],[14.86516854 48.13483146] ; [ 6.13483146 19.86516854],0
b1,1,0.951383,0.003717,[36 28] ; [15 12],[35.86813187 28.13186813] ; [15.13186813 11.86813187],0
u3,1,0.961687,0.002308,[12 11] ; [9 8],[12.075 10.925] ; [8.925 8.075],0
b2,1,0.96243,0.002219,[17 26] ; [ 7 11],[16.91803279 26.08196721] ; [ 7.08196721 10.91803279],0
b3,1,0.96243,0.002219,[17 26] ; [ 7 11],[16.91803279 26.08196721] ; [ 7.08196721 10.91803279],0
r2,1,0.989268,0.000181,[50 12] ; [21  5],[50.02272727 11.97727273] ; [20.97727273  5.02272727],0
r1,1,0.991651,0.000109,[37 27] ; [15 11],[36.97777778 27.02222222] ; [15.02222222 10.97777778],0
p3,1,1.0,0.0,[14 49] ; [ 6 21],[14. 49.] ; [ 6. 21.],0
