Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,9e-05,15.33968,[33  5] ; [11 16],[25.72307692 12.27692308] ; [18.27692308  8.72307692],1
p4,1,0.08013,3.062271,[20 19] ; [ 8 19],[16.54545455 22.45454545] ; [11.45454545 15.54545455],0
n6,1,0.083322,2.998883,[25 14] ; [11 15],[21.6 17.4] ; [14.4 11.6],0
d2,1,0.090743,2.861144,[13 26] ; [ 4 23],[10.04545455 28.95454545] ; [ 6.95454545 20.04545455],0
n1,1,0.094264,2.8,[6 8] ; [ 2 12],[ 4. 10.] ; [ 4. 10.],0
b1,1,0.120963,2.404802,[20 19] ; [19  8],[23.04545455 15.95454545] ; [15.95454545 11.04545455],0
s5,1,0.129706,2.29602,[ 6 33] ; [ 1 26],[ 4.13636364 34.86363636] ; [ 2.86363636 24.13636364],0
v4,1,0.19725,1.662618,[25 14] ; [13 14],[22.45454545 16.54545455] ; [15.54545455 11.45454545],0
v3,1,0.215272,1.535613,[ 9 30] ; [ 3 24],[ 7.09090909 31.90909091] ; [ 4.90909091 22.09090909],0
v1,1,0.234607,1.412709,[14 25] ; [ 6 21],[11.81818182 27.18181818] ; [ 8.18181818 18.81818182],0
a6,1,0.253158,1.305793,[20 19] ; [10 17],[17.72727273 21.27272727] ; [12.27272727 14.72727273],0
d3,1,0.294904,1.097097,[21 18] ; [11 16],[18.90909091 20.09090909] ; [13.09090909 13.90909091],0
s3,1,0.338335,0.916732,[13 25] ; [ 6 20],[11.28125 26.71875] ; [ 7.71875 18.28125],0
s1,1,0.366459,0.815637,[ 2 37] ; [ 3 24],[ 2.95454545 36.04545455] ; [ 2.04545455 24.95454545],0
d5,1,0.385142,0.754226,[23 16] ; [13 14],[21.27272727 17.72727273] ; [14.72727273 12.27272727],0
s4,1,0.406658,0.688549,[ 9 30] ; [ 4 23],[ 7.68181818 31.31818182] ; [ 5.31818182 21.68181818],0
s2,1,0.543203,0.369636,[11 27] ; [ 6 21],[ 9.93846154 28.06153846] ; [ 7.06153846 19.93846154],0
n4,1,0.566498,0.328578,[23 16] ; [14 13],[21.86363636 17.13636364] ; [15.13636364 11.86363636],0
a4,1,0.584735,0.298643,[11 28] ; [ 6 21],[10.04545455 28.95454545] ; [ 6.95454545 20.04545455],0
s7,1,0.603393,0.269909,[10 26] ; [ 5 18],[ 9.15254237 26.84745763] ; [ 5.84745763 17.15254237],0
a3,1,0.611541,0.257937,[19 20] ; [11 15],[18. 21.] ; [12. 14.],0
b4,1,0.663094,0.189787,[21 18] ; [16 11],[21.86363636 17.13636364] ; [15.13636364 11.86363636],0
b5,1,0.663094,0.189787,[21 18] ; [16 11],[21.86363636 17.13636364] ; [15.13636364 11.86363636],0
p1,1,0.702801,0.145575,[ 2 37] ; [ 2 25],[ 2.36363636 36.63636364] ; [ 1.63636364 25.36363636],0
a2,1,0.702801,0.145575,[ 2 37] ; [ 2 25],[ 2.36363636 36.63636364] ; [ 1.63636364 25.36363636],0
u3,1,0.73927,0.110769,[ 6 14] ; [ 4 12],[ 5.55555556 14.44444444] ; [ 4.44444444 11.55555556],0
d1,1,0.749991,0.101538,[10 29] ; [ 6 21],[ 9.45454545 29.54545455] ; [ 6.54545455 20.45454545],0
p12,1,0.78473,0.074617,[ 2 37] ; [ 1 26],[ 1.77272727 37.22727273] ; [ 1.22727273 25.77272727],0
p3,1,0.814131,0.055272,[10 29] ; [ 6 20],[ 9.6 29.4] ; [ 6.4 19.6],0
d4,1,0.829812,0.046201,[25 14] ; [18  9],[25.40909091 13.59090909] ; [17.59090909  9.40909091],0
a8,1,0.861562,0.03041,[ 5 32] ; [ 3 22],[ 4.77419355 32.22580645] ; [ 3.22580645 21.77419355],0
r1,1,1.0,0.0,[13 26] ; [ 9 18],[13. 26.] ; [ 9. 18.],0
