Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n3,1,0.008151,7.0,[ 6 15] ; [6 1],[ 9. 12.] ; [3. 4.],0
p4,1,0.28668,1.13515,[10 29] ; [5 7],[11.47058824 27.52941176] ; [3.52941176 8.47058824],0
s4,1,0.292527,1.107955,[ 5 35] ; [3 9],[ 6.15384615 33.84615385] ; [ 1.84615385 10.15384615],0
s1,1,0.344806,0.892482,[ 3 37] ; [ 2 10],[ 3.84615385 36.15384615] ; [ 1.15384615 10.84615385],0
p12,1,0.356741,0.849333,[ 1 39] ; [ 1 11],[ 1.53846154 38.46153846] ; [ 0.46153846 11.53846154],0
r2,1,0.416871,0.659119,[23 14] ; [9 3],[24.16326531 12.83673469] ; [7.83673469 4.16326531],0
d3,1,0.417485,0.657383,[18 22] ; [7 5],[19.23076923 20.76923077] ; [5.76923077 6.23076923],0
n1,1,0.451917,0.56584,[ 9 13] ; [4 3],[ 9.86206897 12.13793103] ; [3.13793103 3.86206897],0
p1,1,0.526093,0.401932,[ 4 36] ; [ 2 10],[ 4.61538462 35.38461538] ; [ 1.38461538 10.61538462],0
a2,1,0.526093,0.401932,[ 4 36] ; [ 2 10],[ 4.61538462 35.38461538] ; [ 1.38461538 10.61538462],0
n6,1,0.527847,0.398535,[17 22] ; [4 8],[16.05882353 22.94117647] ; [4.94117647 7.05882353],0
a3,1,0.527847,0.398535,[22 17] ; [8 4],[22.94117647 16.05882353] ; [7.05882353 4.94117647],0
n4,1,0.538578,0.378182,[24 16] ; [6 6],[23.07692308 16.92307692] ; [6.92307692 5.07692308],0
a7,1,0.538578,0.378182,[16 24] ; [6 6],[16.92307692 23.07692308] ; [5.07692308 6.92307692],0
a1,1,0.552888,0.352169,[ 6 34] ; [ 1 11],[ 5.38461538 34.61538462] ; [ 1.61538462 10.38461538],0
a5,1,0.612334,0.25679,[20 20] ; [7 5],[20.76923077 19.23076923] ; [6.23076923 5.76923077],0
b5,1,0.64638,0.210495,[17 23] ; [6 6],[17.69230769 22.30769231] ; [5.30769231 6.69230769],0
r4,1,0.664032,0.188662,[ 2 38] ; [ 1 11],[ 2.30769231 37.69230769] ; [ 0.69230769 11.30769231],0
u1,1,0.664032,0.188662,[ 2 38] ; [ 1 11],[ 2.30769231 37.69230769] ; [ 0.69230769 11.30769231],0
s5,1,0.67987,0.170272,[ 2 37] ; [ 1 11],[ 2.29411765 36.70588235] ; [ 0.70588235 11.29411765],0
s8,1,0.691929,0.157005,[ 5 35] ; [ 1 11],[ 4.61538462 35.38461538] ; [ 1.38461538 10.61538462],0
d5,1,0.722206,0.126389,[21 19] ; [7 5],[21.53846154 18.46153846] ; [6.46153846 5.53846154],0
b4,1,0.722206,0.126389,[21 19] ; [7 5],[21.53846154 18.46153846] ; [6.46153846 5.53846154],0
u2,1,0.746188,0.104762,[ 6 12] ; [1 3],[ 5.72727273 12.27272727] ; [1.27272727 2.72727273],0
d2,1,0.747977,0.103239,[15 24] ; [4 8],[14.52941176 24.47058824] ; [4.47058824 7.52941176],0
d4,1,0.760576,0.092857,[22 18] ; [6 6],[21.53846154 18.46153846] ; [6.46153846 5.53846154],0
n5,1,0.826318,0.048148,[28 12] ; [8 4],[27.69230769 12.30769231] ; [8.30769231 3.69230769],0
v4,1,0.879168,0.023111,[21 19] ; [6 6],[20.76923077 19.23076923] ; [6.23076923 5.76923077],0
a6,1,0.879168,0.023111,[19 21] ; [6 6],[19.23076923 20.76923077] ; [5.76923077 6.23076923],0
r1,1,0.915235,0.011329,[14 26] ; [4 8],[13.84615385 26.15384615] ; [4.15384615 7.84615385],0
s3,1,0.927818,0.008207,[10 28] ; [3 9],[ 9.88 28.12] ; [3.12 8.88],0
d1,1,0.956956,0.002913,[13 27] ; [4 8],[13.07692308 26.92307692] ; [3.92307692 8.07692308],0
