Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.000464,12.256902,[64  7] ; [10  8],[59.03370787 11.96629213] ; [14.96629213  3.03370787],1
p7,1,0.337211,0.921006,[56 12] ; [13  5],[54.55813953 13.44186047] ; [14.44186047  3.55813953],0
n2,1,0.371093,0.8,[12  3] ; [3 2],[11.25  3.75] ; [3.75 1.25],0
p8,1,0.371749,0.797809,[58 13] ; [13  5],[56.64044944 14.35955056] ; [14.35955056  3.64044944],0
p12,1,0.375137,0.786578,[20 51] ; [ 3 14],[18.55681818 52.44318182] ; [ 4.44318182 12.55681818],0
p10,1,0.377193,0.779832,[66  4] ; [15  2],[65.17241379  4.82758621] ; [15.82758621  1.17241379],0
a6,1,0.400717,0.706175,[47 24] ; [10  8],[45.47191011 25.52808989] ; [11.52808989  6.47191011],0
s1,1,0.407797,0.685213,[ 4 67] ; [ 2 16],[ 4.78651685 66.21348315] ; [ 1.21348315 16.78651685],0
v4,1,0.417836,0.656394,[66  4] ; [16  2],[65.22727273  4.77272727] ; [16.77272727  1.22727273],0
v2,1,0.431157,0.619706,[41 27] ; [9 9],[39.53488372 28.46511628] ; [10.46511628  7.53488372],0
s2,1,0.443349,0.587599,[42 28] ; [9 9],[40.56818182 29.43181818] ; [10.43181818  7.56818182],0
n6,1,0.51805,0.417775,[66  5] ; [15  2],[65.35227273  5.64772727] ; [15.64772727  1.35227273],0
p3,1,0.545962,0.364601,[56 15] ; [13  5],[55.04494382 15.95505618] ; [13.95505618  4.04494382],0
p4,1,0.54896,0.359184,[62  8] ; [15  3],[61.25  8.75] ; [15.75  2.25],0
n3,1,0.605577,0.266667,[8 7] ; [2 3],[7.5 7.5] ; [2.5 2.5],0
b1,1,0.636851,0.222884,[32 39] ; [ 7 11],[31.11235955 39.88764045] ; [ 7.88764045 10.11235955],0
d3,1,0.639866,0.218918,[55 16] ; [13  5],[54.24719101 16.75280899] ; [13.75280899  4.24719101],0
p2,1,0.66943,0.18227,[65  6] ; [15  2],[64.54545455  6.45454545] ; [15.45454545  1.54545455],0
p11,1,0.781738,0.076759,[61 10] ; [15  3],[60.62921348 10.37078652] ; [15.37078652  2.62921348],0
p9,1,0.807774,0.059194,[68  3] ; [17  1],[67.80898876  3.19101124] ; [17.19101124  0.80898876],0
r3,1,0.811657,0.056782,[65  5] ; [17  1],[65.22727273  4.77272727] ; [16.77272727  1.22727273],0
b5,1,0.872718,0.025666,[34 37] ; [9 9],[34.30337079 36.69662921] ; [8.69662921 9.30337079],0
s5,1,0.874373,0.024997,[42 23] ; [10  6],[41.72839506 23.27160494] ; [10.27160494  5.72839506],0
n4,1,0.874964,0.024761,[64  7] ; [16  2],[63.82022472  7.17977528] ; [16.17977528  1.82022472],0
u3,1,0.875996,0.024351,[5 2] ; [6 2],[5.13333333 1.86666667] ; [5.86666667 2.13333333],0
b4,1,0.879947,0.022812,[42 29] ; [11  7],[42.28089888 28.71910112] ; [10.71910112  7.28089888],0
b3,1,0.917107,0.010832,[27 29] ; [5 5],[27.15151515 28.84848485] ; [4.84848485 5.15151515],0
b2,1,0.917107,0.010832,[27 29] ; [5 5],[27.15151515 28.84848485] ; [4.84848485 5.15151515],0
a7,1,0.930784,0.007544,[52 19] ; [13  5],[51.85393258 19.14606742] ; [13.14606742  4.85393258],0
v1,1,0.934435,0.006768,[48 21] ; [12  5],[48.13953488 20.86046512] ; [11.86046512  5.13953488],0
