Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.001815,9.72801,[17 12] ; [28 74],[ 9.96183206 19.03816794] ; [35.03816794 66.96183206],0
p1,1,0.558119,0.342972,[ 3 27] ; [ 7 96],[ 2.2556391 27.7443609] ; [ 7.7443609 95.2556391],0
b1,1,0.578578,0.30854,[16 14] ; [49 54],[14.66165414 15.33834586] ; [50.33834586 52.66165414],0
p7,1,0.659511,0.194118,[11 19] ; [33 69],[10. 20.] ; [34. 68.],0
s3,1,0.685895,0.163565,[13 17] ; [40 62],[12.04545455 17.95454545] ; [40.95454545 61.04545455],0
a1,1,0.695968,0.1527,[ 3 27] ; [ 8 95],[ 2.48120301 27.51879699] ; [ 8.51879699 94.48120301],0
v4,1,0.750289,0.101288,[23  7] ; [76 27],[22.33082707  7.66917293] ; [76.66917293 26.33082707],0
b3,1,0.75564,0.096852,[ 9 12] ; [23 36],[ 8.4 12.6] ; [23.6 35.4],0
b2,1,0.75564,0.096852,[ 9 12] ; [23 36],[ 8.4 12.6] ; [23.6 35.4],0
p3,1,0.759586,0.093651,[10 20] ; [31 71],[ 9.31818182 20.68181818] ; [31.68181818 70.31818182],0
s2,1,0.785469,0.074092,[11 19] ; [35 68],[10.37593985 19.62406015] ; [35.62406015 67.37593985],0
p4,1,0.794047,0.068152,[10 20] ; [37 66],[10.60150376 19.39849624] ; [36.39849624 66.60150376],0
n5,1,0.794047,0.068152,[20 10] ; [66 37],[19.39849624 10.60150376] ; [66.60150376 36.39849624],0
p2,1,0.800999,0.063531,[19 11] ; [62 40],[18.40909091 11.59090909] ; [62.59090909 39.40909091],0
a4,1,0.812071,0.056528,[11 19] ; [35 67],[10.45454545 19.54545455] ; [35.54545455 66.45454545],0
b5,1,0.829809,0.046202,[19 11] ; [63 40],[18.4962406 11.5037594] ; [63.5037594 39.4962406],0
p5,1,0.88206,0.02201,[ 1 29] ; [ 4 98],[ 1.13636364 28.86363636] ; [ 3.86363636 98.13636364],0
p10,1,0.941175,0.005445,[17 13] ; [58 43],[17.17557252 12.82442748] ; [57.82442748 43.17557252],0
a5,1,0.962674,0.00219,[15 15] ; [52 51],[15.11278195 14.88721805] ; [51.88721805 51.11278195],0
p9,1,0.965462,0.001875,[20  9] ; [68 30],[20.09448819  8.90551181] ; [67.90551181 30.09448819],0
