Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,6e-06,20.414894,[34  6] ; [11 22],[24.65753425 15.34246575] ; [20.34246575 12.65753425],1
v2,1,0.782262,0.076382,[19 20] ; [15 18],[18.41666667 20.58333333] ; [15.58333333 17.41666667],0
p3,1,0.813025,0.055944,[19 20] ; [17 16],[19.5 19.5] ; [16.5 16.5],0
p2,1,0.825674,0.048511,[30 10] ; [24  9],[29.5890411 10.4109589] ; [24.4109589  8.5890411],0
s1,1,0.83059,0.045772,[ 3 36] ; [ 3 30],[ 3.25 35.75] ; [ 2.75 30.25],0
b1,1,0.834041,0.043899,[24 16] ; [19 14],[23.56164384 16.43835616] ; [19.43835616 13.56164384],0
d4,1,0.840616,0.040443,[27 13] ; [23 10],[27.39726027 12.60273973] ; [22.60273973 10.39726027],0
a1,1,0.842908,0.039273,[ 2 38] ; [ 2 31],[ 2.19178082 37.80821918] ; [ 1.80821918 31.19178082],0
b5,1,0.861576,0.030404,[21 19] ; [18 15],[21.36986301 18.63013699] ; [17.63013699 15.36986301],0
p6,1,0.900655,0.015584,[11 27] ; [10 23],[11.23943662 26.76056338] ; [ 9.76056338 23.23943662],0
a4,1,0.96587,0.001831,[12 27] ; [10 23],[11.91666667 27.08333333] ; [10.08333333 22.91666667],0
d3,1,0.977596,0.000789,[28 12] ; [23 10],[27.94520548 12.05479452] ; [23.05479452  9.94520548],0
s2,1,0.978349,0.000737,[16 22] ; [14 19],[16.05633803 21.94366197] ; [13.94366197 19.05633803],0
s4,1,0.986899,0.00027,[ 8 30] ; [ 7 26],[ 8.02816901 29.97183099] ; [ 6.97183099 26.02816901],0
