Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2.7e-05,17.609363,[84  3] ; [36 14],[76.20437956 10.79562044] ; [43.79562044  6.20437956],1
r2,1,0.413532,0.668623,[79  7] ; [42  6],[77.65671642  8.34328358] ; [43.34328358  4.65671642],0
u4,1,0.435045,0.609318,[ 4 83] ; [ 1 49],[ 3.17518248 83.82481752] ; [ 1.82481752 48.17518248],0
a8,1,0.441813,0.591569,[ 6 78] ; [ 5 40],[ 7.1627907 76.8372093] ; [ 3.8372093 41.1627907],0
p5,1,0.472333,0.516513,[ 8 76] ; [ 3 47],[ 6.89552239 77.10447761] ; [ 4.10447761 45.89552239],0
p8,1,0.481331,0.495847,[22 65] ; [10 40],[20.32116788 66.67883212] ; [11.67883212 38.32116788],0
n3,1,0.512691,0.428571,[15  6] ; [13  8],[14.  7.] ; [14.  7.],0
v2,1,0.515195,0.423502,[42 39] ; [23 27],[40.19083969 40.80916031] ; [24.80916031 25.19083969],0
a1,1,0.608366,0.262561,[ 5 82] ; [ 4 46],[ 5.71532847 81.28467153] ; [ 3.28467153 46.71532847],0
a5,1,0.645433,0.211707,[54 33] ; [33 17],[55.24817518 31.75182482] ; [31.75182482 18.24817518],0
p7,1,0.6773,0.173181,[29 56] ; [15 34],[27.91044776 57.08955224] ; [16.08955224 32.91044776],0
s6,1,0.678789,0.171492,[54 32] ; [29 20],[52.87407407 33.12592593] ; [30.12592593 18.87407407],0
d1,1,0.69929,0.149211,[44 43] ; [27 23],[45.08759124 41.91240876] ; [25.91240876 24.08759124],0
u3,1,0.710713,0.137566,[20 16] ; [8 8],[19.38461538 16.61538462] ; [8.61538462 7.38461538],0
n2,1,0.727724,0.121212,[17  5] ; [16  6],[16.5  5.5] ; [16.5  5.5],0
d3,1,0.792359,0.0693,[49 38] ; [27 23],[48.26277372 38.73722628] ; [27.73722628 22.26277372],0
p1,1,0.81167,0.056774,[ 8 79] ; [ 4 46],[ 7.62043796 79.37956204] ; [ 4.37956204 45.62043796],0
b2,1,0.815958,0.054171,[21 36] ; [11 21],[20.49438202 36.50561798] ; [11.50561798 20.49438202],0
b3,1,0.815958,0.054171,[21 36] ; [11 21],[20.49438202 36.50561798] ; [11.50561798 20.49438202],0
s5,1,0.816452,0.053875,[25 57] ; [14 35],[24.41221374 57.58778626] ; [14.58778626 34.41221374],0
a4,1,0.821202,0.051076,[38 49] ; [20 28],[37.37777778 49.62222222] ; [20.62222222 27.37777778],0
s1,1,0.825524,0.048597,[ 6 80] ; [ 4 46],[ 6.32352941 79.67647059] ; [ 3.67647059 46.32352941],0
s4,1,0.826088,0.048278,[19 66] ; [12 38],[19.51851852 65.48148148] ; [11.48148148 38.51851852],0
n1,1,0.863878,0.029392,[10 12] ; [ 9 12],[ 9.72093023 12.27906977] ; [ 9.27906977 11.72093023],0
d4,1,0.866633,0.028203,[65 22] ; [38 12],[65.40875912 21.59124088] ; [37.59124088 12.40875912],0
u1,1,0.910461,0.012646,[15 72] ; [ 9 41],[15.24087591 71.75912409] ; [ 8.75912409 41.24087591],0
v4,1,0.929294,0.007874,[77 10] ; [44  6],[76.83941606 10.16058394] ; [44.16058394  5.83941606],0
p6,1,0.934367,0.006782,[19 68] ; [11 38],[19.19117647 67.80882353] ; [10.80882353 38.19117647],0
v3,1,0.972385,0.001198,[30 51] ; [18 31],[29.90769231 51.09230769] ; [18.09230769 30.90769231],0
a7,1,0.993611,6.4e-05,[54 33] ; [31 19],[53.97810219 33.02189781] ; [31.02189781 18.97810219],0
