Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1e-06,23.751796,[86 10] ; [14 15],[76.8 19.2] ; [23.2  5.8],1
v3,1,0.374571,0.788443,[34 59] ; [ 8 21],[32.01639344 60.98360656] ; [ 9.98360656 19.01639344],0
b5,1,0.43153,0.618702,[63 33] ; [22  8],[64.76190476 31.23809524] ; [20.23809524  9.76190476],0
a1,1,0.4377,0.602304,[ 7 89] ; [ 1 29],[ 6.0952381 89.9047619] ; [ 1.9047619 28.0952381],0
p1,1,0.451385,0.567172,[11 85] ; [ 2 28],[ 9.9047619 86.0952381] ; [ 3.0952381 26.9047619],0
n6,1,0.454541,0.559304,[85 11] ; [25  5],[83.80952381 12.19047619] ; [26.19047619  3.80952381],0
d2,1,0.457082,0.553031,[34 61] ; [13 17],[35.72 59.28] ; [11.28 18.72],0
b3,1,0.47753,0.504499,[24 38] ; [ 4 10],[22.84210526 39.15789474] ; [5.15789474 8.84210526],0
b2,1,0.47753,0.504499,[24 38] ; [ 4 10],[22.84210526 39.15789474] ; [5.15789474 8.84210526],0
a5,1,0.482953,0.492187,[55 41] ; [15 15],[53.33333333 42.66666667] ; [16.66666667 13.33333333],0
v2,1,0.511275,0.431457,[40 52] ; [11 19],[38.45901639 53.54098361] ; [12.54098361 17.45901639],0
n2,1,0.517268,0.419337,[23  6] ; [8 1],[23.65789474  5.34210526] ; [7.34210526 1.65789474],0
a2,1,0.533855,0.387049,[ 9 87] ; [ 4 26],[ 9.9047619 86.0952381] ; [ 3.0952381 26.9047619],0
u1,1,0.574628,0.315,[ 4 92] ; [ 2 28],[ 4.57142857 91.42857143] ; [ 1.42857143 28.57142857],0
a4,1,0.584938,0.298319,[34 62] ; [ 9 21],[32.76190476 63.23809524] ; [10.23809524 19.76190476],0
s7,1,0.624306,0.239862,[36 55] ; [10 19],[34.88333333 56.11666667] ; [11.11666667 17.88333333],0
u3,1,0.634308,0.226264,[15 20] ; [8 8],[15.78431373 19.21568627] ; [7.21568627 8.78431373],0
p3,1,0.660563,0.192841,[46 50] ; [13 17],[44.95238095 51.04761905] ; [14.04761905 15.95238095],0
p5,1,0.698993,0.149522,[12 83] ; [ 3 27],[11.4 83.6] ; [ 3.6 26.4],0
p7,1,0.727334,0.121573,[53 41] ; [18 12],[53.82258065 40.17741935] ; [17.17741935 12.82258065],0
n3,1,0.749543,0.101916,[21  8] ; [7 2],[21.36842105  7.63157895] ; [6.63157895 2.36842105],0
a8,1,0.784936,0.07447,[11 79] ; [ 3 26],[10.58823529 79.41176471] ; [ 3.41176471 25.58823529],0
n1,1,0.845252,0.038095,[11 16] ; [4 5],[11.25 15.75] ; [3.75 5.25],0
s2,1,0.857072,0.032437,[43 53] ; [14 16],[43.42857143 52.57142857] ; [13.57142857 16.42857143],0
s3,1,0.870723,0.026484,[48 48] ; [15 14],[48.384 47.616] ; [14.616 14.384],0
p4,1,0.894644,0.017538,[51 45] ; [15 14],[50.688 45.312] ; [15.312 13.688],0
u2,1,0.924558,0.008967,[18 17] ; [8 8],[17.84313725 17.15686275] ; [8.15686275 7.84313725],0
s1,1,0.962037,0.002265,[ 3 92] ; [ 1 29],[ 3.04 91.96] ; [ 0.96 29.04],0
