Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-06,25.052409,[167  77] ; [78 99],[141.99524941 102.00475059] ; [103.00475059  73.99524941],1
n1,1,0.097507,2.74586,[26 27] ; [15 31],[21.94949495 31.05050505] ; [19.05050505 26.94949495],0
b2,1,0.102568,2.665146,[71 98] ; [32 68],[ 64.71003717 104.28996283] ; [38.28996283 61.71003717],0
b3,1,0.102568,2.665146,[71 98] ; [32 68],[ 64.71003717 104.28996283] ; [38.28996283 61.71003717],0
d1,1,0.110253,2.550596,[172  84] ; [110  74],[164.07272727  91.92727273] ; [117.92727273  66.07272727],0
n2,1,0.116893,2.458467,[46  7] ; [35 12],[42.93 10.07] ; [38.07  8.93],0
a4,1,0.153178,2.040315,[131 125] ; [ 81 102],[123.62642369 132.37357631] ; [88.37357631 94.62642369],0
a7,1,0.179305,1.803374,[180  75] ; [139  43],[186.14416476  68.85583524] ; [132.85583524  49.14416476],0
p11,1,0.185302,1.754577,[203  53] ; [136  48],[197.23636364  58.76363636] ; [141.76363636  42.23636364],0
p8,1,0.217013,1.524016,[140 110] ; [91 91],[133.68055556 116.31944444] ; [97.31944444 84.68055556],0
r1,1,0.230306,1.43897,[216  39] ; [147  36],[211.33561644  43.66438356] ; [151.66438356  31.33561644],0
r2,1,0.231671,1.43057,[251   5] ; [175   7],[248.98630137   7.01369863] ; [177.01369863   4.98630137],0
p1,1,0.244983,1.351691,[ 28 226] ; [ 14 168],[ 24.46788991 229.53211009] ; [ 17.53211009 164.46788991],0
s7,1,0.292595,1.107641,[178  68] ; [119  57],[173.13270142  72.86729858] ; [123.86729858  52.13270142],0
a6,1,0.345483,0.88998,[162  92] ; [124  58],[166.6146789  87.3853211] ; [119.3853211  62.6146789],0
n6,1,0.362601,0.828865,[220  32] ; [155  29],[216.74311927  35.25688073] ; [158.25688073  25.74311927],0
n3,1,0.365709,0.818195,[37 17] ; [36 11],[39.02970297 14.97029703] ; [33.97029703 13.02970297],0
s6,1,0.48495,0.487712,[220  30] ; [156  26],[217.59259259  32.40740741] ; [158.40740741  23.59259259],0
a2,1,0.489884,0.476782,[ 73 183] ; [ 47 137],[ 69.81818182 186.18181818] ; [ 50.18181818 133.81818182],0
u1,1,0.515725,0.422434,[ 61 195] ; [ 39 145],[ 58.18181818 197.81818182] ; [ 41.81818182 142.18181818],0
u3,1,0.599859,0.275209,[41 16] ; [35 17],[39.74311927 17.25688073] ; [36.25688073 15.74311927],0
a1,1,0.603159,0.270257,[ 17 239] ; [ 10 174],[ 15.70909091 240.29090909] ; [ 11.29090909 172.70909091],0
s1,1,0.612959,0.255888,[ 11 240] ; [ 10 174],[ 12.11724138 238.88275862] ; [  8.88275862 175.11724138],0
p2,1,0.636065,0.223925,[210  43] ; [155  28],[211.80045872  41.19954128] ; [153.19954128  29.80045872],0
b5,1,0.658449,0.195413,[157  99] ; [109  75],[154.76363636 101.23636364] ; [111.23636364  72.76363636],0
u2,1,0.663085,0.189797,[34 22] ; [30 23],[32.88073394 23.11926606] ; [31.11926606 21.88073394],0
b4,1,0.687268,0.162059,[151 105] ; [105  79],[148.94545455 107.05454545] ; [107.05454545  76.94545455],0
r3,1,0.696227,0.152427,[247   8] ; [176   7],[246.26712329   8.73287671] ; [176.73287671   6.26712329],0
b1,1,0.782396,0.076285,[101 155] ; [ 75 109],[102.4 153.6] ; [ 73.6 110.4],0
d3,1,0.867547,0.027814,[185  70] ; [130  51],[184.23165138  70.76834862] ; [130.76834862  50.23165138],0
p7,1,0.876329,0.024219,[166  77] ; [121  58],[165.26303318  77.73696682] ; [121.73696682  57.26303318],0
s3,1,0.951883,0.003641,[220  34] ; [158  24],[220.21100917  33.78899083] ; [157.78899083  24.21100917],0
d2,1,0.990787,0.000133,[132 122] ; [95 88],[131.94050343 122.05949657] ; [95.05949657 87.94050343],0
