Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,2e-06,22.370208,[85 14] ; [12 16],[75.61417323 23.38582677] ; [21.38582677  6.61417323],1
b1,1,0.086834,2.932114,[51 49] ; [20  9],[55.03875969 44.96124031] ; [15.96124031 13.03875969],0
v3,1,0.117178,2.454641,[43 55] ; [ 7 19],[39.51612903 58.48387097] ; [10.48387097 15.51612903],0
s7,1,0.124874,2.355095,[58 37] ; [11 14],[54.625 40.375] ; [14.375 10.625],0
s8,1,0.137573,2.204894,[57 43] ; [12 17],[53.48837209 46.51162791] ; [15.51162791 13.48837209],0
s1,1,0.166835,1.911152,[ 2 98] ; [ 2 26],[ 3.125 96.875] ; [ 0.875 27.125],0
s4,1,0.174872,1.840673,[19 80] ; [ 9 20],[21.65625 77.34375] ; [ 6.34375 22.65625],0
s6,1,0.18641,1.745768,[69 29] ; [16 12],[66.11111111 31.88888889] ; [18.88888889  9.11111111],0
s5,1,0.235393,1.407972,[46 49] ; [10 18],[43.25203252 51.74796748] ; [12.74796748 15.25203252],0
p6,1,0.2491,1.328342,[43 54] ; [ 9 19],[40.352 56.648] ; [11.648 16.352],0
a8,1,0.257052,1.284565,[10 85] ; [ 1 27],[ 8.49593496 86.50406504] ; [ 2.50406504 25.49593496],0
v1,1,0.304569,1.05408,[54 43] ; [13 16],[51.57936508 45.42063492] ; [15.42063492 13.57936508],0
a2,1,0.306878,1.044065,[14 86] ; [ 2 27],[12.40310078 87.59689922] ; [ 3.59689922 25.40310078],0
d3,1,0.359916,0.838188,[71 29] ; [18 11],[68.99224806 31.00775194] ; [20.00775194  8.99224806],0
a4,1,0.409006,0.681688,[63 37] ; [20  8],[64.84375 35.15625] ; [18.15625  9.84375],0
s3,1,0.450315,0.56986,[59 40] ; [15 14],[57.234375 41.765625] ; [16.765625 12.234375],0
u2,1,0.457438,0.552157,[10  7] ; [2 3],[9.27272727 7.72727273] ; [2.72727273 2.27272727],0
s2,1,0.489159,0.478375,[55 44] ; [14 15],[53.3671875 45.6328125] ; [15.6328125 13.3671875],0
u4,1,0.514305,0.425299,[ 4 96] ; [ 2 27],[ 4.65116279 95.34883721] ; [ 1.34883721 27.65116279],0
n3,1,0.567822,0.32634,[14  7] ; [8 6],[13.2  7.8] ; [8.8 5.2],0
a1,1,0.593293,0.285231,[ 6 94] ; [ 1 28],[ 5.42635659 94.57364341] ; [ 1.57364341 27.42635659],0
u1,1,0.612444,0.256631,[10 90] ; [ 2 27],[ 9.30232558 90.69767442] ; [ 2.69767442 26.30232558],0
a3,1,0.647636,0.208894,[83 17] ; [23  6],[82.17054264 17.82945736] ; [23.82945736  5.17054264],0
d5,1,0.654839,0.199854,[97  2] ; [28  1],[96.6796875  2.3203125] ; [28.3203125  0.6796875],0
p1,1,0.690573,0.158466,[ 8 92] ; [ 3 26],[ 8.52713178 91.47286822] ; [ 2.47286822 26.52713178],0
b3,1,0.693546,0.155274,[28 37] ; [11 12],[28.80681818 36.19318182] ; [10.19318182 12.80681818],0
b2,1,0.693546,0.155274,[28 37] ; [11 12],[28.80681818 36.19318182] ; [10.19318182 12.80681818],0
v2,1,0.763995,0.090143,[54 44] ; [14 13],[53.312 44.688] ; [14.688 12.312],0
d2,1,0.800418,0.063911,[80 20] ; [23  5],[80.46875 19.53125] ; [22.53125  5.46875],0
r2,1,0.809131,0.058345,[92  6] ; [25  2],[91.728  6.272] ; [25.272  1.728],0
u3,1,0.901321,0.015374,[9 8] ; [3 3],[8.86956522 8.13043478] ; [3.13043478 2.86956522],0
n2,1,0.907988,0.013358,[13  8] ; [9 6],[12.83333333  8.16666667] ; [9.16666667 5.83333333],0
b4,1,0.986889,0.00027,[55 45] ; [16 13],[55.03875969 44.96124031] ; [15.96124031 13.03875969],0
