Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,24.382185,[112  21] ; [16 20],[100.73372781  32.26627219] ; [27.26627219  8.73372781],1
p12,1,0.282428,1.155368,[ 16 117] ; [ 2 33],[ 14.25 118.75] ; [ 3.75 31.25],0
v1,1,0.314777,1.010526,[62 63] ; [14 21],[59.375 65.625] ; [16.625 18.375],0
d1,1,0.316163,1.004753,[86 47] ; [20 16],[83.42011834 49.57988166] ; [22.57988166 13.42011834],0
a8,1,0.32675,0.961735,[ 14 109] ; [ 2 33],[ 12.4556962 110.5443038] ; [ 3.5443038 31.4556962],0
b2,1,0.374942,0.787221,[27 49] ; [8 9],[28.60215054 47.39784946] ; [ 6.39784946 10.60215054],0
b3,1,0.374942,0.787221,[27 49] ; [8 9],[28.60215054 47.39784946] ; [ 6.39784946 10.60215054],0
p3,1,0.422329,0.643825,[53 80] ; [11 23],[50.97005988 82.02994012] ; [13.02994012 20.97005988],0
n2,1,0.472918,0.51515,[29 10] ; [9 5],[27.96226415 11.03773585] ; [10.03773585  3.96226415],0
n3,1,0.483756,0.490385,[27 12] ; [7 5],[26. 13.] ; [8. 4.],0
s4,1,0.487384,0.482297,[ 29 103] ; [ 6 30],[ 27.5 104.5] ; [ 7.5 28.5],0
p8,1,0.487857,0.48125,[33 99] ; [ 7 29],[ 31.42857143 100.57142857] ; [ 8.57142857 27.42857143],0
p1,1,0.533351,0.388002,[ 16 117] ; [ 3 33],[ 14.95266272 118.04733728] ; [ 4.04733728 31.95266272],0
a4,1,0.711982,0.136305,[60 73] ; [15 21],[59.02366864 73.97633136] ; [15.97633136 20.02366864],0
p5,1,0.72991,0.119194,[  9 122] ; [ 3 32],[  9.46987952 121.53012048] ; [ 2.53012048 32.46987952],0
p10,1,0.734961,0.114605,[99 33] ; [26 10],[98.21428571 33.78571429] ; [26.78571429  9.21428571],0
n1,1,0.748774,0.102564,[19 20] ; [7 6],[19.5 19.5] ; [6.5 6.5],0
u4,1,0.777672,0.079724,[  5 128] ; [ 1 35],[  4.72189349 128.27810651] ; [ 1.27810651 34.72189349],0
r2,1,0.79801,0.065497,[128   5] ; [34  1],[128.25   4.75] ; [33.75  1.25],0
a5,1,0.815951,0.054175,[95 38] ; [25 11],[94.43786982 38.56213018] ; [25.56213018 10.43786982],0
d3,1,0.822851,0.050122,[86 47] ; [24 12],[86.56804734 46.43195266] ; [23.43195266 12.56804734],0
p6,1,0.932294,0.007218,[ 22 111] ; [ 6 29],[ 22.16666667 110.83333333] ; [ 5.83333333 29.16666667],0
s1,1,0.938804,0.005894,[  8 124] ; [ 2 33],[  7.90419162 124.09580838] ; [ 2.09580838 32.90419162],0
n4,1,0.945058,0.004749,[99 34] ; [27  9],[99.15976331 33.84023669] ; [26.84023669  9.15976331],0
n5,1,0.955579,0.003103,[93 40] ; [25 11],[92.86390533 40.13609467] ; [25.13609467 10.86390533],0
a7,1,0.996041,2.5e-05,[96 37] ; [26 10],[96.01183432 36.98816568] ; [25.98816568 10.01183432],0
