Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,32.471318,[11 22] ; [74 12],[23.57142857  9.42857143] ; [61.42857143 24.57142857],1
p8,1,0.225725,1.467598,[ 6 27] ; [25 61],[ 8.59663866 24.40336134] ; [22.40336134 63.59663866],0
p5,1,0.230014,1.440777,[ 1 32] ; [ 8 75],[ 2.56034483 30.43965517] ; [ 6.43965517 76.56034483],0
s7,1,0.253382,1.304557,[20 11] ; [61 20],[22.41964286  8.58035714] ; [58.58035714 22.41964286],0
b1,1,0.261671,1.259897,[16 17] ; [32 54],[13.31092437 19.68907563] ; [34.68907563 51.31092437],0
v4,1,0.311523,1.024209,[31  2] ; [84  2],[31.8907563  1.1092437] ; [83.1092437  2.8907563],0
n2,1,0.351055,0.86964,[6 5] ; [19  8],[7.23684211 3.76315789] ; [17.76315789  9.23684211],0
r3,1,0.36518,0.82,[29  4] ; [80  6],[30.22689076  2.77310924] ; [78.77310924  7.22689076],0
p4,1,0.368636,0.808256,[15 18] ; [47 39],[17.19327731 15.80672269] ; [44.80672269 41.19327731],0
a2,1,0.386797,0.748988,[ 7 26] ; [25 61],[ 8.87394958 24.12605042] ; [23.12605042 62.87394958],0
s5,1,0.405556,0.691791,[ 8 22] ; [27 50],[ 9.81308411 20.18691589] ; [25.18691589 51.81308411],0
b2,1,0.408033,0.684525,[10 12] ; [22 40],[ 8.38095238 13.61904762] ; [23.61904762 38.38095238],0
b3,1,0.408033,0.684525,[10 12] ; [22 40],[ 8.38095238 13.61904762] ; [23.61904762 38.38095238],0
p12,1,0.461884,0.541326,[ 3 30] ; [12 73],[ 4.19491525 28.80508475] ; [10.80508475 74.19491525],0
p10,1,0.499573,0.455844,[24  9] ; [66 18],[25.38461538  7.61538462] ; [64.61538462 19.38461538],0
v1,1,0.511062,0.431893,[14 18] ; [40 39],[15.56756757 16.43243243] ; [38.43243243 40.56756757],0
d3,1,0.520692,0.412522,[19 14] ; [55 31],[20.5210084 12.4789916] ; [53.4789916 32.5210084],0
a8,1,0.545763,0.364963,[ 2 25] ; [ 9 69],[ 2.82857143 24.17142857] ; [ 8.17142857 69.82857143],0
d2,1,0.562099,0.336083,[20 13] ; [57 29],[21.35294118 11.64705882] ; [55.64705882 30.35294118],0
d4,1,0.56441,0.332126,[27  6] ; [74 12],[28.00840336  4.99159664] ; [72.99159664 13.00840336],0
b4,1,0.584245,0.299422,[21 12] ; [50 36],[19.68907563 13.31092437] ; [51.31092437 34.68907563],0
u3,1,0.59298,0.285714,[8 1] ; [17  4],[7.5 1.5] ; [17.5  3.5],0
u1,1,0.64772,0.208787,[ 9 24] ; [20 66],[ 8.04201681 24.95798319] ; [20.95798319 65.04201681],0
v2,1,0.677309,0.173171,[18 14] ; [41 38],[17.00900901 14.99099099] ; [41.99099099 37.00900901],0
n4,1,0.695471,0.153227,[25  8] ; [68 18],[25.78991597  7.21008403] ; [67.21008403 18.78991597],0
a5,1,0.69785,0.150718,[23 10] ; [63 23],[23.8487395  9.1512605] ; [62.1512605 23.8487395],0
n3,1,0.705998,0.142308,[6 4] ; [18  9],[6.48648649 3.51351351] ; [17.51351351  9.48648649],0
a4,1,0.707478,0.140809,[17 16] ; [41 45],[16.08403361 16.91596639] ; [41.91596639 44.08403361],0
a3,1,0.748215,0.103037,[24  9] ; [65 21],[24.68067227  8.31932773] ; [64.31932773 21.68067227],0
r1,1,0.957578,0.002829,[27  6] ; [70 16],[26.89915966  6.10084034] ; [70.10084034 15.89915966],0
n6,1,0.996168,2.3e-05,[28  5] ; [73 13],[28.00840336  4.99159664] ; [72.99159664 13.00840336],0
