Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,104.488079,[250   5] ; [18 19],[234.04109589  20.95890411] ; [33.95890411  3.04109589],1
a2,1,0.199696,1.644596,[ 74 181] ; [ 7 30],[ 70.73630137 184.26369863] ; [10.26369863 26.73630137],0
n1,1,0.226792,1.46087,[18 28] ; [6 4],[19.71428571 26.28571429] ; [4.28571429 5.71428571],0
d1,1,0.236302,1.402521,[170  85] ; [21 16],[166.79794521  88.20205479] ; [24.20205479 12.79794521],0
r1,1,0.272634,1.203444,[211  43] ; [28  9],[208.61168385  45.38831615] ; [30.38831615  6.61168385],0
a6,1,0.344381,0.894053,[171  83] ; [22 15],[168.4604811  85.5395189] ; [24.5395189 12.4604811],0
v2,1,0.358719,0.842372,[152  98] ; [19 17],[149.47552448 100.52447552] ; [21.52447552 14.47552448],0
d3,1,0.408066,0.684429,[188  66] ; [25 12],[185.91752577  68.08247423] ; [27.08247423  9.91752577],0
n2,1,0.431906,0.617693,[31 15] ; [8 2],[32.03571429 13.96428571] ; [6.96428571 3.03571429],0
s7,1,0.445355,0.582447,[157  85] ; [21 15],[154.94964029  87.05035971] ; [23.05035971 12.94964029],0
b4,1,0.551439,0.354746,[151 104] ; [20 17],[149.33219178 105.66780822] ; [21.66780822 15.33219178],0
a7,1,0.565141,0.330881,[189  64] ; [26 11],[187.56896552  65.43103448] ; [27.43103448  9.56896552],0
r3,1,0.58616,0.296381,[243   9] ; [35  2],[242.4083045   9.5916955] ; [35.5916955  1.4083045],0
u3,1,0.58874,0.292316,[37 20] ; [8 6],[36.12676056 20.87323944] ; [8.87323944 5.12676056],0
s1,1,0.6444,0.213033,[ 10 245] ; [ 2 34],[ 10.51546392 244.48453608] ; [ 1.48453608 34.51546392],0
s3,1,0.646054,0.210912,[153  99] ; [21 16],[151.72318339 100.27681661] ; [22.27681661 14.72318339],0
b3,1,0.646536,0.210296,[75 91] ; [13 13],[76.08333333 89.91666667] ; [11.91666667 14.08333333],0
b2,1,0.646536,0.210296,[75 91] ; [13 13],[76.08333333 89.91666667] ; [11.91666667 14.08333333],0
d2,1,0.685281,0.164241,[140 115] ; [19 18],[138.85273973 116.14726027] ; [20.14726027 16.85273973],0
a8,1,0.691593,0.157366,[ 35 198] ; [ 6 28],[ 35.77902622 197.22097378] ; [ 5.22097378 28.77902622],0
u1,1,0.720007,0.128486,[ 62 193] ; [ 8 29],[ 61.13013699 193.86986301] ; [ 8.86986301 28.13013699],0
a4,1,0.723049,0.12559,[132 123] ; [18 19],[130.99315068 124.00684932] ; [19.00684932 17.99315068],0
p1,1,0.871793,0.026044,[ 37 218] ; [ 5 32],[ 36.67808219 218.32191781] ; [ 5.32191781 31.67808219],0
u2,1,0.945973,0.004592,[32 25] ; [8 6],[32.11267606 24.88732394] ; [7.88732394 6.11267606],0
a1,1,0.95541,0.003126,[ 20 235] ; [ 3 34],[ 20.08561644 234.91438356] ; [ 2.91438356 34.08561644],0
r2,1,1.0,0.0,[245   7] ; [35  1],[245.   7.] ; [35.  1.],0
