Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,7e-06,20.188372,[22 27] ; [251  80],[35.20263158 13.79736842] ; [237.79736842  93.20263158],1
v4,1,0.298793,1.079572,[50  3] ; [332  10],[51.2556962  1.7443038] ; [330.7443038  11.2556962],0
u3,1,0.34687,0.884875,[8 8] ; [47 28],[9.67032967 6.32967033] ; [45.32967033 29.67032967],0
a2,1,0.34798,0.880811,[12 41] ; [ 99 244],[14.85606061 38.14393939] ; [ 96.14393939 246.85606061],0
d1,1,0.408454,0.683297,[32 21] ; [227 116],[34.66414141 18.33585859] ; [224.33585859 118.66414141],0
b1,1,0.429222,0.624928,[18 35] ; [136 207],[20.61111111 32.38888889] ; [133.38888889 209.61111111],0
r3,1,0.445725,0.5815,[50  3] ; [330  12],[50.98734177  2.01265823] ; [329.01265823  12.98734177],0
a7,1,0.47081,0.520073,[36 16] ; [253  89],[38.14213198 13.85786802] ; [250.85786802  91.14213198],0
s4,1,0.472506,0.516108,[10 41] ; [ 82 257],[12.03076923 38.96923077] ; [ 79.96923077 259.03076923],0
a8,1,0.506115,0.442091,[ 6 42] ; [ 52 268],[ 7.56521739 40.43478261] ; [ 50.43478261 269.56521739],0
a5,1,0.555504,0.34755,[39 14] ; [265  78],[40.68686869 12.31313131] ; [263.31313131  79.68686869],0
v1,1,0.581847,0.303258,[29 24] ; [195 137],[30.83636364 22.16363636] ; [193.16363636 138.83636364],0
b4,1,0.622131,0.242884,[29 24] ; [200 143],[30.6489899 22.3510101] ; [198.3510101 144.6489899],0
a6,1,0.6766,0.173978,[33 20] ; [223 119],[34.34936709 18.65063291] ; [221.65063291 120.34936709],0
p3,1,0.710456,0.137822,[28 25] ; [190 152],[29.25063291 23.74936709] ; [188.74936709 153.25063291],0
s1,1,0.718228,0.130197,[ 2 50] ; [ 17 323],[ 2.52040816 49.47959184] ; [ 16.47959184 323.52040816],0
p8,1,0.737367,0.112454,[28 25] ; [188 152],[29.12977099 23.87022901] ; [186.87022901 153.12977099],0
v3,1,0.780039,0.077991,[22 30] ; [146 183],[22.92913386 29.07086614] ; [145.07086614 183.92913386],0
d5,1,0.780782,0.077451,[43  9] ; [288  54],[43.68527919  8.31472081] ; [287.31472081  54.68527919],0
n2,1,0.7889,0.071685,[12  4] ; [50 14],[12.4  3.6] ; [49.6 14.4],0
u2,1,0.808426,0.058786,[8 8] ; [40 35],[8.43956044 7.56043956] ; [39.56043956 35.43956044],0
p7,1,0.823459,0.049773,[37 16] ; [226 105],[36.29947917 16.70052083] ; [226.70052083 104.29947917],0
d4,1,0.827822,0.047304,[46  7] ; [293  49],[45.48607595  7.51392405] ; [293.51392405  48.48607595],0
u1,1,0.840326,0.040593,[12 41] ; [ 82 261],[12.58080808 40.41919192] ; [ 81.41919192 261.58080808],0
a4,1,0.913927,0.011683,[26 27] ; [171 172],[26.36616162 26.63383838] ; [170.63383838 172.36616162],0
b2,1,0.96914,0.001497,[12 18] ; [ 86 131],[11.90283401 18.09716599] ; [ 86.09716599 130.90283401],0
b3,1,0.96914,0.001497,[12 18] ; [ 86 131],[11.90283401 18.09716599] ; [ 86.09716599 130.90283401],0
v2,1,0.994966,4e-05,[31 22] ; [192 136],[31.02099738 21.97900262] ; [191.97900262 136.02099738],0
d3,1,0.99801,6e-06,[37 15] ; [244  99],[36.99240506 15.00759494] ; [244.00759494  98.99240506],0
