Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,37.189189,[123   6] ; [25 18],[111.  18.] ; [37.  6.],1
b5,1,0.370202,0.802988,[74 55] ; [28 15],[76.5 52.5] ; [25.5 17.5],0
n4,1,0.376542,0.78196,[61 68] ; [17 26],[58.5 70.5] ; [19.5 23.5],0
n3,1,0.394234,0.725844,[24  6] ; [11  5],[22.82608696  7.17391304] ; [12.17391304  3.82608696],0
v3,1,0.428328,0.627352,[34 89] ; [ 9 33],[32.05454545 90.94545455] ; [10.94545455 31.05454545],0
s2,1,0.430403,0.621736,[45 83] ; [18 25],[47.15789474 80.84210526] ; [15.84210526 27.15789474],0
s8,1,0.459944,0.546032,[47 82] ; [13 30],[45. 84.] ; [15. 28.],0
u1,1,0.460796,0.54396,[ 14 115] ; [ 3 40],[ 12.75 116.25] ; [ 4.25 38.75],0
d3,1,0.504513,0.445431,[91 38] ; [28 15],[89.25 39.75] ; [29.75 13.25],0
a8,1,0.524008,0.405997,[ 13 105] ; [ 3 37],[ 11.94936709 106.05063291] ; [ 4.05063291 35.94936709],0
p2,1,0.536807,0.38149,[106  22] ; [33  9],[104.65882353  23.34117647] ; [34.34117647  7.65882353],0
n2,1,0.558527,0.342262,[20 10] ; [12  4],[20.86956522  9.13043478] ; [11.13043478  4.86956522],0
p6,1,0.559113,0.341242,[34 92] ; [13 28],[35.46107784 90.53892216] ; [11.53892216 29.46107784],0
p12,1,0.560812,0.338299,[  6 122] ; [ 3 40],[  6.73684211 121.26315789] ; [ 2.26315789 40.73684211],0
u2,1,0.60439,0.268425,[25 18] ; [13  7],[25.93650794 17.06349206] ; [12.06349206  7.93650794],0
n1,1,0.606153,0.265815,[10 21] ; [ 4 12],[ 9.23404255 21.76595745] ; [ 4.76595745 11.23404255],0
s3,1,0.621035,0.244416,[60 67] ; [18 24],[58.61538462 68.38461538] ; [19.38461538 22.61538462],0
s1,1,0.631335,0.230254,[  4 125] ; [ 2 41],[  4.5 124.5] ; [ 1.5 41.5],0
p10,1,0.639787,0.219021,[93 36] ; [28 13],[91.81764706 37.18235294] ; [29.18235294 11.81764706],0
u3,1,0.694595,0.154156,[28 15] ; [12  8],[27.3015873 15.6984127] ; [12.6984127  7.3015873],0
n6,1,0.777045,0.080186,[87 42] ; [30 13],[87.75 41.25] ; [29.25 13.75],0
s5,1,0.778662,0.078996,[33 91] ; [10 31],[32.31515152 91.68484848] ; [10.68484848 30.31515152],0
p8,1,0.831674,0.04518,[59 70] ; [20 22],[59.59649123 69.40350877] ; [19.40350877 22.59649123],0
p5,1,0.838276,0.041656,[  8 120] ; [ 3 39],[  8.28235294 119.71764706] ; [ 2.71764706 39.28235294],0
a7,1,0.842329,0.039568,[94 35] ; [32 11],[94.5 34.5] ; [31.5 11.5],0
d5,1,0.842329,0.039568,[95 34] ; [31 12],[94.5 34.5] ; [31.5 11.5],0
b2,1,0.843095,0.039179,[26 50] ; [ 9 19],[25.57692308 50.42307692] ; [ 9.42307692 18.57692308],0
b3,1,0.843095,0.039179,[26 50] ; [ 9 19],[25.57692308 50.42307692] ; [ 9.42307692 18.57692308],0
d2,1,0.854503,0.033627,[47 82] ; [15 28],[46.5 82.5] ; [15.5 27.5],0
a2,1,0.893036,0.018081,[ 16 113] ; [ 5 38],[ 15.75 113.25] ; [ 5.25 37.75],0
s4,1,0.9006,0.015601,[ 19 110] ; [ 6 37],[ 18.75 110.25] ; [ 6.25 36.75],0
s6,1,0.933193,0.007027,[68 60] ; [22 20],[67.76470588 60.23529412] ; [22.23529412 19.76470588],0
s7,1,0.970104,0.001405,[44 81] ; [15 28],[43.89880952 81.10119048] ; [15.10119048 27.89880952],0
p1,1,0.990184,0.000151,[  9 118] ; [ 3 39],[  9.01775148 117.98224852] ; [ 2.98224852 39.01775148],0
