Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4.3e-05,16.740165,[36 15] ; [ 2 14],[28.92537313 22.07462687] ; [9.07462687 6.92537313],1
p11,1,0.662062,0.191028,[19 32] ; [ 5 11],[18.26865672 32.73134328] ; [ 5.73134328 10.26865672],0
d4,1,0.684594,0.165,[34 16] ; [10  6],[33.33333333 16.66666667] ; [10.66666667  5.33333333],0
s7,1,0.732545,0.116788,[ 9 37] ; [ 2 11],[ 8.57627119 37.42372881] ; [ 2.42372881 10.57627119],0
b4,1,0.793647,0.068423,[30 21] ; [10  6],[30.44776119 20.55223881] ; [9.55223881 6.44776119],0
a7,1,0.816855,0.053635,[27 24] ; [9 7],[27.40298507 23.59701493] ; [8.59701493 7.40298507],0
p1,1,0.817895,0.053016,[ 4 46] ; [ 1 15],[ 3.78787879 46.21212121] ; [ 1.21212121 14.78787879],0
a1,1,0.832442,0.044762,[ 4 47] ; [ 1 15],[ 3.80597015 47.19402985] ; [ 1.19402985 14.80597015],0
v2,1,0.838499,0.04154,[17 32] ; [ 6 10],[17.33846154 31.66153846] ; [ 5.66153846 10.33846154],0
n5,1,0.872444,0.025778,[18 33] ; [ 6 10],[18.26865672 32.73134328] ; [ 5.73134328 10.26865672],0
s5,1,0.879047,0.023158,[ 7 43] ; [ 2 14],[ 6.81818182 43.18181818] ; [ 2.18181818 13.81818182],0
p10,1,0.92004,0.010077,[ 9 42] ; [ 3 13],[ 9.13432836 41.86567164] ; [ 2.86567164 13.13432836],0
n3,1,0.935919,0.006464,[12  9] ; [5 4],[11.9  9.1] ; [5.1 3.9],0
p8,1,0.95219,0.003595,[14 37] ; [ 4 11],[13.90909091 37.09090909] ; [ 4.09090909 10.90909091],0
b3,1,0.956645,0.002955,[ 9 23] ; [3 8],[ 8.93023256 23.06976744] ; [3.06976744 7.93023256],0
b2,1,0.956645,0.002955,[ 9 23] ; [3 8],[ 8.93023256 23.06976744] ; [3.06976744 7.93023256],0
b5,1,0.965575,0.001863,[22 29] ; [7 9],[22.07462687 28.92537313] ; [6.92537313 9.07462687],0
a4,1,0.985889,0.000313,[19 32] ; [ 6 10],[19.02985075 31.97014925] ; [ 5.97014925 10.02985075],0
s6,1,0.992644,8.5e-05,[16 35] ; [ 5 11],[15.98507463 35.01492537] ; [ 5.01492537 10.98507463],0
n1,1,1.0,0.0,[ 7 14] ; [3 6],[ 7. 14.] ; [3. 6.],0
