Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,1e-06,23.329599,[14 16] ; [88 12],[23.53846154  6.46153846] ; [78.46153846 21.53846154],1
n6,1,0.176222,1.829204,[23  7] ; [86 13],[25.34883721  4.65116279] ; [83.65116279 15.34883721],0
n1,1,0.199907,1.643056,[5 7] ; [19 11],[6.85714286 5.14285714] ; [17.14285714 12.85714286],0
r4,1,0.223119,1.4842,[23  7] ; [86 14],[25.15384615  4.84615385] ; [83.84615385 16.15384615],0
p1,1,0.234802,1.411535,[ 5 25] ; [ 9 91],[ 3.23076923 26.76923077] ; [10.76923077 89.23076923],0
r1,1,0.248536,1.331512,[21  9] ; [80 20],[23.30769231  6.69230769] ; [77.69230769 22.30769231],0
p4,1,0.248886,1.329545,[12 18] ; [52 48],[14.76923077 15.23076923] ; [49.23076923 50.76923077],0
u2,1,0.298698,1.08,[7 8] ; [8 4],[8.33333333 6.66666667] ; [6.66666667 5.33333333],0
s5,1,0.366728,0.814723,[12 17] ; [30 63],[ 9.98360656 19.01639344] ; [32.01639344 60.98360656],0
b5,1,0.424887,0.636759,[19 11] ; [71 29],[20.76923077  9.23076923] ; [69.23076923 30.76923077],0
p10,1,0.431129,0.619779,[20 10] ; [74 26],[21.69230769  8.30769231] ; [72.30769231 27.69230769],0
d5,1,0.432945,0.614911,[23  7] ; [83 17],[24.46153846  5.53846154] ; [81.53846154 18.46153846],0
s3,1,0.444298,0.585156,[19 11] ; [70 29],[20.69767442  9.30232558] ; [68.30232558 30.69767442],0
s4,1,0.447407,0.577211,[ 7 23] ; [17 82],[ 5.58139535 24.41860465] ; [18.41860465 80.58139535],0
a7,1,0.45127,0.56746,[22  8] ; [66 34],[20.30769231  9.69230769] ; [67.69230769 32.30769231],0
p2,1,0.512627,0.428702,[22  8] ; [67 33],[20.53846154  9.46153846] ; [68.46153846 31.53846154],0
p3,1,0.521739,0.410455,[ 9 21] ; [36 63],[10.46511628 19.53488372] ; [34.53488372 64.46511628],0
s1,1,0.553145,0.351713,[ 3 26] ; [ 7 93],[ 2.24806202 26.75193798] ; [ 7.75193798 92.24806202],0
s6,1,0.62035,0.245376,[23  7] ; [80 19],[23.95348837  6.04651163] ; [79.04651163 19.95348837],0
p6,1,0.64834,0.208,[ 6 24] ; [24 76],[ 6.92307692 23.07692308] ; [23.07692308 76.92307692],0
b4,1,0.670896,0.180556,[19 11] ; [59 41],[18. 12.] ; [60. 40.],0
p5,1,0.700489,0.147964,[ 2 27] ; [ 9 89],[ 2.51181102 26.48818898] ; [ 8.48818898 89.51181102],0
u3,1,0.71714,0.13125,[11  5] ; [9 3],[11.42857143  4.57142857] ; [8.57142857 3.42857143],0
s8,1,0.718118,0.130303,[18 12] ; [63 36],[18.8372093 11.1627907] ; [62.1627907 36.8372093],0
s2,1,0.836194,0.042751,[21  9] ; [68 32],[20.53846154  9.46153846] ; [68.46153846 31.53846154],0
d3,1,0.94604,0.004581,[20 10] ; [66 34],[19.84615385 10.15384615] ; [66.15384615 33.84615385],0
v3,1,0.956016,0.003042,[10 17] ; [35 61],[ 9.87804878 17.12195122] ; [35.12195122 60.87804878],0
d4,1,0.965936,0.001824,[25  5] ; [83 17],[24.92307692  5.07692308] ; [83.07692308 16.92307692],0
b3,1,0.990537,0.000141,[ 7 10] ; [31 44],[7.02173913 9.97826087] ; [30.97826087 44.02173913],0
b2,1,0.990537,0.000141,[ 7 10] ; [31 44],[7.02173913 9.97826087] ; [30.97826087 44.02173913],0
b1,1,1.0,0.0,[12 18] ; [40 60],[12. 18.] ; [40. 60.],0
