Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-05,19.52,[13 37] ; [48 24],[25. 25.] ; [36. 36.],1
p1,1,0.751928,0.099918,[ 5 45] ; [ 6 66],[ 4.50819672 45.49180328] ; [ 6.49180328 65.50819672],0
p7,1,0.761443,0.092164,[11 37] ; [18 53],[11.69747899 36.30252101] ; [17.30252101 53.69747899],0
u4,1,0.793765,0.068343,[ 1 49] ; [ 1 71],[ 0.81967213 49.18032787] ; [ 1.18032787 70.81967213],0
u3,1,0.811014,0.057178,[12 15] ; [11 12],[12.42 14.58] ; [10.58 12.42],0
n3,1,0.821193,0.051081,[12  9] ; [14 12],[11.61702128  9.38297872] ; [14.38297872 11.61702128],0
s1,1,0.826372,0.048118,[ 4 46] ; [ 5 67],[ 3.68852459 46.31147541] ; [ 5.31147541 66.68852459],0
n4,1,0.831592,0.045224,[31 19] ; [46 26],[31.55737705 18.44262295] ; [45.44262295 26.55737705],0
d2,1,0.881235,0.022321,[22 26] ; [34 38],[22.4 25.6] ; [33.6 38.4],0
s4,1,0.923415,0.009241,[ 6 44] ; [ 8 62],[ 5.83333333 44.16666667] ; [ 8.16666667 61.83333333],0
p12,1,0.963576,0.002085,[ 2 48] ; [ 3 69],[ 2.04918033 47.95081967] ; [ 2.95081967 69.04918033],0
s8,1,0.965183,0.001905,[ 9 40] ; [13 59],[ 8.90909091 40.09090909] ; [13.09090909 58.90909091],0
