Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,1e-05,19.53342,[10 57] ; [19 14],[19.43 47.57] ; [ 9.57 23.43],1
p11,1,0.414866,0.664814,[39 28] ; [22 11],[40.87 26.13] ; [20.13 12.87],0
r2,1,0.494125,0.467532,[50 16] ; [27  6],[51.33333333 14.66666667] ; [25.66666667  7.33333333],0
d1,1,0.525907,0.402295,[ 4 63] ; [ 1 32],[ 3.35 63.65] ; [ 1.65 31.35],0
a8,1,0.541468,0.372826,[ 7 57] ; [ 2 27],[ 6.19354839 57.80645161] ; [ 2.80645161 26.19354839],0
r1,1,0.566305,0.328904,[36 30] ; [20 13],[37.33333333 28.66666667] ; [18.66666667 14.33333333],0
s2,1,0.576377,0.312128,[13 54] ; [ 8 25],[14.07 52.93] ; [ 6.93 26.07],0
d2,1,0.590718,0.289224,[15 52] ; [ 9 24],[16.08 50.92] ; [ 7.92 25.08],0
r3,1,0.590832,0.289046,[48 17] ; [26  7],[49.08163265 15.91836735] ; [24.91836735  8.08163265],0
a1,1,0.615876,0.251706,[ 6 61] ; [ 2 31],[ 5.36 61.64] ; [ 2.64 30.36],0
b1,1,0.621455,0.243827,[31 36] ; [17 16],[32.16 34.84] ; [15.84 17.16],0
n5,1,0.662597,0.190385,[39 27] ; [21 12],[40. 26.] ; [20. 13.],0
s5,1,0.766914,0.087861,[ 5 60] ; [ 2 31],[ 4.64285714 60.35714286] ; [ 2.35714286 30.64285714],0
n4,1,0.772923,0.083263,[38 28] ; [20 13],[38.66666667 27.33333333] ; [19.33333333 13.66666667],0
n2,1,0.780931,0.077343,[19  7] ; [7 2],[19.31428571  6.68571429] ; [6.68571429 2.31428571],0
s4,1,0.831585,0.045228,[ 7 60] ; [ 3 30],[ 6.7 60.3] ; [ 3.3 29.7],0
b4,1,0.938777,0.005899,[36 31] ; [18 15],[36.18 30.82] ; [17.82 15.18],0
