Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,34.828431,[82  3] ; [34 26],[68. 17.] ; [48. 12.],1
a5,1,0.613072,0.255726,[48 37] ; [37 24],[49.48630137 35.51369863] ; [35.51369863 25.48630137],0
s1,1,0.687739,0.161544,[ 3 81] ; [ 3 58],[ 3.47586207 80.52413793] ; [ 2.52413793 58.47586207],0
a4,1,0.744434,0.106268,[32 53] ; [21 39],[31.06896552 53.93103448] ; [21.93103448 38.06896552],0
n1,1,0.759047,0.094085,[8 9] ; [11 15],[7.51162791 9.48837209] ; [11.48837209 14.51162791],0
a3,1,0.765118,0.089262,[55 30] ; [38 23],[54.14383562 30.85616438] ; [38.85616438 22.14383562],0
a2,1,0.790478,0.070591,[11 74] ; [ 7 54],[10.47945205 74.52054795] ; [ 7.52054795 53.47945205],0
b2,1,0.817364,0.053332,[19 35] ; [15 25],[19.53191489 34.46808511] ; [14.46808511 25.53191489],0
b3,1,0.817364,0.053332,[19 35] ; [15 25],[19.53191489 34.46808511] ; [14.46808511 25.53191489],0
p1,1,0.882632,0.021796,[ 9 76] ; [ 6 55],[ 8.73287671 76.26712329] ; [ 6.26712329 54.73287671],0
n5,1,0.975039,0.000979,[71 14] ; [50 10],[70.93103448 14.06896552] ; [50.06896552  9.93103448],0
