Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,24.703624,[176  59] ; [33 42],[158.43548387  76.56451613] ; [50.56451613 24.43548387],1
u3,1,0.220392,1.501819,[28 10] ; [16 11],[25.72307692 12.27692308] ; [18.27692308  8.72307692],0
n1,1,0.24019,1.379479,[30 23] ; [5 8],[28.10606061 24.89393939] ; [6.89393939 6.10606061],0
p6,1,0.281525,1.159712,[108 124] ; [30 46],[103.94805195 128.05194805] ; [34.05194805 41.94805195],0
a5,1,0.29622,1.091133,[193  43] ; [58 18],[189.85897436  46.14102564] ; [61.14102564 14.85897436],0
a4,1,0.346151,0.887519,[114 122] ; [32 44],[110.43589744 125.56410256] ; [35.56410256 40.43589744],0
a1,1,0.369195,0.806372,[ 16 220] ; [ 3 73],[ 14.37179487 221.62820513] ; [ 4.62820513 71.37179487],0
n3,1,0.38676,0.749106,[36 18] ; [7 6],[34.65671642 19.34328358] ; [8.34328358 4.65671642],0
r4,1,0.418597,0.654249,[217  19] ; [72  4],[218.6025641  17.3974359] ; [70.3974359  5.6025641],0
p3,1,0.447369,0.577309,[139  97] ; [41 35],[136.15384615  99.84615385] ; [43.84615385 32.15384615],0
d2,1,0.448054,0.57557,[128 108] ; [45 31],[130.85897436 105.14102564] ; [42.14102564 33.85897436],0
b2,1,0.448804,0.573672,[86 93] ; [21 29],[83.63755459 95.36244541] ; [23.36244541 26.63755459],0
b3,1,0.448804,0.573672,[86 93] ; [21 29],[83.63755459 95.36244541] ; [23.36244541 26.63755459],0
p2,1,0.453855,0.561007,[199  36] ; [67  9],[200.99678457  34.00321543] ; [65.00321543 10.99678457],0
d3,1,0.499172,0.456697,[162  74] ; [49 27],[159.6025641  76.3974359] ; [51.3974359 24.6025641],0
d1,1,0.530372,0.393678,[149  87] ; [51 25],[151.28205128  84.71794872] ; [48.71794872 27.28205128],0
p12,1,0.531316,0.391874,[ 28 206] ; [ 7 68],[ 26.50485437 207.49514563] ; [ 8.49514563 66.50485437],0
u2,1,0.538638,0.37807,[26 11] ; [17 10],[24.859375 12.140625] ; [18.140625  8.859375],0
a8,1,0.633271,0.227651,[ 44 169] ; [13 59],[ 42.6 170.4] ; [14.4 57.6],0
s1,1,0.652909,0.202253,[  9 224] ; [ 2 71],[  8.37581699 224.62418301] ; [ 2.62418301 70.37581699],0
a7,1,0.690356,0.1587,[161  75] ; [53 22],[162.39228296  73.60771704] ; [51.60771704 23.39228296],0
d4,1,0.710251,0.138027,[199  36] ; [63 13],[197.97427653  37.02572347] ; [64.02572347 11.97427653],0
n2,1,0.729111,0.119929,[41 13] ; [10  4],[40.5 13.5] ; [10.5  3.5],0
r1,1,0.755614,0.096874,[200  34] ; [63 12],[199.16504854  34.83495146] ; [63.83495146 11.16504854],0
b5,1,0.770884,0.084808,[138  98] ; [43 33],[136.91025641  99.08974359] ; [44.08974359 31.91025641],0
p8,1,0.838331,0.041628,[133  99] ; [44 31],[133.75895765  98.24104235] ; [43.24104235 31.75895765],0
b1,1,0.877205,0.023874,[ 97 139] ; [32 44],[ 97.57692308 138.42307692] ; [31.42307692 44.57692308],0
a6,1,0.924229,0.009046,[156  79] ; [50 26],[155.65916399  79.34083601] ; [50.34083601 25.65916399],0
r3,1,0.957926,0.002783,[227   9] ; [73  3],[226.92307692   9.07692308] ; [73.07692308  2.92307692],0
d5,1,0.992566,8.7e-05,[198  37] ; [64 12],[197.97427653  37.02572347] ; [64.02572347 11.97427653],0
