Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1.5e-05,18.798685,[12  1] ; [ 7 25],[5.48888889 7.51111111] ; [13.51111111 18.48888889],1
p9,1,0.768676,0.086499,[5 7] ; [14 16],[5.42857143 6.57142857] ; [13.57142857 16.42857143],0
p11,1,0.795198,0.067375,[5 8] ; [11 21],[4.62222222 8.37777778] ; [11.37777778 20.62222222],0
p1,1,0.796401,0.066568,[ 2 11] ; [ 4 28],[ 1.73333333 11.26666667] ; [ 4.26666667 27.73333333],0
p10,1,0.851399,0.035094,[5 8] ; [11 20],[4.72727273 8.27272727] ; [11.27272727 19.72727273],0
b1,1,0.883063,0.021635,[7 6] ; [18 14],[7.22222222 5.77777778] ; [17.77777778 14.22222222],0
s6,1,0.891778,0.018511,[ 3 10] ; [ 8 24],[3.17777778 9.82222222] ; [ 7.82222222 24.17777778],0
b2,1,0.901312,0.015377,[5 5] ; [10 11],[4.83870968 5.16129032] ; [10.16129032 10.83870968],0
b3,1,0.901312,0.015377,[5 5] ; [10 11],[4.83870968 5.16129032] ; [10.16129032 10.83870968],0
v4,1,0.964944,0.001932,[7 6] ; [17 15],[6.93333333 6.06666667] ; [17.06666667 14.93333333],0
v1,1,0.974811,0.000997,[4 9] ; [10 22],[4.04444444 8.95555556] ; [ 9.95555556 22.04444444],0
