Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.031972,4.6,[26 20] ; [19  4],[30. 16.] ; [15.  8.],0
p4,1,0.593879,0.284326,[11 35] ; [ 4 18],[10.14705882 35.85294118] ; [ 4.85294118 17.14705882],0
r2,1,0.59536,0.282051,[25 19] ; [14  8],[26. 18.] ; [13.  9.],0
n5,1,0.606445,0.265385,[27 19] ; [12 11],[26. 20.] ; [13. 10.],0
a5,1,0.609185,0.261364,[21 25] ; [12 11],[22. 24.] ; [11. 12.],0
s3,1,0.618705,0.247691,[13 32] ; [ 8 15],[13.89705882 31.10294118] ; [ 7.10294118 15.89705882],0
s4,1,0.628648,0.233898,[ 6 40] ; [ 4 19],[ 6.66666667 39.33333333] ; [ 3.33333333 19.66666667],0
p8,1,0.654866,0.19982,[ 6 39] ; [ 4 19],[ 6.61764706 38.38235294] ; [ 3.38235294 19.61764706],0
u3,1,0.665984,0.186335,[ 5 18] ; [1 6],[ 4.6 18.4] ; [1.4 5.6],0
s2,1,0.68665,0.162736,[10 36] ; [ 6 17],[10.66666667 35.33333333] ; [ 5.33333333 17.66666667],0
s6,1,0.68665,0.162736,[10 36] ; [ 6 17],[10.66666667 35.33333333] ; [ 5.33333333 17.66666667],0
p7,1,0.70297,0.145401,[13 33] ; [ 5 16],[12.35820896 33.64179104] ; [ 5.64179104 15.35820896],0
b1,1,0.723192,0.125455,[30 16] ; [14  9],[29.33333333 16.66666667] ; [14.66666667  8.33333333],0
a7,1,0.733451,0.115966,[22 24] ; [12 11],[22.66666667 23.33333333] ; [11.33333333 11.66666667],0
n6,1,0.746143,0.104801,[19 27] ; [10 12],[19.61764706 26.38235294] ; [ 9.38235294 12.61764706],0
p2,1,0.753695,0.098452,[17 29] ; [ 9 13],[17.58823529 28.41176471] ; [ 8.41176471 13.58823529],0
a2,1,0.790325,0.070697,[ 5 41] ; [ 3 20],[ 5.33333333 40.66666667] ; [ 2.66666667 20.33333333],0
d2,1,0.806387,0.060069,[19 26] ; [ 9 14],[18.52941176 26.47058824] ; [ 9.47058824 13.52941176],0
a4,1,0.808996,0.058429,[15 30] ; [ 7 16],[14.55882353 30.44117647] ; [ 7.44117647 15.55882353],0
a1,1,0.816118,0.054075,[ 7 39] ; [ 4 19],[ 7.33333333 38.66666667] ; [ 3.66666667 19.33333333],0
s5,1,0.840435,0.040537,[ 5 39] ; [ 3 20],[ 5.25373134 38.74626866] ; [ 2.74626866 20.25373134],0
p6,1,0.840435,0.040537,[ 5 39] ; [ 3 20],[ 5.25373134 38.74626866] ; [ 2.74626866 20.25373134],0
r3,1,0.860556,0.030859,[17 29] ; [ 9 14],[17.33333333 28.66666667] ; [ 8.66666667 14.33333333],0
n1,1,0.88012,0.022746,[ 6 14] ; [ 5 13],[ 5.78947368 14.21052632] ; [ 5.21052632 12.78947368],0
v1,1,0.894697,0.01752,[13 32] ; [ 7 16],[13.23529412 31.76470588] ; [ 6.76470588 16.23529412],0
d3,1,0.927792,0.008213,[24 21] ; [12 11],[23.82352941 21.17647059] ; [12.17647059 10.82352941],0
v4,1,1.0,0.0,[26 20] ; [13 10],[26. 20.] ; [13. 10.],0
n4,1,1.0,0.0,[26 20] ; [13 10],[26. 20.] ; [13. 10.],0
b5,1,1.0,0.0,[24 22] ; [12 11],[24. 22.] ; [12. 11.],0
a8,1,1.0,0.0,[ 2 42] ; [ 1 21],[ 2. 42.] ; [ 1. 21.],0
