Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1.7e-05,18.489052,[ 1 28] ; [20 18],[ 9.08955224 19.91044776] ; [11.91044776 26.08955224],1
b2,1,0.474355,0.511813,[ 9 11] ; [ 9 17],[ 7.82608696 12.17391304] ; [10.17391304 15.82608696],0
b3,1,0.474355,0.511813,[ 9 11] ; [ 9 17],[ 7.82608696 12.17391304] ; [10.17391304 15.82608696],0
p8,1,0.503164,0.448256,[ 7 22] ; [12 26],[ 8.2238806 20.7761194] ; [10.7761194 27.2238806],0
v1,1,0.503164,0.448256,[ 7 22] ; [12 26],[ 8.2238806 20.7761194] ; [10.7761194 27.2238806],0
v3,1,0.518182,0.41751,[ 7 21] ; [ 7 31],[ 5.93939394 22.06060606] ; [ 8.06060606 29.93939394],0
n6,1,0.570497,0.321852,[14 15] ; [21 17],[15.14925373 13.85074627] ; [19.85074627 18.14925373],0
a2,1,0.606173,0.265786,[ 2 27] ; [ 4 34],[ 2.59701493 26.40298507] ; [ 3.40298507 34.59701493],0
d2,1,0.614593,0.25354,[10 19] ; [15 22],[10.98484848 18.01515152] ; [14.01515152 22.98484848],0
p7,1,0.61775,0.249042,[ 8 21] ; [12 24],[ 8.92307692 20.07692308] ; [11.07692308 24.92307692],0
s7,1,0.644552,0.212837,[ 6 22] ; [ 9 25],[ 6.77419355 21.22580645] ; [ 8.22580645 25.77419355],0
p6,1,0.655937,0.198496,[ 4 24] ; [ 7 31],[ 4.66666667 23.33333333] ; [ 6.33333333 31.66666667],0
p2,1,0.773455,0.082863,[14 15] ; [17 21],[13.41791045 15.58208955] ; [17.58208955 20.41791045],0
n2,1,0.773753,0.082639,[11  9] ; [7 7],[10.58823529  9.41176471] ; [7.41176471 6.58823529],0
n3,1,0.797004,0.066165,[ 9 10] ; [6 8],[ 8.63636364 10.36363636] ; [6.36363636 7.63636364],0
b4,1,0.823666,0.049654,[16 13] ; [22 16],[16.44776119 12.55223881] ; [21.55223881 16.44776119],0
a6,1,0.836269,0.042712,[13 16] ; [18 20],[13.41791045 15.58208955] ; [17.58208955 20.41791045],0
s1,1,0.877571,0.023731,[ 2 27] ; [ 3 35],[ 2.1641791 26.8358209] ; [ 2.8358209 35.1641791],0
a8,1,0.888836,0.019538,[ 1 27] ; [ 1 33],[ 0.90322581 27.09677419] ; [ 1.09677419 32.90322581],0
p11,1,0.962035,0.002266,[ 9 20] ; [12 26],[ 9.08955224 19.91044776] ; [11.91044776 26.08955224],0
