Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,174.267866,[185  78] ; [ 27 206],[112.41129032 150.58870968] ; [ 99.58870968 133.41129032],1
v1,1,0.167085,1.908904,[139 118] ; [108 118],[131.42650104 125.57349896] ; [115.57349896 110.42650104],0
n5,1,0.229946,1.441194,[195  67] ; [160  70],[189.04471545  72.95528455] ; [165.95528455  64.04471545],0
n3,1,0.257663,1.28127,[36 18] ; [45 14],[38.7079646 15.2920354] ; [42.2920354 16.7079646],0
a1,1,0.282348,1.155755,[ 10 253] ; [  5 228],[  7.95362903 255.04637097] ; [  7.04637097 225.95362903],0
s4,1,0.283334,1.151027,[ 28 234] ; [ 32 199],[ 31.88640974 230.11359026] ; [ 28.11359026 202.88640974],0
b5,1,0.304224,1.055588,[172  91] ; [142  91],[166.49596774  96.50403226] ; [147.50403226  85.49596774],0
u3,1,0.310866,1.026995,[36 27] ; [49 51],[32.85276074 30.14723926] ; [52.14723926 47.85276074],0
n2,1,0.316176,1.004698,[33 20] ; [42 17],[35.49107143 17.50892857] ; [39.50892857 19.49107143],0
p7,1,0.332151,0.940491,[172  89] ; [140  87],[166.86885246  94.13114754] ; [145.13114754  81.86885246],0
b2,1,0.357351,0.847182,[ 56 101] ; [40 91],[ 52.33333333 104.66666667] ; [43.66666667 87.33333333],0
b3,1,0.357351,0.847182,[ 56 101] ; [40 91],[ 52.33333333 104.66666667] ; [43.66666667 87.33333333],0
b4,1,0.416621,0.659827,[154 109] ; [128 105],[149.52822581 113.47177419] ; [132.47177419 100.52822581],0
s3,1,0.684275,0.165353,[128 132] ; [109 121],[125.75510204 134.24489796] ; [111.24489796 118.75510204],0
p1,1,0.847289,0.037086,[ 17 246] ; [ 16 216],[ 17.53333333 245.46666667] ; [ 15.46666667 216.53333333],0
s1,1,0.931412,0.007408,[  6 255] ; [  5 224],[  5.85918367 255.14081633] ; [  5.14081633 223.85918367],0
p5,1,0.944126,0.004912,[ 15 247] ; [ 13 220],[ 14.82020202 247.17979798] ; [ 13.17979798 219.82020202],0
