Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000143,14.467593,[42 38] ; [ 8 37],[32. 48.] ; [18. 27.],1
p6,1,0.653228,0.201854,[11 68] ; [ 5 40],[10.19354839 68.80645161] ; [ 5.80645161 39.19354839],0
a5,1,0.808271,0.058882,[48 32] ; [26 19],[47.36 32.64] ; [26.64 18.36],0
b3,1,0.819879,0.051848,[17 32] ; [ 9 19],[16.54545455 32.45454545] ; [ 9.45454545 18.54545455],0
b2,1,0.819879,0.051848,[17 32] ; [ 9 19],[16.54545455 32.45454545] ; [ 9.45454545 18.54545455],0
a4,1,0.823819,0.049567,[30 49] ; [18 27],[30.58064516 48.41935484] ; [17.41935484 27.58064516],0
d2,1,0.833176,0.044365,[37 41] ; [20 24],[36.44262295 41.55737705] ; [20.55737705 23.44262295],0
p4,1,0.838895,0.041334,[19 59] ; [10 34],[18.54098361 59.45901639] ; [10.45901639 33.54098361],0
n1,1,0.854277,0.033733,[12 16] ; [10 12],[12.32 15.68] ; [ 9.68 12.32],0
a7,1,0.915698,0.011205,[47 33] ; [26 19],[46.72 33.28] ; [26.28 18.72],0
u4,1,0.922408,0.009487,[ 2 78] ; [ 1 44],[ 1.92 78.08] ; [ 1.08 43.92],0
b1,1,0.964237,0.00201,[43 37] ; [24 21],[42.88 37.12] ; [24.12 20.88],0
