Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,2e-06,22.520981,[21 35] ; [116  43],[35.68372093 20.31627907] ; [101.31627907  57.68372093],1
v3,1,0.559195,0.3411,[13 36] ; [ 47 105],[14.62686567 34.37313433] ; [ 45.37313433 106.62686567],0
a5,1,0.618539,0.247926,[36 20] ; [108  51],[37.50697674 18.49302326] ; [106.49302326  52.50697674],0
d2,1,0.623575,0.240874,[25 31] ; [65 94],[23.44186047 32.55813953] ; [66.55813953 92.44186047],0
p3,1,0.635265,0.224988,[24 32] ; [62 96],[22.5046729 33.4953271] ; [63.4953271 94.5046729],0
a3,1,0.695374,0.153329,[35 21] ; [104  55],[36.20465116 19.79534884] ; [102.79534884  56.20465116],0
s6,1,0.696088,0.152573,[30 24] ; [92 65],[31.22274882 22.77725118] ; [90.77725118 66.22274882],0
v2,1,0.70672,0.141575,[27 27] ; [80 71],[28.18536585 25.81463415] ; [78.81463415 72.18536585],0
p6,1,0.713811,0.1345,[16 37] ; [ 43 113],[14.96172249 38.03827751] ; [ 44.03827751 111.96172249],0
s7,1,0.732813,0.116545,[18 34] ; [57 96],[19.02439024 32.97560976] ; [55.97560976 97.02439024],0
p11,1,0.78512,0.07434,[38 18] ; [111  48],[38.80930233 17.19069767] ; [110.19069767  48.80930233],0
v1,1,0.788575,0.071911,[22 34] ; [57 96],[21.16746411 34.83253589] ; [57.83253589 95.16746411],0
s2,1,0.798124,0.065422,[23 33] ; [68 90],[23.81308411 32.18691589] ; [67.18691589 90.81308411],0
b4,1,0.837307,0.042164,[34 22] ; [99 60],[34.64186047 21.35813953] ; [98.35813953 60.64186047],0
s8,1,0.878596,0.023333,[20 35] ; [ 56 103],[19.53271028 35.46728972] ; [ 56.46728972 102.53271028],0
r2,1,0.883069,0.021632,[54  2] ; [153   5],[54.1682243  1.8317757] ; [152.8317757   5.1682243],0
u2,1,0.90342,0.014724,[13  8] ; [32 21],[12.77027027  8.22972973] ; [32.22972973 20.77027027],0
n4,1,0.92541,0.008765,[24 32] ; [67 92],[23.70232558 32.29767442] ; [67.29767442 91.70232558],0
