Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.002564,9.094236,[ 6 58] ; [ 9 16],[10.78651685 53.21348315] ; [ 4.21348315 20.78651685],0
n2,1,0.414335,0.666329,[14 17] ; [6 4],[15.12195122 15.87804878] ; [4.87804878 5.12195122],0
n5,1,0.438693,0.599698,[43 21] ; [14 10],[41.45454545 22.54545455] ; [15.54545455  8.45454545],0
p10,1,0.478247,0.502857,[30 33] ; [14 11],[31.5 31.5] ; [12.5 12.5],0
p8,1,0.4791,0.500911,[21 43] ; [ 6 18],[19.63636364 44.36363636] ; [ 7.36363636 16.63636364],0
p4,1,0.495498,0.464565,[24 41] ; [ 7 17],[22.64044944 42.35955056] ; [ 8.35955056 15.64044944],0
u1,1,0.530096,0.394208,[ 3 62] ; [ 2 23],[ 3.61111111 61.38888889] ; [ 1.38888889 23.61111111],0
n4,1,0.541095,0.373514,[37 28] ; [16  9],[38.27777778 26.72222222] ; [14.72222222 10.27777778],0
p3,1,0.542885,0.370218,[17 48] ; [ 5 20],[15.88888889 49.11111111] ; [ 6.11111111 18.88888889],0
a4,1,0.564355,0.332219,[19 45] ; [ 9 16],[20.13483146 43.86516854] ; [ 7.86516854 17.13483146],0
b2,1,0.590958,0.288851,[15 30] ; [5 7],[15.78947368 29.21052632] ; [4.21052632 7.78947368],0
b3,1,0.590958,0.288851,[15 30] ; [5 7],[15.78947368 29.21052632] ; [4.21052632 7.78947368],0
n6,1,0.596826,0.279809,[36 28] ; [15  9],[37.09090909 26.90909091] ; [13.90909091 10.09090909],0
a8,1,0.602145,0.271772,[ 5 56] ; [ 1 20],[ 4.46341463 56.53658537] ; [ 1.53658537 19.46341463],0
p5,1,0.667692,0.184314,[ 4 59] ; [ 1 24],[ 3.57954545 59.42045455] ; [ 1.42045455 23.57954545],0
s1,1,0.68949,0.159638,[ 4 61] ; [ 1 24],[ 3.61111111 61.38888889] ; [ 1.38888889 23.61111111],0
s7,1,0.69478,0.153959,[17 45] ; [ 7 15],[17.71428571 44.28571429] ; [ 6.28571429 15.71428571],0
b1,1,0.753152,0.098901,[31 34] ; [11 14],[30.33333333 34.66666667] ; [11.66666667 13.33333333],0
p6,1,0.780575,0.077601,[11 52] ; [ 5 20],[11.45454545 51.54545455] ; [ 4.54545455 20.45454545],0
s4,1,0.801359,0.063297,[14 51] ; [ 6 19],[14.44444444 50.55555556] ; [ 5.55555556 19.44444444],0
u2,1,0.808883,0.0585,[14 21] ; [4 5],[14.31818182 20.68181818] ; [3.68181818 5.31818182],0
a6,1,0.813945,0.055385,[33 32] ; [12 13],[32.5 32.5] ; [12.5 12.5],0
s3,1,0.822345,0.050414,[22 41] ; [ 9 15],[22.44827586 40.55172414] ; [ 8.55172414 15.44827586],0
p7,1,0.851119,0.035228,[22 40] ; [ 8 16],[21.62790698 40.37209302] ; [ 8.37209302 15.62790698],0
a1,1,0.854195,0.033771,[ 6 59] ; [ 2 23],[ 5.77777778 59.22222222] ; [ 2.22222222 22.77777778],0
p2,1,0.867429,0.027864,[34 29] ; [13 12],[33.64772727 29.35227273] ; [13.35227273 11.64772727],0
p1,1,0.886567,0.020349,[ 7 57] ; [ 3 22],[ 7.19101124 56.80898876] ; [ 2.80898876 22.19101124],0
a5,1,0.916676,0.010946,[32 33] ; [12 13],[31.77777778 33.22222222] ; [12.22222222 12.77777778],0
p9,1,0.97426,0.001041,[30 33] ; [12 13],[30.06818182 32.93181818] ; [11.93181818 13.06818182],0
