Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,2e-06,22.735144,[ 8 69] ; [18 17],[17.875 59.125] ; [ 8.125 26.875],1
p1,1,0.053632,3.724128,[12 66] ; [ 1 34],[ 8.97345133 69.02654867] ; [ 4.02654867 30.97345133],0
a8,1,0.072307,3.229852,[ 5 69] ; [ 6 27],[ 7.60747664 66.39252336] ; [ 3.39252336 29.60747664],0
s5,1,0.079755,3.069886,[12 62] ; [10 22],[15.35849057 58.64150943] ; [ 6.64150943 25.35849057],0
b1,1,0.088948,2.89331,[29 49] ; [19 16],[33.13274336 44.86725664] ; [14.86725664 20.13274336],0
n3,1,0.094264,2.8,[16 16] ; [8 2],[18.28571429 13.71428571] ; [5.71428571 4.28571429],0
v2,1,0.104338,2.637953,[20 55] ; [14 19],[23.61111111 51.38888889] ; [10.38888889 22.61111111],0
s7,1,0.105192,2.625009,[17 59] ; [12 20],[20.40740741 55.59259259] ; [ 8.59259259 23.40740741],0
a1,1,0.179177,1.804441,[ 8 70] ; [ 1 34],[ 6.21238938 71.78761062] ; [ 2.78761062 32.21238938],0
b5,1,0.205253,1.604597,[46 32] ; [25 10],[49.00884956 28.99115044] ; [21.99115044 13.00884956],0
n1,1,0.224044,1.478281,[ 9 22] ; [5 5],[10.58536585 20.41463415] ; [3.41463415 6.58536585],0
v1,1,0.23562,1.406612,[23 52] ; [14 19],[25.69444444 49.30555556] ; [11.30555556 21.69444444],0
u3,1,0.246334,1.343976,[12 22] ; [7 6],[13.74468085 20.25531915] ; [5.25531915 7.74468085],0
p5,1,0.282088,1.157005,[ 3 75] ; [ 3 31],[ 4.17857143 73.82142857] ; [ 1.82142857 32.17857143],0
n2,1,0.305507,1.05,[20 12] ; [8 2],[21.33333333 10.66666667] ; [6.66666667 3.33333333],0
b4,1,0.32239,0.979228,[50 28] ; [19 16],[47.62831858 30.37168142] ; [21.37168142 13.62831858],0
a5,1,0.324657,0.970094,[39 39] ; [21 14],[41.4159292 36.5840708] ; [18.5840708 16.4159292],0
b2,1,0.326985,0.960801,[21 20] ; [ 8 13],[19.17741935 21.82258065] ; [ 9.82258065 11.17741935],0
b3,1,0.326985,0.960801,[21 20] ; [ 8 13],[19.17741935 21.82258065] ; [ 9.82258065 11.17741935],0
p10,1,0.362372,0.829655,[43 33] ; [23 12],[45.18918919 30.81081081] ; [20.81081081 14.18918919],0
a7,1,0.371468,0.798748,[42 36] ; [22 13],[44.17699115 33.82300885] ; [19.82300885 15.17699115],0
v3,1,0.395102,0.723183,[19 57] ; [ 6 28],[17.27272727 58.72727273] ; [ 7.72727273 26.27272727],0
s1,1,0.410004,0.678788,[ 2 75] ; [ 2 33],[ 2.75 74.25] ; [ 1.25 33.75],0
p11,1,0.420557,0.648758,[45 33] ; [23 12],[46.9380531 31.0619469] ; [21.0619469 13.9380531],0
u2,1,0.493291,0.46934,[12 22] ; [6 7],[13.0212766 20.9787234] ; [4.9787234 8.0212766],0
a3,1,0.520283,0.413332,[44 34] ; [22 13],[45.55752212 32.44247788] ; [20.44247788 14.55752212],0
s3,1,0.523357,0.407273,[26 51] ; [14 21],[27.5 49.5] ; [12.5 22.5],0
s4,1,0.524224,0.405574,[15 63] ; [ 5 30],[13.80530973 64.19469027] ; [ 6.19469027 28.80530973],0
r2,1,0.651811,0.203624,[55 21] ; [26  8],[55.96363636 20.03636364] ; [25.03636364  8.96363636],0
a6,1,0.673425,0.177622,[39 39] ; [19 16],[40.03539823 37.96460177] ; [17.96460177 17.03539823],0
a2,1,0.684048,0.165605,[ 7 71] ; [ 4 31],[ 7.59292035 70.40707965] ; [ 3.40707965 31.59292035],0
d2,1,0.706419,0.14188,[34 42] ; [17 18],[34.91891892 41.08108108] ; [16.08108108 18.91891892],0
p8,1,0.819254,0.052214,[14 63] ; [ 7 28],[14.4375 62.5625] ; [ 6.5625 28.4375],0
u1,1,0.873197,0.025472,[ 6 72] ; [ 3 32],[ 6.21238938 71.78761062] ; [ 2.78761062 32.21238938],0
p12,1,0.937101,0.006227,[ 2 75] ; [ 1 34],[ 2.0625 74.9375] ; [ 0.9375 34.0625],0
