Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,28.061899,[104   9] ; [20 17],[93.41333333 19.58666667] ; [30.58666667  6.41333333],1
d3,1,0.066847,3.358806,[83 30] ; [20 15],[78.64189189 34.35810811] ; [24.35810811 10.64189189],0
d2,1,0.071131,3.25672,[59 54] ; [13 24],[54.24 58.76] ; [17.76 19.24],0
u1,1,0.087644,2.917131,[23 90] ; [ 3 34],[19.58666667 93.41333333] ; [ 6.41333333 30.58666667],0
v4,1,0.099971,2.706002,[106   6] ; [32  5],[103.73154362   8.26845638] ; [34.26845638  2.73154362],0
n1,1,0.10951,2.561275,[17 20] ; [ 3 11],[14.50980392 22.49019608] ; [5.49019608 8.50980392],0
u3,1,0.112952,2.512421,[19 12] ; [10 15],[16.05357143 14.94642857] ; [12.94642857 12.05357143],0
n5,1,0.16753,1.904912,[74 37] ; [20 17],[70.5 40.5] ; [23.5 13.5],0
p1,1,0.167709,1.903307,[ 11 101] ; [ 1 36],[  9.02013423 102.97986577] ; [ 2.97986577 34.02013423],0
s2,1,0.235817,1.405428,[64 48] ; [17 20],[60.88590604 51.11409396] ; [20.11409396 16.88590604],0
b4,1,0.254785,1.296877,[70 43] ; [19 18],[67.04666667 45.95333333] ; [21.95333333 15.04666667],0
p6,1,0.257838,1.280327,[42 68] ; [10 26],[39.17808219 70.82191781] ; [12.82191781 23.17808219],0
b3,1,0.290748,1.116153,[17 40] ; [ 2 11],[15.47142857 41.52857143] ; [3.52857143 9.47142857],0
b2,1,0.290748,1.116153,[17 40] ; [ 2 11],[15.47142857 41.52857143] ; [3.52857143 9.47142857],0
v1,1,0.335309,0.928284,[57 55] ; [15 21],[54.48648649 57.51351351] ; [17.51351351 18.48648649],0
p4,1,0.375729,0.78463,[66 47] ; [18 18],[63.70469799 49.29530201] ; [20.29530201 15.70469799],0
s4,1,0.4097,0.679672,[23 89] ; [10 27],[24.80536913 87.19463087] ; [ 8.19463087 28.80536913],0
v3,1,0.456747,0.553854,[36 71] ; [10 27],[34.18055556 72.81944444] ; [11.81944444 25.18055556],0
p3,1,0.499851,0.455252,[53 60] ; [15 22],[51.22666667 61.77333333] ; [16.77333333 20.22666667],0
n2,1,0.506983,0.44029,[28 10] ; [9 5],[27.03846154 10.96153846] ; [9.96153846 4.03846154],0
b5,1,0.527545,0.399119,[73 40] ; [26 11],[74.58 38.42] ; [24.42 12.58],0
p7,1,0.530425,0.393577,[63 47] ; [19 18],[61.36054422 48.63945578] ; [20.63945578 16.36054422],0
n6,1,0.690646,0.158387,[81 29] ; [26 11],[80.06802721 29.93197279] ; [26.93197279 10.06802721],0
a8,1,0.767395,0.087488,[10 87] ; [ 3 32],[ 9.5530303 87.4469697] ; [ 3.4469697 31.5530303],0
b1,1,0.773243,0.083022,[58 55] ; [20 17],[58.76 54.24] ; [19.24 17.76],0
n3,1,0.777963,0.07951,[26 12] ; [9 5],[25.57692308 12.42307692] ; [9.42307692 4.57692308],0
u2,1,0.850773,0.035394,[15 16] ; [11 13],[14.65454545 16.34545455] ; [11.34545455 12.65454545],0
p9,1,0.856921,0.032506,[79 31] ; [26 11],[78.57142857 31.42857143] ; [26.42857143 10.57142857],0
s5,1,0.85967,0.031256,[36 71] ; [12 22],[36.42553191 70.57446809] ; [11.57446809 22.42553191],0
p5,1,0.87814,0.023509,[ 10 102] ; [ 3 34],[  9.77181208 102.22818792] ; [ 3.22818792 33.77181208],0
