Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,2.2e-05,17.983965,[ 8 41] ; [36 29],[18.9122807 30.0877193] ; [25.0877193 39.9122807],1
n1,1,0.264616,1.244444,[12 16] ; [ 8 20],[10. 18.] ; [10. 18.],0
p7,1,0.265635,1.239149,[14 33] ; [26 39],[16.78571429 30.21428571] ; [23.21428571 41.78571429],0
p8,1,0.267567,1.229179,[11 38] ; [21 45],[13.63478261 35.36521739] ; [18.36521739 47.63478261],0
u1,1,0.293461,1.103674,[ 2 48] ; [ 6 61],[ 3.41880342 46.58119658] ; [ 4.58119658 62.41880342],0
b2,1,0.305569,1.049731,[14 19] ; [11 25],[11.95652174 21.04347826] ; [13.04347826 22.95652174],0
b3,1,0.305569,1.049731,[14 19] ; [11 25],[11.95652174 21.04347826] ; [13.04347826 22.95652174],0
r1,1,0.334136,0.932801,[17 33] ; [17 49],[14.65517241 35.34482759] ; [19.34482759 46.65517241],0
p5,1,0.379313,0.772928,[ 6 42] ; [ 5 61],[ 4.63157895 43.36842105] ; [ 6.36842105 59.63157895],0
a8,1,0.433972,0.61217,[ 2 45] ; [ 5 58],[ 2.99090909 44.00909091] ; [ 4.00909091 58.99090909],0
u3,1,0.497225,0.460853,[ 6 15] ; [ 5 20],[ 5.02173913 15.97826087] ; [ 5.97826087 19.02173913],0
p3,1,0.524539,0.404959,[11 38] ; [18 47],[12.46491228 36.53508772] ; [16.53508772 48.46491228],0
a4,1,0.543758,0.36862,[18 31] ; [21 46],[16.47413793 32.52586207] ; [22.52586207 44.47413793],0
d3,1,0.556257,0.346226,[23 27] ; [34 32],[24.56896552 25.43103448] ; [32.43103448 33.56896552],0
a5,1,0.612162,0.257039,[26 24] ; [38 29],[27.35042735 22.64957265] ; [36.64957265 30.35042735],0
d2,1,0.660656,0.192727,[21 28] ; [26 41],[19.85344828 29.14655172] ; [27.14655172 39.85344828],0
s1,1,0.666942,0.185201,[ 4 46] ; [ 4 63],[ 3.41880342 46.58119658] ; [ 4.58119658 62.41880342],0
r2,1,0.683337,0.166394,[30 19] ; [35 26],[28.95454545 20.04545455] ; [36.04545455 24.95454545],0
n4,1,0.727372,0.121538,[29 21] ; [41 26],[29.91452991 20.08547009] ; [40.08547009 26.91452991],0
a6,1,0.727443,0.121472,[27 23] ; [34 33],[26.06837607 23.93162393] ; [34.93162393 32.06837607],0
a2,1,0.741652,0.10868,[ 7 43] ; [ 8 59],[ 6.41025641 43.58974359] ; [ 8.58974359 58.41025641],0
a3,1,0.749584,0.101881,[29 20] ; [41 25],[29.82608696 19.17391304] ; [40.17391304 25.82608696],0
p12,1,0.788841,0.071726,[ 2 48] ; [ 2 63],[ 1.73913043 48.26086957] ; [ 2.26086957 62.73913043],0
v3,1,0.828604,0.046869,[12 38] ; [17 49],[12.5 37.5] ; [16.5 49.5],0
u2,1,0.849975,0.035778,[ 7 14] ; [ 9 16],[ 7.30434783 13.69565217] ; [ 8.69565217 16.30434783],0
b4,1,0.89593,0.01711,[30 20] ; [41 26],[30.34188034 19.65811966] ; [40.65811966 26.34188034],0
