Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1.4e-05,18.847265,[101 136] ; [16 77],[ 84.02727273 152.97272727] ; [32.97272727 60.02727273],1
n5,1,0.598998,0.276509,[159  84] ; [58 35],[156.9375  86.0625] ; [60.0625 32.9375],0
v2,1,0.616334,0.251053,[122 110] ; [42 43],[120.02523659 111.97476341] ; [43.97476341 41.02523659],0
v3,1,0.616945,0.250184,[ 80 159] ; [31 54],[ 81.87962963 157.12037037] ; [29.12037037 55.87962963],0
a2,1,0.665537,0.186867,[ 45 200] ; [19 74],[ 46.39053254 198.60946746] ; [17.60946746 75.39053254],0
d1,1,0.683293,0.166442,[122 123] ; [44 49],[120.32544379 124.67455621] ; [45.67455621 47.32544379],0
b5,1,0.690887,0.158127,[155  90] ; [61 32],[156.56804734  88.43195266] ; [59.43195266 33.56804734],0
p3,1,0.713463,0.134843,[ 60 185] ; [21 72],[ 58.71301775 186.28698225] ; [22.28698225 70.71301775],0
d2,1,0.782673,0.076086,[101 144] ; [36 55],[ 99.89583333 145.10416667] ; [37.10416667 53.89583333],0
s5,1,0.784926,0.074477,[ 66 170] ; [23 64],[ 65.02786378 170.97213622] ; [23.97213622 63.02786378],0
n3,1,0.791752,0.069715,[48 16] ; [21  8],[47.48387097 16.51612903] ; [21.51612903  7.48387097],0
b4,1,0.925686,0.0087,[141 104] ; [53 40],[140.62130178 104.37869822] ; [53.37869822 39.62130178],0
s2,1,0.927248,0.008337,[107 136] ; [40 52],[106.62985075 136.37014925] ; [40.37014925 51.62985075],0
r2,1,0.939162,0.005825,[240   5] ; [90  2],[239.91097923   5.08902077] ; [90.08902077  1.91097923],0
u2,1,0.955449,0.003121,[39 36] ; [18 17],[38.86363636 36.13636364] ; [18.13636364 16.86363636],0
s7,1,0.968511,0.001558,[ 91 146] ; [34 54],[ 91.15384615 145.84615385] ; [33.84615385 54.15384615],0
u1,1,0.969248,0.001486,[ 32 213] ; [12 81],[ 31.89349112 213.10650888] ; [12.10650888 80.89349112],0
s6,1,0.987963,0.000228,[140 100] ; [53 38],[139.93957704 100.06042296] ; [53.06042296 37.93957704],0
s8,1,0.990367,0.000146,[ 90 154] ; [34 58],[ 90.04761905 153.95238095] ; [33.95238095 58.04761905],0
p5,1,0.99347,6.7e-05,[  8 236] ; [ 3 89],[  7.98809524 236.01190476] ; [ 3.01190476 88.98809524],0
