Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1e-06,23.70041,[28 58] ; [49 19],[43. 43.] ; [34. 34.],1
a7,1,0.526767,0.400624,[58 29] ; [42 26],[56.12903226 30.87096774] ; [43.87096774 24.12903226],0
u2,1,0.572014,0.319325,[18 13] ; [10 10],[17.01960784 13.98039216] ; [10.98039216  9.01960784],0
n1,1,0.59179,0.287558,[11 20] ; [ 9 12],[11.92307692 19.07692308] ; [ 8.07692308 12.92307692],0
n3,1,0.592204,0.286916,[19 13] ; [14  7],[19.9245283 12.0754717] ; [13.0754717  7.9245283],0
a3,1,0.600331,0.274497,[56 30] ; [47 21],[57.51948052 28.48051948] ; [45.48051948 22.51948052],0
b2,1,0.609511,0.260888,[19 34] ; [18 26],[20.21649485 32.78350515] ; [16.78350515 27.21649485],0
b3,1,0.609511,0.260888,[19 34] ; [18 26],[20.21649485 32.78350515] ; [16.78350515 27.21649485],0
a1,1,0.628003,0.234779,[ 7 80] ; [ 7 61],[ 7.85806452 79.14193548] ; [ 6.14193548 61.85806452],0
u3,1,0.735359,0.114247,[14 17] ; [10 10],[14.58823529 16.41176471] ; [ 9.41176471 10.58823529],0
d3,1,0.741585,0.108739,[61 26] ; [46 22],[60.05806452 26.94193548] ; [46.94193548 21.05806452],0
s4,1,0.850268,0.035636,[19 68] ; [14 54],[18.52258065 68.47741935] ; [14.47741935 53.52258065],0
a2,1,0.868487,0.027417,[11 76] ; [ 8 60],[10.66451613 76.33548387] ; [ 8.33548387 59.66451613],0
a6,1,0.873888,0.025192,[51 36] ; [39 29],[50.51612903 36.48387097] ; [39.48387097 28.51612903],0
a4,1,0.95475,0.00322,[32 54] ; [25 43],[31.83116883 54.16883117] ; [25.16883117 42.83116883],0
b4,1,0.969119,0.001499,[54 33] ; [42 26],[53.88387097 33.11612903] ; [42.11612903 25.88387097],0
